depth,sid,value,WY
5.080000,1,265.000000,2001
5.080000,1,223.000000,2001
5.080000,1,NaN,2002
5.080000,1,153.000000,2003
5.080000,2,266.000000,2004
5.080000,2,237.000000,2005
5.080000,2,NaN,2006
5.080000,2,298.000000,2007
5.080000,2,NaN,2008
5.080000,2,153.000000,2009
5.080000,2,259.000000,2010
5.080000,2,209.000000,2011
5.080000,2,251.000000,2012
5.080000,2,233.000000,2013
5.080000,2,220.000000,2014
5.080000,2,NaN,2015
5.080000,2,172.000000,2016
5.080000,2,205.000000,2017
5.080000,2,NaN,2018
5.080000,2,207.000000,2019
5.080000,3,-66.000000,2016
5.080000,3,NaN,2017
5.080000,3,-36.000000,2018
5.080000,4,-45.000000,2006
5.080000,4,NaN,2007
5.080000,4,NaN,2008
5.080000,4,NaN,2009
5.080000,4,NaN,2010
5.080000,4,-139.000000,2011
5.080000,4,-141.000000,2012
5.080000,4,-163.000000,2013
5.080000,4,-8.000000,2014
5.080000,4,NaN,2015
5.080000,4,-8.000000,2016
5.080000,4,-219.000000,2017
5.080000,5,246.000000,2001
5.080000,5,209.000000,2001
5.080000,5,NaN,2002
5.080000,5,327.000000,2003
5.080000,5,257.000000,2004
5.080000,5,166.000000,2005
5.080000,9,NaN,2008
5.080000,9,-127.000000,2009
5.080000,9,-175.000000,2010
5.080000,9,NaN,2011
5.080000,9,-56.000000,2012
5.080000,9,34.000000,2013
5.080000,9,NaN,2014
5.080000,9,-111.000000,2015
5.080000,9,18.000000,2016
5.080000,9,-119.000000,2017
5.080000,9,-169.000000,2018
5.080000,9,-87.000000,2019
5.080000,9,-157.000000,2020
5.080000,10,NaN,2008
5.080000,10,-118.000000,2009
5.080000,10,-89.000000,2010
5.080000,10,-62.000000,2011
5.080000,10,NaN,2012
5.080000,10,-110.000000,2013
5.080000,10,NaN,2014
5.080000,10,3.000000,2015
5.080000,10,-62.000000,2016
5.080000,10,-85.000000,2017
5.080000,10,-155.000000,2018
5.080000,10,-77.000000,2019
5.080000,10,-118.000000,2020
5.080000,11,NaN,2015
5.080000,11,-229.000000,2016
5.080000,11,-84.000000,2017
5.080000,11,-194.000000,2018
5.080000,11,-126.000000,2019
5.080000,11,-178.000000,2020
5.080000,12,NaN,2007
5.080000,12,-90.000000,2008
5.080000,12,-47.000000,2009
5.080000,12,-76.000000,2010
5.080000,12,NaN,2011
5.080000,12,-36.000000,2012
5.080000,12,-34.000000,2013
5.080000,12,-39.000000,2014
5.080000,12,-33.000000,2015
5.080000,13,NaN,2016
5.080000,13,-64.000000,2017
5.080000,13,-92.000000,2018
5.080000,13,-69.000000,2019
5.080000,14,NaN,2014
5.080000,14,NaN,2015
5.080000,14,-62.000000,2016
5.080000,14,-76.000000,2017
5.080000,14,-63.000000,2018
5.080000,14,-68.000000,2019
5.080000,14,-66.000000,2020
5.080000,15,NaN,2005
5.080000,15,-10.000000,2006
5.080000,15,38.000000,2007
5.080000,15,56.000000,2008
5.080000,15,90.000000,2009
5.080000,15,NaN,2010
5.080000,15,-1.000000,2011
5.080000,15,NaN,2012
5.080000,15,81.000000,2013
5.080000,15,18.000000,2014
5.080000,17,NaN,2014
5.080000,17,-113.000000,2015
5.080000,17,-46.000000,2016
5.080000,17,-94.000000,2017
5.080000,17,-193.000000,2018
5.080000,17,8.000000,2019
5.080000,17,-140.000000,2020
