depth,sid,value,WY
5.080000,1,NaN,2001
5.080000,1,730903.000000,2001
5.080000,1,731268.000000,2002
5.080000,1,731576.000000,2003
5.080000,2,NaN,2004
5.080000,2,732393.000000,2005
5.080000,2,732599.000000,2006
5.080000,2,733083.000000,2007
5.080000,2,NaN,2008
5.080000,2,NaN,2009
5.080000,2,734224.000000,2010
5.080000,2,NaN,2011
5.080000,2,NaN,2012
5.080000,2,735117.000000,2013
5.080000,2,NaN,2014
5.080000,2,NaN,2015
5.080000,2,736349.000000,2016
5.080000,2,736544.000000,2017
5.080000,2,736988.000000,2018
5.080000,2,737331.000000,2019
5.080000,3,NaN,2016
5.080000,3,NaN,2017
5.080000,3,736867.000000,2018
5.080000,4,NaN,2005
5.080000,4,732607.000000,2006
5.080000,4,NaN,2007
5.080000,4,NaN,2008
5.080000,4,NaN,2009
5.080000,4,734191.000000,2010
5.080000,4,NaN,2011
5.080000,4,734871.000000,2012
5.080000,4,735300.000000,2013
5.080000,4,NaN,2014
5.080000,4,735994.000000,2015
5.080000,4,736352.000000,2016
5.080000,4,NaN,2017
5.080000,5,730686.000000,2001
5.080000,5,730940.000000,2001
5.080000,5,NaN,2002
5.080000,5,731766.000000,2003
5.080000,5,732064.000000,2004
5.080000,5,732369.000000,2005
5.080000,9,NaN,2007
5.080000,9,733459.000000,2008
5.080000,9,733778.000000,2009
5.080000,9,NaN,2010
5.080000,9,734683.000000,2011
5.080000,9,734942.000000,2012
5.080000,9,735333.000000,2013
5.080000,9,735656.000000,2014
5.080000,9,735971.000000,2015
5.080000,9,736463.000000,2016
5.080000,9,NaN,2017
5.080000,9,NaN,2018
5.080000,9,737577.000000,2019
5.080000,10,NaN,2008
5.080000,10,733463.000000,2009
5.080000,10,733820.000000,2010
5.080000,10,734208.000000,2011
5.080000,10,734543.000000,2012
5.080000,10,734927.000000,2013
5.080000,10,735302.000000,2014
5.080000,10,735616.000000,2015
5.080000,10,NaN,2016
5.080000,10,736344.000000,2017
5.080000,10,736737.000000,2018
5.080000,10,737112.000000,2019
5.080000,10,NaN,2020
5.080000,11,NaN,2015
5.080000,11,735972.000000,2016
5.080000,11,736454.000000,2017
5.080000,11,736742.000000,2018
5.080000,11,737155.000000,2019
5.080000,11,737570.000000,2020
5.080000,12,NaN,2007
5.080000,12,NaN,2008
5.080000,12,733473.000000,2009
5.080000,12,733795.000000,2010
5.080000,12,734204.000000,2011
5.080000,12,NaN,2012
