depth,sid,value,WY
5.080000,1,730604.000000,2001
5.080000,1,730927.000000,2001
5.080000,1,NaN,2002
5.080000,1,731587.000000,2003
5.080000,2,732065.000000,2004
5.080000,2,732401.000000,2005
5.080000,2,NaN,2006
5.080000,2,733192.000000,2007
5.080000,2,NaN,2008
5.080000,2,733777.000000,2009
5.080000,2,734248.000000,2010
5.080000,2,734563.000000,2011
5.080000,2,734970.000000,2012
5.080000,2,735317.000000,2013
5.080000,2,735669.000000,2014
5.080000,2,NaN,2015
5.080000,2,736351.000000,2016
5.080000,2,736749.000000,2017
5.080000,2,NaN,2018
5.080000,2,737481.000000,2019
5.080000,3,736113.000000,2016
5.080000,3,NaN,2017
5.080000,3,736873.000000,2018
5.080000,4,732484.000000,2006
5.080000,4,NaN,2007
5.080000,4,NaN,2008
5.080000,4,NaN,2009
5.080000,4,NaN,2010
5.080000,4,734215.000000,2011
5.080000,4,734578.000000,2012
5.080000,4,734921.000000,2013
5.080000,4,735441.000000,2014
5.080000,4,NaN,2015
5.080000,4,736171.000000,2016
5.080000,4,736325.000000,2017
5.080000,5,730585.000000,2001
5.080000,5,730913.000000,2001
5.080000,5,NaN,2002
5.080000,5,731761.000000,2003
5.080000,5,732056.000000,2004
5.080000,5,732330.000000,2005
5.080000,9,NaN,2008
5.080000,9,733497.000000,2009
5.080000,9,733814.000000,2010
5.080000,9,NaN,2011
5.080000,9,734663.000000,2012
5.080000,9,735118.000000,2013
5.080000,9,NaN,2014
5.080000,9,735703.000000,2015
5.080000,9,736197.000000,2016
5.080000,9,736425.000000,2017
5.080000,9,736740.000000,2018
5.080000,9,737187.000000,2019
5.080000,9,737482.000000,2020
5.080000,10,NaN,2008
5.080000,10,733506.000000,2009
5.080000,10,733900.000000,2010
5.080000,10,734292.000000,2011
5.080000,10,NaN,2012
5.080000,10,734974.000000,2013
5.080000,10,NaN,2014
5.080000,10,735817.000000,2015
5.080000,10,736117.000000,2016
5.080000,10,736459.000000,2017
5.080000,10,736754.000000,2018
5.080000,10,737197.000000,2019
5.080000,10,737521.000000,2020
5.080000,11,NaN,2015
5.080000,11,735950.000000,2016
5.080000,11,736460.000000,2017
5.080000,11,736715.000000,2018
5.080000,11,737148.000000,2019
5.080000,11,737461.000000,2020
5.080000,12,NaN,2007
5.080000,12,733169.000000,2008
5.080000,12,733577.000000,2009
5.080000,12,733913.000000,2010
5.080000,12,NaN,2011
5.080000,12,734683.000000,2012
5.080000,12,735050.000000,2013
5.080000,12,735410.000000,2014
5.080000,12,735781.000000,2015
5.080000,13,NaN,2016
5.080000,13,736480.000000,2017
5.080000,13,736817.000000,2018
5.080000,13,737205.000000,2019
5.080000,14,NaN,2014
5.080000,14,NaN,2015
5.080000,14,736117.000000,2016
5.080000,14,736468.000000,2017
5.080000,14,736846.000000,2018
5.080000,14,737206.000000,2019
5.080000,14,737573.000000,2020
5.080000,15,NaN,2005
5.080000,15,732519.000000,2006
5.080000,15,732932.000000,2007
5.080000,15,733315.000000,2008
5.080000,15,733714.000000,2009
5.080000,15,NaN,2010
5.080000,15,734353.000000,2011
5.080000,15,NaN,2012
5.080000,15,735165.000000,2013
5.080000,15,735467.000000,2014
5.080000,17,NaN,2014
5.080000,17,735701.000000,2015
5.080000,17,736133.000000,2016
5.080000,17,736450.000000,2017
5.080000,17,736716.000000,2018
5.080000,17,737282.000000,2019
5.080000,17,737499.000000,2020
5.080000,19,NaN,2013
5.080000,19,NaN,2014
5.080000,21,NaN,2008
5.080000,21,733473.000000,2009
5.080000,21,733879.000000,2010
5.080000,21,734233.000000,2011
5.080000,21,734622.000000,2012
5.080000,21,NaN,2013
5.080000,21,735305.000000,2014
5.080000,21,NaN,2015
5.080000,21,NaN,2016
5.080000,21,736374.000000,2017
5.080000,21,736677.000000,2018
5.080000,21,737135.000000,2019
5.080000,21,737507.000000,2020
5.080000,22,NaN,2008
5.080000,22,733462.000000,2009
5.080000,22,733861.000000,2010
5.080000,22,734195.000000,2011
5.080000,22,734568.000000,2012
5.080000,22,734941.000000,2013
5.080000,22,735340.000000,2014
5.080000,22,NaN,2015
5.080000,22,736126.000000,2016
5.080000,22,736406.000000,2017
5.080000,22,736762.000000,2018
5.080000,22,737142.000000,2019
5.080000,22,737525.000000,2020
5.080000,24,734955.000000,2012
5.080000,24,NaN,2013
5.080000,24,735556.000000,2014
5.080000,24,736034.000000,2015
5.080000,24,NaN,2016
5.080000,24,NaN,2017
5.080000,24,NaN,2018
5.080000,25,NaN,2001
5.080000,25,730589.000000,2001
5.080000,25,730965.000000,2002
5.080000,25,731384.000000,2003
5.080000,25,731686.000000,2004
5.080000,26,NaN,2005
5.080000,26,732489.000000,2006
5.080000,26,732786.000000,2007
5.080000,26,733154.000000,2008
5.080000,26,733577.000000,2009
5.080000,26,733908.000000,2010
5.080000,26,734314.000000,2011
5.080000,26,734670.000000,2012
5.080000,26,735032.000000,2013
5.080000,26,735384.000000,2014
5.080000,26,735725.000000,2015
5.080000,26,NaN,2016
5.080000,26,NaN,2017
5.080000,26,736774.000000,2018
5.080000,26,737174.000000,2019
5.080000,27,734308.000000,2011
5.080000,27,734656.000000,2012
5.080000,27,734956.000000,2013
5.080000,27,735301.000000,2014
5.080000,27,NaN,2015
5.080000,27,736041.000000,2016
5.080000,27,NaN,2017
5.080000,27,736814.000000,2018
5.080000,27,737212.000000,2019
5.080000,27,737592.000000,2020
5.080000,28,NaN,2007
5.080000,28,733476.000000,2008
5.080000,28,NaN,2009
5.080000,28,734223.000000,2010
5.080000,28,734655.000000,2011
5.080000,28,734932.000000,2012
5.080000,28,735372.000000,2013
5.080000,28,NaN,2014
5.080000,28,736080.000000,2015
5.080000,28,736420.000000,2016
5.080000,28,736751.000000,2017
5.080000,28,737201.000000,2018
5.080000,28,NaN,2019
5.080000,29,NaN,2011
5.080000,29,734650.000000,2012
5.080000,29,734964.000000,2013
5.080000,29,735334.000000,2014
5.080000,29,735724.000000,2015
5.080000,29,NaN,2016
5.080000,29,736443.000000,2017
5.080000,29,736808.000000,2018
5.080000,29,737155.000000,2019
5.080000,29,737578.000000,2020
5.080000,30,NaN,2010
5.080000,30,734559.000000,2011
5.080000,30,NaN,2012
5.080000,30,NaN,2013
5.080000,30,735693.000000,2014
5.080000,30,736131.000000,2015
5.080000,30,736401.000000,2016
5.080000,30,736792.000000,2017
5.080000,30,737209.000000,2018
5.080000,30,737576.000000,2019
5.080000,31,734247.000000,2011
5.080000,31,734651.000000,2012
5.080000,31,734943.000000,2013
5.080000,31,735314.000000,2014
5.080000,31,735676.000000,2015
5.080000,31,736097.000000,2016
5.080000,31,736373.000000,2017
5.080000,31,NaN,2018
5.080000,31,NaN,2019
5.080000,31,737517.000000,2020
5.080000,33,NaN,2006
5.080000,33,732975.000000,2007
5.080000,33,NaN,2008
5.080000,33,733567.000000,2009
5.080000,35,733176.000000,2008
5.080000,35,733576.000000,2009
5.080000,35,733911.000000,2010
5.080000,35,734317.000000,2011
5.080000,35,734681.000000,2012
5.080000,35,735043.000000,2013
5.080000,35,735428.000000,2014
5.080000,35,735865.000000,2015
5.080000,35,736130.000000,2016
5.080000,35,736645.000000,2017
5.080000,35,737034.000000,2018
5.080000,35,737164.000000,2019
5.080000,35,NaN,2020
5.080000,36,733842.000000,2010
5.080000,36,734186.000000,2011
5.080000,36,734619.000000,2012
5.080000,36,735032.000000,2013
5.080000,36,NaN,2014
5.080000,36,NaN,2015
5.080000,36,735952.000000,2016
5.080000,36,736410.000000,2017
5.080000,36,736736.000000,2018
5.080000,36,737166.000000,2019
5.080000,36,737584.000000,2020
5.080000,37,NaN,2010
5.080000,37,NaN,2011
5.080000,37,734907.000000,2012
5.080000,37,735121.000000,2013
5.080000,37,735500.000000,2014
5.080000,37,735872.000000,2015
5.080000,37,736361.000000,2016
5.080000,37,736760.000000,2017
5.080000,37,737142.000000,2018
5.080000,37,737371.000000,2019
5.080000,38,734195.000000,2010
5.080000,38,734415.000000,2011
5.080000,38,734888.000000,2012
5.080000,38,735257.000000,2013
5.080000,38,735593.000000,2014
5.080000,38,736029.000000,2015
5.080000,38,736341.000000,2016
5.080000,38,736748.000000,2017
5.080000,38,737128.000000,2018
5.080000,38,737367.000000,2019
5.080000,39,734208.000000,2010
5.080000,39,NaN,2011
5.080000,39,734864.000000,2012
5.080000,39,735255.000000,2013
5.080000,39,NaN,2014
5.080000,39,736022.000000,2015
5.080000,39,736343.000000,2016
5.080000,39,736747.000000,2017
5.080000,39,737129.000000,2018
5.080000,39,737412.000000,2019
5.080000,40,NaN,2014
5.080000,40,735672.000000,2015
5.080000,40,736036.000000,2016
5.080000,40,NaN,2017
5.080000,40,736746.000000,2018
5.080000,40,NaN,2019
5.080000,40,NaN,2020
5.080000,41,NaN,2008
5.080000,41,733813.000000,2009
5.080000,41,734195.000000,2010
5.080000,41,734580.000000,2011
5.080000,41,734987.000000,2012
5.080000,42,NaN,2014
5.080000,42,735679.000000,2015
5.080000,42,NaN,2016
5.080000,42,NaN,2017
5.080000,42,736709.000000,2018
5.080000,42,NaN,2019
5.080000,42,NaN,2020
5.080000,44,NaN,2007
5.080000,44,733196.000000,2008
5.080000,44,733575.000000,2009
5.080000,44,733908.000000,2010
5.080000,44,734301.000000,2011
5.080000,44,734645.000000,2012
5.080000,44,NaN,2013
5.080000,44,735412.000000,2014
5.080000,44,735858.000000,2015
5.080000,44,736121.000000,2016
5.080000,46,NaN,2011
5.080000,46,NaN,2012
5.080000,47,NaN,2005
5.080000,47,NaN,2006
5.080000,47,732938.000000,2007
5.080000,47,733205.000000,2008
5.080000,47,733710.000000,2009
5.080000,47,733981.000000,2010
5.080000,47,734444.000000,2011
5.080000,48,NaN,2016
5.080000,48,736588.000000,2017
5.080000,48,736982.000000,2018
5.080000,48,737419.000000,2019
5.080000,49,730559.000000,2001
5.080000,49,730963.000000,2002
5.080000,49,NaN,2003
5.080000,49,731621.000000,2004
5.080000,49,732004.000000,2005
5.080000,49,732397.000000,2006
5.080000,49,NaN,2007
5.080000,50,NaN,2008
5.080000,50,733499.000000,2009
5.080000,50,733866.000000,2010
5.080000,50,NaN,2011
5.080000,50,734616.000000,2012
5.080000,50,NaN,2013
5.080000,50,735318.000000,2014
5.080000,50,735689.000000,2015
5.080000,50,736070.000000,2016
5.080000,50,736378.000000,2017
5.080000,50,736795.000000,2018
5.080000,50,737168.000000,2019
5.080000,50,737537.000000,2020
5.080000,51,734221.000000,2010
5.080000,51,NaN,2011
5.080000,51,NaN,2012
5.080000,51,735347.000000,2013
5.080000,51,NaN,2014
5.080000,51,NaN,2015
5.080000,51,736374.000000,2016
5.080000,51,736788.000000,2017
5.080000,51,737177.000000,2018
5.080000,51,737488.000000,2019
5.080000,52,NaN,2010
5.080000,52,NaN,2011
5.080000,52,734979.000000,2012
5.080000,52,NaN,2013
5.080000,52,NaN,2014
5.080000,52,NaN,2015
5.080000,52,736372.000000,2016
5.080000,52,736737.000000,2017
5.080000,52,NaN,2018
5.080000,52,737543.000000,2019
5.080000,53,733472.000000,2008
5.080000,53,733820.000000,2009
5.080000,53,734186.000000,2010
5.080000,53,734598.000000,2011
5.080000,53,734984.000000,2012
5.080000,54,NaN,2014
5.080000,54,735680.000000,2015
5.080000,54,736014.000000,2016
5.080000,54,736463.000000,2017
5.080000,54,736740.000000,2018
5.080000,54,737174.000000,2019
5.080000,54,NaN,2020
5.080000,55,NaN,2007
5.080000,55,733173.000000,2008
5.080000,55,NaN,2009
5.080000,55,NaN,2010
5.080000,55,734299.000000,2011
5.080000,55,734564.000000,2012
5.080000,55,734967.000000,2013
5.080000,55,735287.000000,2014
5.080000,55,735751.000000,2015
5.080000,55,736130.000000,2016
5.080000,55,736379.000000,2017
5.080000,55,736738.000000,2018
5.080000,55,737169.000000,2019
5.080000,55,737476.000000,2020
5.080000,56,NaN,2010
5.080000,56,734200.000000,2011
5.080000,56,734598.000000,2012
5.080000,56,NaN,2013
5.080000,56,735377.000000,2014
5.080000,56,735695.000000,2015
5.080000,56,736125.000000,2016
5.080000,56,736502.000000,2017
5.080000,56,736933.000000,2018
5.080000,56,737217.000000,2019
5.080000,56,737442.000000,2020
5.080000,57,NaN,2007
5.080000,57,733475.000000,2008
5.080000,57,733768.000000,2009
5.080000,57,734227.000000,2010
5.080000,57,NaN,2011
5.080000,57,NaN,2012
5.080000,57,735338.000000,2013
5.080000,57,735753.000000,2014
5.080000,57,736045.000000,2015
5.080000,57,736400.000000,2016
5.080000,57,NaN,2017
5.080000,57,737191.000000,2018
5.080000,57,737496.000000,2019
5.080000,58,NaN,2008
5.080000,58,733503.000000,2009
5.080000,58,733792.000000,2010
5.080000,58,734247.000000,2011
5.080000,58,734602.000000,2012
5.080000,58,734981.000000,2013
5.080000,58,735275.000000,2014
5.080000,58,735750.000000,2015
5.080000,58,736110.000000,2016
5.080000,58,NaN,2017
5.080000,58,736829.000000,2018
5.080000,58,737176.000000,2019
5.080000,58,737493.000000,2020
5.080000,59,NaN,2007
5.080000,59,733209.000000,2008
5.080000,59,733576.000000,2009
5.080000,59,733906.000000,2010
5.080000,59,734312.000000,2011
5.080000,59,734667.000000,2012
5.080000,59,735036.000000,2013
5.080000,59,735410.000000,2014
5.080000,59,735742.000000,2015
5.080000,59,736124.000000,2016
5.080000,59,736478.000000,2017
5.080000,59,736828.000000,2018
5.080000,59,737247.000000,2019
5.080000,59,737618.000000,2020
5.080000,60,NaN,2015
5.080000,60,735948.000000,2016
5.080000,60,736471.000000,2017
5.080000,60,736743.000000,2018
5.080000,60,737145.000000,2019
5.080000,60,737485.000000,2020
5.080000,61,NaN,2008
5.080000,61,733474.000000,2009
5.080000,61,733954.000000,2010
5.080000,61,734256.000000,2011
5.080000,61,734647.000000,2012
5.080000,61,735046.000000,2013
5.080000,61,735505.000000,2014
5.080000,61,735877.000000,2015
5.080000,61,736117.000000,2016
5.080000,61,NaN,2017
5.080000,61,736784.000000,2018
5.080000,61,NaN,2019
5.080000,61,737565.000000,2020
5.080000,62,NaN,2008
5.080000,62,733700.000000,2009
5.080000,62,733959.000000,2010
5.080000,62,734286.000000,2011
5.080000,62,734668.000000,2012
5.080000,62,735082.000000,2013
5.080000,62,NaN,2014
5.080000,62,NaN,2015
5.080000,62,736130.000000,2016
5.080000,62,736441.000000,2017
5.080000,62,736845.000000,2018
5.080000,62,737210.000000,2019
5.080000,63,NaN,2001
5.080000,63,730771.000000,2001
5.080000,63,731017.000000,2002
5.080000,63,731483.000000,2003
5.080000,63,NaN,2004
5.080000,63,732156.000000,2005
5.080000,63,732482.000000,2006
5.080000,63,NaN,2007
5.080000,65,734257.000000,2011
5.080000,65,734605.000000,2012
5.080000,65,734967.000000,2013
5.080000,65,NaN,2014
5.080000,65,NaN,2015
5.080000,65,736043.000000,2016
5.080000,65,736457.000000,2017
5.080000,65,736771.000000,2018
5.080000,65,737283.000000,2019
5.080000,65,737553.000000,2020
5.080000,66,734223.000000,2011
5.080000,66,NaN,2012
5.080000,66,734972.000000,2013
5.080000,66,735335.000000,2014
5.080000,66,735695.000000,2015
5.080000,66,736008.000000,2016
5.080000,66,736460.000000,2017
5.080000,66,736803.000000,2018
5.080000,66,737157.000000,2019
5.080000,66,737520.000000,2020
5.080000,67,NaN,2008
5.080000,67,733481.000000,2009
