depth,sid,value,WY
5.080000,1,NaN,2001
5.080000,1,188.445464,2001
5.080000,1,192.009666,2002
5.080000,1,148.000000,2003
5.080000,2,NaN,2004
5.080000,2,176.544102,2005
5.080000,2,76.999991,2006
5.080000,2,185.323722,2007
5.080000,2,165.023956,2008
5.080000,2,72.677961,2009
5.080000,2,233.999995,2010
5.080000,2,NaN,2011
5.080000,2,NaN,2012
5.080000,2,76.000000,2013
5.080000,2,50.798324,2014
5.080000,2,60.000627,2015
5.080000,2,169.000000,2016
5.080000,2,52.000000,2017
5.080000,2,77.186890,2018
5.080000,2,106.259784,2019
5.080000,3,-194.000000,2016
5.080000,3,NaN,2017
5.080000,3,-43.000000,2018
5.080000,4,NaN,2005
5.080000,4,32.237079,2006
5.080000,4,98.224926,2007
5.080000,4,NaN,2008
5.080000,4,98.222264,2009
5.080000,4,197.000000,2010
5.080000,4,NaN,2011
5.080000,4,150.999974,2012
5.080000,4,218.000000,2013
5.080000,4,60.000098,2014
5.080000,4,187.553519,2015
5.080000,4,88.860097,2016
5.080000,4,NaN,2017
5.080000,5,242.000000,2001
5.080000,5,216.000001,2001
5.080000,5,NaN,2002
5.080000,5,331.000000,2003
5.080000,5,NaN,2004
5.080000,5,203.977310,2005
5.080000,9,NaN,2007
5.080000,9,203.309226,2008
5.080000,9,193.644075,2009
5.080000,9,279.000131,2010
5.080000,9,327.603951,2011
5.080000,9,232.148912,2012
5.080000,9,249.327245,2013
5.080000,9,204.999929,2014
5.080000,9,181.333807,2015
5.080000,9,200.260954,2016
5.080000,9,NaN,2017
5.080000,9,405.999999,2018
5.080000,9,303.998422,2019
5.080000,10,NaN,2008
5.080000,10,-156.888840,2009
5.080000,10,-160.391442,2010
5.080000,10,-142.000005,2011
5.080000,10,-159.837260,2012
5.080000,10,-151.000000,2013
5.080000,10,-142.374912,2014
5.080000,10,-173.869801,2015
5.080000,10,-140.675093,2016
5.080000,10,-155.823252,2017
5.080000,10,-149.072639,2018
5.080000,10,-143.000000,2019
5.080000,10,-164.999956,2020
5.080000,11,NaN,2015
5.080000,11,-186.566119,2016
5.080000,11,-84.000403,2017
5.080000,11,-161.999998,2018
5.080000,11,-124.799862,2019
5.080000,11,-66.489108,2020
5.080000,12,NaN,2007
5.080000,12,-150.000000,2008
5.080000,12,-152.106065,2009
5.080000,12,-184.493905,2010
5.080000,12,-151.000000,2011
5.080000,12,-194.023278,2012
5.080000,12,-38.369566,2013
5.080000,12,-36.177953,2014
5.080000,12,-122.000000,2015
5.080000,12,-182.283678,2016
5.080000,13,-181.000000,2017
5.080000,13,-138.000000,2018
5.080000,13,-109.000000,2019
5.080000,14,75.083389,2014
5.080000,14,-55.000000,2015
5.080000,14,-64.263838,2016
5.080000,14,-60.808511,2017
5.080000,14,-66.406505,2018
5.080000,14,NaN,2019
5.080000,14,-10.460531,2020
5.080000,15,NaN,2005
5.080000,15,79.000734,2006
5.080000,15,181.060323,2007
5.080000,15,56.236452,2008
5.080000,15,75.090058,2009
5.080000,15,NaN,2010
5.080000,15,-15.999997,2011
5.080000,15,147.000000,2012
