depth,sid,value,WY
5.080000,1,263.806157,2001
5.080000,1,225.025879,2001
5.080000,1,NaN,2002
5.080000,1,155.997023,2003
5.080000,2,267.219277,2004
5.080000,2,237.009693,2005
5.080000,2,NaN,2006
5.080000,2,NaN,2007
5.080000,2,NaN,2008
5.080000,2,151.582728,2009
5.080000,2,258.937544,2010
5.080000,2,208.812814,2011
5.080000,2,250.357042,2012
5.080000,2,232.537762,2013
5.080000,2,218.017668,2014
5.080000,2,NaN,2015
5.080000,2,189.733695,2016
5.080000,2,203.714728,2017
5.080000,2,NaN,2018
5.080000,2,194.569717,2019
5.080000,3,-66.000000,2016
5.080000,3,-143.845999,2017
5.080000,3,-37.578892,2018
5.080000,4,-45.869477,2006
5.080000,4,NaN,2007
5.080000,4,-230.999832,2008
5.080000,4,-15.291754,2009
5.080000,4,NaN,2010
5.080000,4,-98.842307,2011
5.080000,4,-141.608212,2012
5.080000,4,-127.500144,2013
5.080000,4,14.442249,2014
5.080000,4,NaN,2015
5.080000,4,2.000000,2016
5.080000,4,-204.604556,2017
5.080000,5,245.194694,2001
5.080000,5,243.612613,2001
5.080000,5,NaN,2002
5.080000,5,325.000000,2003
5.080000,5,256.000000,2004
5.080000,5,187.989569,2005
5.080000,9,NaN,2008
5.080000,9,-128.809601,2009
5.080000,9,-157.856536,2010
5.080000,9,NaN,2011
5.080000,9,-77.032607,2012
5.080000,9,31.999753,2013
5.080000,9,NaN,2014
5.080000,9,-113.454899,2015
5.080000,9,17.007396,2016
5.080000,9,-85.000532,2017
5.080000,9,-166.510056,2018
5.080000,9,-122.999995,2019
5.080000,9,-68.061148,2020
5.080000,10,NaN,2008
5.080000,10,-120.254419,2009
5.080000,10,-89.211326,2010
5.080000,10,-66.080598,2011
5.080000,10,NaN,2012
5.080000,10,-105.911132,2013
5.080000,10,NaN,2014
5.080000,10,2.988537,2015
5.080000,10,-63.000000,2016
5.080000,10,-86.288479,2017
5.080000,10,-150.127190,2018
5.080000,10,NaN,2019
5.080000,10,-117.354618,2020
5.080000,11,NaN,2015
5.080000,11,-224.000000,2016
