depth,sid,value,WY
5.080000,1,730602.806157,2001
5.080000,1,730929.025879,2001
5.080000,1,NaN,2002
5.080000,1,731589.997023,2003
5.080000,2,732066.219277,2004
5.080000,2,732401.009693,2005
5.080000,2,NaN,2006
5.080000,2,NaN,2007
5.080000,2,NaN,2008
5.080000,2,733775.582728,2009
5.080000,2,734247.937544,2010
5.080000,2,734562.812814,2011
5.080000,2,734969.357042,2012
5.080000,2,735316.537762,2013
5.080000,2,735667.017668,2014
5.080000,2,NaN,2015
5.080000,2,736368.733695,2016
5.080000,2,736747.714728,2017
5.080000,2,NaN,2018
5.080000,2,737468.569717,2019
5.080000,3,736113.000000,2016
5.080000,3,736400.154001,2017
5.080000,3,736871.421108,2018
5.080000,4,732483.130523,2006
5.080000,4,NaN,2007
5.080000,4,733028.000168,2008
5.080000,4,733608.708246,2009
5.080000,4,NaN,2010
5.080000,4,734255.157693,2011
5.080000,4,734577.391788,2012
5.080000,4,734956.499856,2013
5.080000,4,735463.442249,2014
5.080000,4,NaN,2015
5.080000,4,736181.000000,2016
5.080000,4,736339.395444,2017
5.080000,5,730584.194694,2001
5.080000,5,730947.612613,2001
5.080000,5,NaN,2002
5.080000,5,731759.000000,2003
5.080000,5,732055.000000,2004
5.080000,5,732351.989569,2005
5.080000,9,NaN,2008
5.080000,9,733495.190399,2009
5.080000,9,733831.143464,2010
5.080000,9,NaN,2011
5.080000,9,734641.967393,2012
5.080000,9,735115.999753,2013
5.080000,9,NaN,2014
5.080000,9,735700.545101,2015
5.080000,9,736196.007396,2016
5.080000,9,736458.999468,2017
5.080000,9,736742.489944,2018
5.080000,9,737151.000005,2019
5.080000,9,737570.938852,2020
5.080000,10,NaN,2008
5.080000,10,733503.745581,2009
5.080000,10,733899.788674,2010
5.080000,10,734287.919402,2011
5.080000,10,NaN,2012
5.080000,10,734978.088868,2013
5.080000,10,NaN,2014
5.080000,10,735816.988537,2015
5.080000,10,736116.000000,2016
5.080000,10,736457.711521,2017
5.080000,10,736758.872810,2018
5.080000,10,NaN,2019
5.080000,10,737521.645382,2020
5.080000,11,NaN,2015
5.080000,11,735955.000000,2016
5.080000,11,736461.688302,2017
5.080000,11,736749.000000,2018
5.080000,11,737146.999823,2019
5.080000,11,737491.000000,2020
5.080000,12,NaN,2007
5.080000,12,733169.000000,2008
5.080000,12,733576.131583,2009
5.080000,12,733909.999999,2010
5.080000,12,734333.559512,2011
5.080000,12,734683.999999,2012
5.080000,12,NaN,2013
5.080000,12,735409.043572,2014
5.080000,12,NaN,2015
5.080000,13,NaN,2016
5.080000,13,736478.748203,2017
5.080000,13,736815.000000,2018
5.080000,13,NaN,2019
5.080000,14,NaN,2014
5.080000,14,NaN,2015
5.080000,14,736122.286481,2016
5.080000,14,736469.842134,2017
5.080000,14,736845.536013,2018
5.080000,14,737205.000000,2019
5.080000,14,737597.451918,2020
5.080000,15,NaN,2005
5.080000,15,732554.000000,2006
5.080000,15,732930.080223,2007
5.080000,15,733313.494747,2008
5.080000,15,733713.429436,2009
5.080000,15,NaN,2010
5.080000,15,734352.000121,2011
5.080000,15,NaN,2012
5.080000,15,735164.291214,2013
5.080000,15,735466.000000,2014
5.080000,17,NaN,2014
5.080000,17,735700.966782,2015
5.080000,17,736132.385919,2016
5.080000,17,736447.128199,2017
5.080000,17,736745.999524,2018
5.080000,17,737281.000000,2019
5.080000,17,737505.079666,2020
5.080000,19,NaN,2013
5.080000,19,735603.437177,2014
5.080000,21,NaN,2008
5.080000,21,733468.552777,2009
5.080000,21,733876.000000,2010
5.080000,21,734234.857150,2011
5.080000,21,734648.183227,2012
5.080000,21,NaN,2013
5.080000,21,735302.999999,2014
5.080000,21,NaN,2015
5.080000,21,736032.999990,2016
5.080000,21,736389.767904,2017
5.080000,21,736710.000000,2018
5.080000,21,737143.852795,2019
5.080000,21,737509.320427,2020
5.080000,22,NaN,2008
5.080000,22,733478.000000,2009
5.080000,22,733879.200986,2010
5.080000,22,734208.385296,2011
5.080000,22,734569.000000,2012
5.080000,22,734941.140439,2013
5.080000,22,735342.153347,2014
5.080000,22,NaN,2015
5.080000,22,736128.491608,2016
5.080000,22,736416.346119,2017
5.080000,22,736782.000000,2018
5.080000,22,737144.000000,2019
5.080000,22,737519.296473,2020
5.080000,24,734928.998713,2012
5.080000,24,NaN,2013
5.080000,24,735572.999952,2014
5.080000,24,736033.000000,2015
5.080000,24,736355.397127,2016
5.080000,24,736760.842720,2017
5.080000,24,NaN,2018
5.080000,25,NaN,2001
5.080000,25,730644.000000,2001
5.080000,25,730964.000000,2002
5.080000,25,731383.000000,2003
5.080000,25,731718.040203,2004
5.080000,26,NaN,2005
5.080000,26,732487.112540,2006
5.080000,26,732791.601904,2007
5.080000,26,733153.000000,2008
5.080000,26,733576.027646,2009
5.080000,26,733904.342489,2010
5.080000,26,734291.000000,2011
5.080000,26,734614.441509,2012
5.080000,26,735033.181142,2013
5.080000,26,735350.016442,2014
5.080000,26,735723.608313,2015
5.080000,26,NaN,2016
5.080000,26,NaN,2017
5.080000,26,736778.000000,2018
5.080000,26,737173.000000,2019
5.080000,27,734307.485932,2011
5.080000,27,734655.000000,2012
5.080000,27,734944.000000,2013
5.080000,27,735335.020128,2014
5.080000,27,NaN,2015
5.080000,27,736007.499772,2016
5.080000,27,NaN,2017
5.080000,27,736813.849218,2018
5.080000,27,737211.546936,2019
5.080000,27,737592.000000,2020
5.080000,28,NaN,2007
5.080000,28,733475.480425,2008
5.080000,28,733831.967141,2009
5.080000,28,734220.437586,2010
5.080000,28,734653.519401,2011
5.080000,28,734931.602047,2012
5.080000,28,735312.497610,2013
5.080000,28,NaN,2014
5.080000,28,736092.000122,2015
5.080000,28,736413.000000,2016
5.080000,28,736753.581595,2017
5.080000,28,737199.551528,2018
5.080000,28,737513.000000,2019
5.080000,29,NaN,2011
5.080000,29,734650.113727,2012
5.080000,29,734966.159464,2013
5.080000,29,735335.475777,2014
5.080000,29,735720.814548,2015
5.080000,29,736003.851924,2016
5.080000,29,736447.000000,2017
5.080000,29,736813.163087,2018
5.080000,29,737168.975444,2019
5.080000,29,737540.329558,2020
5.080000,30,NaN,2010
5.080000,30,734555.953243,2011
5.080000,30,NaN,2012
5.080000,30,NaN,2013
5.080000,30,735692.499003,2014
5.080000,30,736130.480321,2015
5.080000,30,736400.450673,2016
5.080000,30,736747.175441,2017
5.080000,30,737209.608659,2018
5.080000,30,737577.000000,2019
5.080000,31,734249.484805,2011
5.080000,31,734651.707253,2012
5.080000,31,734943.258627,2013
5.080000,31,735310.973980,2014
5.080000,31,735671.516509,2015
5.080000,31,736158.000000,2016
5.080000,31,736389.000000,2017
5.080000,31,NaN,2018
5.080000,31,NaN,2019
5.080000,31,737514.999962,2020
5.080000,33,NaN,2006
5.080000,33,732971.985857,2007
5.080000,33,733210.000000,2008
5.080000,33,NaN,2009
5.080000,35,NaN,2008
5.080000,35,733575.614873,2009
5.080000,35,733910.072913,2010
5.080000,35,734315.096325,2011
5.080000,35,734680.378379,2012
5.080000,35,735042.340468,2013
5.080000,35,735426.390951,2014
5.080000,35,735863.802580,2015
5.080000,35,736128.653383,2016
5.080000,35,736645.204681,2017
5.080000,35,737029.744011,2018
5.080000,35,737175.223058,2019
5.080000,35,737571.765555,2020
5.080000,36,733840.999999,2010
