depth,sid,value,WY
5.000000,1,NaN,NaN
5.000000,2,NaN,NaN
5.000000,3,NaN,NaN
5.000000,3,NaN,NaN
5.000000,4,NaN,NaN
5.000000,5,NaN,NaN
5.000000,6,NaN,NaN
5.000000,7,NaN,NaN
5.000000,7,0.245153,210
5.000000,7,0.071102,235
5.000000,7,0.086448,193
5.000000,7,0.079005,245
5.000000,7,0.103734,251
5.000000,7,0.168043,209
5.000000,7,0.094848,189
5.000000,7,NaN,NaN
5.000000,8,NaN,NaN
5.000000,8,0.106162,104
5.000000,8,NaN,NaN
5.000000,8,NaN,NaN
5.000000,8,NaN,NaN
5.000000,8,NaN,NaN
5.000000,8,0.094556,136
5.000000,8,NaN,NaN
5.000000,9,NaN,NaN
5.000000,9,NaN,NaN
5.000000,9,0.102115,101
5.000000,9,0.111861,103
5.000000,9,0.098324,144
5.000000,9,NaN,NaN
5.000000,10,NaN,NaN
5.000000,10,0.153169,229
5.000000,10,0.232850,231
5.000000,10,0.097661,249
5.000000,10,0.076779,116
5.000000,10,NaN,NaN
5.000000,11,NaN,NaN
5.000000,12,NaN,NaN
5.000000,12,0.073715,235
5.000000,12,NaN,NaN
5.000000,12,0.072484,237
5.000000,12,NaN,NaN
5.000000,12,0.112660,209
5.000000,12,0.122604,233
5.000000,12,0.182371,188
5.000000,12,NaN,NaN
5.000000,13,NaN,NaN
5.000000,14,NaN,NaN
5.000000,15,NaN,NaN
5.000000,16,NaN,NaN
5.000000,16,0.157275,205
5.000000,16,0.151112,233
5.000000,16,0.241573,258
5.000000,16,0.204222,242
5.000000,16,0.221533,230
5.000000,16,0.091687,177
5.000000,16,0.048131,158
5.000000,16,NaN,NaN
5.000000,17,NaN,NaN
5.000000,18,NaN,NaN
5.000000,19,NaN,NaN
5.000000,19,NaN,NaN
5.000000,19,0.109555,112
5.000000,19,NaN,NaN
5.000000,19,0.214210,161
5.000000,19,0.228853,165
5.000000,19,NaN,NaN
5.000000,20,NaN,NaN
5.000000,21,NaN,NaN
5.000000,21,NaN,NaN
5.000000,21,NaN,NaN
5.000000,21,0.125260,134
5.000000,21,NaN,NaN
5.000000,22,NaN,NaN
5.000000,22,0.110678,239
5.000000,22,0.058620,226
5.000000,22,0.141651,242
5.000000,22,0.057731,192
5.000000,22,NaN,NaN
5.000000,22,NaN,NaN
5.000000,22,0.210257,245
5.000000,22,0.181151,221
5.000000,22,NaN,NaN
5.000000,23,NaN,NaN
5.000000,24,NaN,NaN
5.000000,25,NaN,NaN
5.000000,25,0.063842,231
5.000000,25,0.041489,230
5.000000,25,0.053129,241
5.000000,25,NaN,NaN
5.000000,26,NaN,NaN
5.000000,27,NaN,NaN
5.000000,28,NaN,NaN
5.000000,29,NaN,NaN
10.000000,1,NaN,NaN
10.000000,1,0.109451,168
10.000000,1,0.088973,257
10.000000,1,0.039190,209
10.000000,1,0.018142,199
10.000000,1,0.044171,216
10.000000,1,0.059431,240
10.000000,1,0.045079,175
10.000000,1,0.067415,242
10.000000,1,NaN,NaN
