depth,sid,value,WY
5.000000,1,NaN,NaN
5.000000,2,NaN,NaN
5.000000,3,NaN,NaN
5.000000,3,NaN,NaN
5.000000,4,NaN,NaN
5.000000,5,NaN,NaN
5.000000,6,NaN,NaN
5.000000,7,NaN,NaN
5.000000,7,0.221925,210
5.000000,7,0.089990,235
5.000000,7,0.083355,193
5.000000,7,0.066681,245
5.000000,7,0.097986,251
5.000000,7,0.157539,209
5.000000,7,0.094338,189
5.000000,7,NaN,NaN
5.000000,8,NaN,NaN
5.000000,8,0.098311,104
5.000000,8,NaN,NaN
5.000000,8,NaN,NaN
5.000000,8,NaN,NaN
5.000000,8,NaN,NaN
5.000000,8,0.092638,136
5.000000,8,NaN,NaN
5.000000,9,NaN,NaN
5.000000,9,NaN,NaN
5.000000,9,0.123295,101
5.000000,9,0.131017,103
5.000000,9,0.097687,144
5.000000,9,NaN,NaN
5.000000,10,NaN,NaN
5.000000,10,0.154264,229
5.000000,10,0.245437,231
5.000000,10,0.131276,249
5.000000,10,0.077769,116
5.000000,10,NaN,NaN
5.000000,11,NaN,NaN
5.000000,12,NaN,NaN
5.000000,12,0.067739,235
5.000000,12,NaN,NaN
5.000000,12,0.074947,237
5.000000,12,NaN,NaN
5.000000,12,0.109858,209
5.000000,12,0.125475,233
5.000000,12,0.178738,188
5.000000,12,NaN,NaN
5.000000,13,NaN,NaN
5.000000,14,NaN,NaN
5.000000,15,NaN,NaN
5.000000,16,NaN,NaN
5.000000,16,0.159364,205
5.000000,16,0.144159,233
5.000000,16,0.296098,258
5.000000,16,0.194651,242
5.000000,16,0.159447,230
5.000000,16,0.099776,177
5.000000,16,0.055762,158
5.000000,16,NaN,NaN
5.000000,17,NaN,NaN
5.000000,18,NaN,NaN
5.000000,19,NaN,NaN
5.000000,19,NaN,NaN
5.000000,19,0.116694,112
5.000000,19,NaN,NaN
5.000000,19,0.276340,161
5.000000,19,0.307548,165
5.000000,19,NaN,NaN
5.000000,20,NaN,NaN
5.000000,21,NaN,NaN
5.000000,21,NaN,NaN
5.000000,21,NaN,NaN
5.000000,21,0.117801,134
5.000000,21,NaN,NaN
5.000000,22,NaN,NaN
5.000000,22,0.110925,239
5.000000,22,0.058697,226
5.000000,22,0.142054,242
5.000000,22,0.063285,192
5.000000,22,NaN,NaN
5.000000,22,NaN,NaN
5.000000,22,0.251067,245
5.000000,22,0.210368,221
5.000000,22,NaN,NaN
5.000000,23,NaN,NaN
5.000000,24,NaN,NaN
5.000000,25,NaN,NaN
5.000000,25,0.101933,231
5.000000,25,0.046287,230
5.000000,25,0.056237,241
5.000000,25,NaN,NaN
5.000000,26,NaN,NaN
5.000000,27,NaN,NaN
5.000000,28,NaN,NaN
5.000000,29,NaN,NaN
10.000000,1,NaN,NaN
10.000000,1,0.108406,168
10.000000,1,0.062828,257
10.000000,1,0.039382,209
10.000000,1,0.017917,199
10.000000,1,0.042202,216
10.000000,1,0.057899,240
10.000000,1,0.042514,175
10.000000,1,0.037030,242
10.000000,1,NaN,NaN
