depth,sid,value,WY
5.000000,1,NaN,NaN
5.000000,2,NaN,NaN
5.000000,3,NaN,NaN
5.000000,3,0.380889,272
5.000000,4,NaN,NaN
5.000000,5,NaN,NaN
5.000000,6,NaN,NaN
5.000000,7,0.010598,167
5.000000,7,0.065330,220
5.000000,7,0.151516,174
5.000000,7,0.073704,234
5.000000,7,0.027713,192
5.000000,7,0.079243,208
5.000000,7,0.107579,298
5.000000,7,0.109486,225
5.000000,7,0.286047,236
5.000000,8,NaN,NaN
5.000000,8,0.124509,156
5.000000,8,0.135532,120
5.000000,8,0.044483,109
5.000000,8,NaN,NaN
5.000000,8,0.157823,216
5.000000,8,NaN,NaN
5.000000,8,NaN,NaN
5.000000,9,0.135598,120
5.000000,9,0.044483,109
5.000000,9,NaN,NaN
5.000000,9,0.157823,216
5.000000,9,NaN,NaN
5.000000,9,NaN,NaN
5.000000,10,0.032582,100
5.000000,10,0.158537,229
5.000000,10,0.169022,216
5.000000,10,NaN,NaN
5.000000,10,0.251700,189
5.000000,10,0.134971,158
5.000000,11,NaN,NaN
5.000000,12,0.226106,233
5.000000,12,NaN,NaN
5.000000,12,0.184290,254
5.000000,12,0.091939,142
5.000000,12,NaN,NaN
5.000000,12,0.324355,260
5.000000,12,0.103965,237
5.000000,12,NaN,NaN
5.000000,12,0.139722,129
5.000000,13,NaN,NaN
5.000000,14,NaN,NaN
5.000000,15,NaN,NaN
5.000000,16,0.037268,171
5.000000,16,0.187487,256
5.000000,16,0.157318,223
5.000000,16,0.056798,179
5.000000,16,0.141011,188
5.000000,16,0.135433,228
5.000000,16,0.068106,207
5.000000,16,0.056444,205
5.000000,16,0.234170,238
5.000000,17,NaN,NaN
5.000000,18,NaN,NaN
5.000000,19,NaN,NaN
5.000000,19,0.147910,233
5.000000,19,0.155839,154
5.000000,19,0.064950,120
5.000000,19,0.170541,262
5.000000,19,0.229818,214
5.000000,19,0.150846,145
5.000000,20,NaN,NaN
5.000000,21,NaN,NaN
5.000000,21,0.084385,120
5.000000,21,NaN,NaN
5.000000,21,0.233545,183
5.000000,21,0.067254,184
5.000000,22,NaN,NaN
5.000000,22,0.226985,242
5.000000,22,NaN,NaN
5.000000,22,0.086023,163
5.000000,22,NaN,NaN
5.000000,22,NaN,NaN
5.000000,22,0.212514,186
5.000000,22,0.211785,250
5.000000,22,0.235483,199
5.000000,22,NaN,NaN
5.000000,23,0.372583,255
5.000000,24,NaN,NaN
5.000000,25,NaN,NaN
5.000000,25,0.056485,178
5.000000,25,0.076624,113
5.000000,25,0.114563,156
5.000000,25,0.081733,185
5.000000,26,NaN,NaN
5.000000,27,NaN,NaN
5.000000,28,NaN,NaN
5.000000,29,NaN,NaN
10.000000,1,NaN,NaN
10.000000,1,0.100440,215
10.000000,1,0.018587,193
10.000000,1,0.036257,287
10.000000,1,0.016127,182
10.000000,1,0.015988,143
10.000000,1,0.090652,266
10.000000,1,0.037464,256
10.000000,1,0.047071,228
10.000000,1,0.024740,159
