depth,sid,value,WY
5.000000,1,NaN,2011
5.000000,1,NaN,2012
5.000000,1,NaN,2013
5.000000,1,NaN,2014
5.000000,1,1.000000,2015
5.000000,1,112.000000,2016
5.000000,1,76.000000,2017
5.000000,1,86.000000,2018
5.000000,1,21.000000,2019
5.000000,2,NaN,2012
5.000000,2,58.000000,2013
5.000000,2,159.000000,2014
5.000000,2,131.000000,2015
5.000000,2,238.000000,2016
5.000000,2,NaN,2017
5.000000,2,245.000000,2018
5.000000,2,150.000000,2019
5.000000,2,182.000000,2020
5.000000,3,NaN,2012
5.000000,3,13.000000,2013
5.000000,3,88.000000,2014
5.000000,3,77.000000,2015
5.000000,3,9.000000,2016
5.000000,3,84.000000,2017
5.000000,3,93.000000,2018
5.000000,3,NaN,2019
5.000000,3,177.000000,2020
5.000000,4,NaN,2012
5.000000,4,40.000000,2013
5.000000,4,107.000000,2014
5.000000,4,NaN,2015
5.000000,4,209.000000,2016
5.000000,4,38.000000,2017
5.000000,4,234.000000,2018
5.000000,4,195.000000,2019
5.000000,5,NaN,2012
5.000000,5,3.000000,2013
5.000000,5,77.000000,2014
5.000000,5,3.000000,2015
5.000000,5,NaN,2016
5.000000,5,33.000000,2017
5.000000,5,173.000000,2018
5.000000,5,NaN,2019
5.000000,5,1.000000,2020
5.000000,6,NaN,2010
5.000000,6,NaN,2011
5.000000,6,13.000000,2012
5.000000,6,NaN,2013
5.000000,6,NaN,2014
5.000000,6,4.000000,2015
5.000000,6,NaN,2016
5.000000,6,NaN,2017
5.000000,6,1.000000,2018
5.000000,6,28.000000,2019
5.000000,7,NaN,2011
5.000000,7,23.000000,2012
5.000000,7,1.000000,2013
5.000000,7,25.000000,2014
5.000000,7,1.000000,2015
5.000000,7,1.000000,2016
5.000000,7,10.000000,2017
5.000000,7,57.000000,2018
5.000000,7,NaN,2019
5.000000,7,166.000000,2020
5.000000,8,NaN,2010
5.000000,8,NaN,2011
5.000000,8,NaN,2012
5.000000,8,85.000000,2013
5.000000,8,NaN,2014
5.000000,8,NaN,2015
5.000000,8,NaN,2016
5.000000,8,1.000000,2017
5.000000,8,10.000000,2018
5.000000,8,NaN,2019
5.000000,8,1.000000,2020
5.000000,9,NaN,2012
5.000000,9,13.000000,2013
5.000000,9,NaN,2014
5.000000,9,NaN,2015
5.000000,9,9.000000,2016
5.000000,9,39.000000,2017
5.000000,9,NaN,2018
5.000000,9,NaN,2019
5.000000,9,2.000000,2020
5.000000,10,NaN,2011
5.000000,10,31.000000,2012
5.000000,10,NaN,2013
5.000000,10,NaN,2014
5.000000,10,NaN,2015
5.000000,10,NaN,2016
5.000000,10,NaN,2017
5.000000,10,16.000000,2018
5.000000,10,19.000000,2019
5.000000,11,NaN,2012
5.000000,11,2.000000,2013
5.000000,11,83.000000,2014
5.000000,11,NaN,2015
5.000000,11,49.000000,2016
5.000000,11,61.000000,2017
5.000000,11,144.000000,2018
5.000000,11,139.000000,2019
5.000000,11,147.000000,2020
5.000000,12,NaN,2011
5.000000,12,31.000000,2012
5.000000,12,63.000000,2013
5.000000,12,71.000000,2014
5.000000,12,NaN,2015
5.000000,12,2.000000,2016
5.000000,12,48.000000,2017
5.000000,12,61.000000,2018
5.000000,12,1.000000,2019
5.000000,12,1.000000,2020
5.000000,13,NaN,2010
5.000000,13,NaN,2011
5.000000,13,1.000000,2012
5.000000,13,NaN,2013
5.000000,13,3.000000,2014
5.000000,13,50.000000,2015
5.000000,13,NaN,2016
5.000000,13,14.000000,2017
5.000000,13,40.000000,2018
5.000000,13,1.000000,2019
5.000000,14,NaN,2012
5.000000,14,1.000000,2013
5.000000,14,34.000000,2014
5.000000,14,NaN,2015
5.000000,14,242.000000,2016
5.000000,14,NaN,2017
5.000000,14,249.000000,2018
5.000000,14,244.000000,2019
5.000000,14,NaN,2020
5.000000,15,NaN,2011
5.000000,15,NaN,2012
5.000000,15,127.000000,2013
5.000000,15,2.000000,2014
5.000000,15,1.000000,2015
5.000000,15,10.000000,2016
5.000000,15,50.000000,2017
5.000000,15,NaN,2018
5.000000,15,13.000000,2019
5.000000,16,NaN,2011
5.000000,16,2.000000,2012
5.000000,16,28.000000,2013
5.000000,16,NaN,2014
5.000000,16,NaN,2015
5.000000,16,1.000000,2016
5.000000,16,NaN,2017
5.000000,16,159.000000,2018
5.000000,16,NaN,2019
5.000000,16,109.000000,2020
5.000000,17,NaN,2010
5.000000,17,46.000000,2011
5.000000,17,NaN,2012
5.000000,17,NaN,2013
5.000000,17,NaN,2014
5.000000,17,NaN,2015
5.000000,17,94.000000,2016
5.000000,17,NaN,2017
5.000000,17,NaN,2018
5.000000,17,77.000000,2019
5.000000,18,NaN,2011
5.000000,18,1.000000,2012
5.000000,18,219.000000,2013
5.000000,18,NaN,2014
5.000000,18,172.000000,2015
5.000000,18,NaN,2016
5.000000,18,NaN,2017
5.000000,18,NaN,2018
5.000000,18,101.000000,2019
5.000000,18,NaN,2020
5.000000,19,NaN,2010
5.000000,19,NaN,2011
5.000000,19,1.000000,2012
5.000000,19,NaN,2013
5.000000,19,NaN,2014
5.000000,19,117.000000,2015
5.000000,19,21.000000,2016
5.000000,19,61.000000,2017
5.000000,19,1.000000,2018
5.000000,19,87.000000,2019
5.000000,20,NaN,2012
5.000000,20,14.000000,2013
5.000000,20,32.000000,2014
5.000000,20,243.000000,2015
5.000000,20,99.000000,2016
5.000000,20,108.000000,2017
5.000000,20,46.000000,2018
5.000000,20,54.000000,2019
5.000000,20,236.000000,2020
5.000000,21,NaN,2012
5.000000,21,93.000000,2013
5.000000,21,3.000000,2014
5.000000,21,NaN,2015
5.000000,21,248.000000,2016
5.000000,21,122.000000,2017
5.000000,21,24.000000,2018
5.000000,21,3.000000,2019
5.000000,21,NaN,2020
5.000000,22,NaN,2010
5.000000,22,1.000000,2011
5.000000,22,NaN,2012
5.000000,22,1.000000,2013
5.000000,22,NaN,2014
5.000000,22,NaN,2015
5.000000,22,27.000000,2016
5.000000,22,2.000000,2017
5.000000,22,NaN,2018
5.000000,22,28.000000,2019
5.000000,22,2.000000,2020
5.000000,23,NaN,2010
5.000000,23,1.000000,2011
5.000000,23,NaN,2012
5.000000,23,119.000000,2013
5.000000,23,130.000000,2014
5.000000,23,NaN,2015
5.000000,23,28.000000,2016
5.000000,23,122.000000,2017
5.000000,23,NaN,2018
5.000000,23,34.000000,2019
5.000000,23,40.000000,2020
5.000000,24,NaN,2010
5.000000,24,NaN,2011
5.000000,24,50.000000,2012
5.000000,24,NaN,2013
5.000000,24,1.000000,2014
5.000000,24,6.000000,2015
5.000000,24,53.000000,2016
5.000000,24,NaN,2017
5.000000,24,NaN,2018
5.000000,24,77.000000,2019
5.000000,25,NaN,2012
5.000000,25,49.000000,2013
5.000000,25,3.000000,2014
5.000000,25,200.000000,2015
5.000000,25,141.000000,2016
5.000000,25,130.000000,2017
5.000000,25,NaN,2018
5.000000,25,66.000000,2019
5.000000,25,NaN,2020
5.000000,26,NaN,2010
5.000000,26,NaN,2011
5.000000,26,NaN,2012
5.000000,26,NaN,2013
5.000000,26,9.000000,2014
