depth,sid,value,WY
5.000000,1,NaN,2012
5.000000,1,127.902751,2013
5.000000,1,182.660995,2014
5.000000,1,37.400124,2015
5.000000,1,10.843004,2016
5.000000,1,123.743606,2017
5.000000,1,64.558361,2018
5.000000,1,9.398643,2019
5.000000,1,66.649346,2020
5.000000,2,NaN,2012
5.000000,2,80.844447,2013
5.000000,2,152.447012,2014
5.000000,2,72.601862,2015
5.000000,2,117.622188,2016
5.000000,2,144.754681,2017
5.000000,2,193.814578,2018
5.000000,2,164.999998,2019
5.000000,2,140.879300,2020
5.000000,3,NaN,2012
5.000000,3,NaN,2013
5.000000,3,60.367751,2014
5.000000,3,15.197790,2015
5.000000,3,83.925506,2016
5.000000,3,85.887717,2017
5.000000,3,140.850859,2018
5.000000,3,96.579788,2019
5.000000,3,15.067556,2020
5.000000,4,NaN,2012
5.000000,4,173.136225,2013
5.000000,4,155.386921,2014
5.000000,4,143.244876,2015
5.000000,4,68.048050,2016
5.000000,4,123.922302,2017
5.000000,4,205.672870,2018
5.000000,4,142.686913,2019
5.000000,4,226.194564,2020
5.000000,5,NaN,2012
5.000000,5,60.249801,2013
5.000000,5,151.323135,2014
5.000000,5,219.000326,2015
5.000000,5,219.006052,2016
5.000000,5,134.332055,2017
5.000000,5,68.706748,2018
5.000000,5,111.151282,2019
5.000000,5,163.005643,2020
5.000000,6,NaN,2010
5.000000,6,9.850210,2011
5.000000,6,7.610149,2012
5.000000,6,12.846417,2013
5.000000,6,6.897239,2014
5.000000,6,5.675580,2015
5.000000,6,7.148176,2016
5.000000,6,73.347237,2017
5.000000,6,19.885183,2018
5.000000,6,45.659938,2019
5.000000,7,NaN,2011
5.000000,7,103.104709,2012
5.000000,7,18.981691,2013
5.000000,7,96.791628,2014
5.000000,7,14.390171,2015
5.000000,7,118.448454,2016
5.000000,7,138.548421,2017
5.000000,7,98.886284,2018
5.000000,7,NaN,2019
5.000000,7,3.899392,2020
5.000000,8,NaN,2010
5.000000,8,NaN,2011
5.000000,8,NaN,2012
5.000000,8,NaN,2013
5.000000,8,NaN,2014
5.000000,8,NaN,2015
5.000000,8,NaN,2016
5.000000,8,NaN,2017
5.000000,8,7.224925,2018
5.000000,8,6.521644,2019
5.000000,9,NaN,2012
5.000000,9,NaN,2013
5.000000,9,NaN,2014
5.000000,9,25.706594,2015
5.000000,9,NaN,2016
5.000000,9,NaN,2017
5.000000,9,7.331823,2018
5.000000,9,6.816446,2019
5.000000,10,NaN,2011
5.000000,10,28.683759,2012
5.000000,10,NaN,2013
5.000000,10,NaN,2014
5.000000,10,20.358229,2015
5.000000,10,NaN,2016
5.000000,10,28.398102,2017
5.000000,10,82.280850,2018
5.000000,10,24.082781,2019
5.000000,11,NaN,2012
5.000000,11,93.999999,2013
5.000000,11,102.266476,2014
5.000000,11,165.997853,2015
5.000000,11,81.666917,2016
5.000000,11,50.938571,2017
5.000000,11,117.071049,2018
5.000000,11,119.781197,2019
5.000000,11,105.929306,2020
5.000000,12,NaN,2011
5.000000,12,NaN,2012
5.000000,12,NaN,2013
5.000000,12,6.354872,2014
5.000000,12,NaN,2015
5.000000,12,NaN,2016
5.000000,12,5.203347,2017
5.000000,12,NaN,2018
5.000000,12,NaN,2019
5.000000,12,NaN,2020
5.000000,13,NaN,2010
5.000000,13,8.355075,2011
5.000000,13,7.314035,2012
5.000000,13,NaN,2013
5.000000,13,7.323316,2014
5.000000,13,36.381746,2015
5.000000,13,5.131589,2016
5.000000,13,30.254683,2017
5.000000,13,12.638087,2018
5.000000,13,13.560788,2019
5.000000,14,NaN,2012
5.000000,14,29.143316,2013
5.000000,14,69.930694,2014
5.000000,14,196.963730,2015
5.000000,14,60.757885,2016
5.000000,14,94.268820,2017
5.000000,14,77.644532,2018
5.000000,14,86.035030,2019
5.000000,14,148.424154,2020
5.000000,15,NaN,2012
5.000000,15,8.086954,2013
5.000000,15,72.456557,2014
5.000000,15,161.608171,2015
5.000000,15,83.153766,2016
5.000000,15,56.062793,2017
5.000000,15,104.414938,2018
5.000000,15,81.868438,2019
5.000000,15,34.421118,2020
5.000000,16,NaN,2010
5.000000,16,101.891695,2011
5.000000,16,96.227300,2012
5.000000,16,30.569268,2013
5.000000,16,147.006614,2014
5.000000,16,22.845491,2015
5.000000,16,8.532210,2016
5.000000,16,55.743120,2017
5.000000,16,NaN,2018
5.000000,16,114.967778,2019
5.000000,17,NaN,2010
5.000000,17,9.473980,2011
5.000000,17,NaN,2012
5.000000,17,3.710663,2013
5.000000,17,4.045735,2014
5.000000,17,NaN,2015
5.000000,17,6.103620,2016
5.000000,17,4.265394,2017
5.000000,17,3.848271,2018
5.000000,17,79.438082,2019
5.000000,18,NaN,2010
5.000000,18,80.517920,2011
5.000000,18,97.554212,2012
5.000000,18,126.999994,2013
5.000000,18,172.208693,2014
