depth,sid,value,WY
5.000000,1,NaN,2010
5.000000,1,100.573383,2011
5.000000,1,186.362913,2012
5.000000,1,NaN,2013
5.000000,1,NaN,2014
5.000000,1,78.890052,2015
5.000000,1,75.435253,2016
5.000000,1,118.972721,2017
5.000000,1,60.265147,2018
5.000000,2,NaN,2010
5.000000,2,55.640057,2011
5.000000,2,128.981612,2012
5.000000,2,56.488145,2013
5.000000,2,6.283468,2014
5.000000,2,NaN,2015
5.000000,2,161.999999,2016
5.000000,2,41.512589,2017
5.000000,2,138.418701,2018
5.000000,3,NaN,2010
5.000000,3,21.837534,2011
5.000000,3,65.088129,2012
5.000000,3,118.478551,2013
5.000000,3,9.397477,2014
5.000000,3,66.729302,2015
5.000000,3,78.636801,2016
5.000000,3,165.691472,2017
5.000000,3,169.606860,2018
5.000000,4,NaN,2010
5.000000,4,28.800602,2011
5.000000,4,87.059992,2012
5.000000,4,125.322294,2013
5.000000,4,7.957263,2014
5.000000,4,31.125037,2015
5.000000,4,185.181798,2016
5.000000,4,103.361446,2017
5.000000,5,NaN,2010
5.000000,5,11.911387,2011
5.000000,5,102.628183,2012
5.000000,5,12.854991,2013
5.000000,5,204.374145,2014
5.000000,5,25.657065,2015
5.000000,5,139.260748,2016
5.000000,5,NaN,2017
5.000000,5,17.000059,2018
5.000000,6,NaN,2009
5.000000,6,NaN,2010
5.000000,6,14.187912,2011
5.000000,6,NaN,2012
5.000000,6,NaN,2013
5.000000,6,7.104498,2014
5.000000,6,95.899834,2015
5.000000,6,109.756872,2016
5.000000,6,14.196954,2017
5.000000,6,28.679411,2018
5.000000,7,NaN,2009
5.000000,7,20.707181,2010
5.000000,7,5.847218,2011
5.000000,7,21.950827,2012
5.000000,7,8.131779,2013
5.000000,7,10.022318,2014
5.000000,7,13.324168,2015
5.000000,7,45.061205,2016
5.000000,7,NaN,2017
5.000000,7,11.345381,2018
5.000000,8,NaN,2008
5.000000,8,NaN,2009
5.000000,8,NaN,2010
5.000000,8,10.120617,2011
5.000000,8,NaN,2012
5.000000,8,NaN,2013
5.000000,8,34.201080,2014
5.000000,8,29.609286,2015
5.000000,8,19.402423,2016
5.000000,8,NaN,2017
5.000000,8,110.000702,2018
5.000000,9,NaN,2010
5.000000,9,14.321188,2011
5.000000,9,NaN,2012
5.000000,9,NaN,2013
5.000000,9,38.615509,2014
5.000000,9,31.473526,2015
5.000000,9,NaN,2016
5.000000,9,NaN,2017
5.000000,9,6.147109,2018
5.000000,10,NaN,2009
5.000000,10,4.794371,2010
5.000000,10,NaN,2011
5.000000,10,NaN,2012
5.000000,10,NaN,2013
5.000000,10,NaN,2014
5.000000,10,4.913386,2015
5.000000,10,19.199675,2016
5.000000,10,17.599648,2017
5.000000,11,NaN,2010
5.000000,11,16.546341,2011
5.000000,11,91.251785,2012
5.000000,11,17.179509,2013
5.000000,11,45.651899,2014
5.000000,11,62.014351,2015
5.000000,11,128.402730,2016
5.000000,11,128.655896,2017
5.000000,11,124.768176,2018
5.000000,12,NaN,2009
5.000000,12,26.045875,2010
5.000000,12,60.905872,2011
5.000000,12,60.016741,2012
