depth,sid,value,WY
5.000000,1,NaN,2012
5.000000,1,88.000000,2013
5.000000,1,138.000000,2014
5.000000,1,154.000000,2015
5.000000,1,NaN,2016
5.000000,1,24.000000,2017
5.000000,1,129.000000,2018
5.000000,1,14.000000,2019
5.000000,1,30.000000,2020
5.000000,2,NaN,2012
5.000000,2,168.000000,2013
5.000000,2,135.000000,2014
5.000000,2,186.000000,2015
5.000000,2,NaN,2016
5.000000,2,NaN,2017
5.000000,2,58.000000,2018
5.000000,2,113.000000,2019
5.000000,2,155.000000,2020
5.000000,3,NaN,2012
5.000000,3,146.000000,2013
5.000000,3,176.000000,2014
5.000000,3,62.000000,2015
5.000000,3,NaN,2016
5.000000,3,80.000000,2017
5.000000,3,73.000000,2018
5.000000,3,101.000000,2019
5.000000,3,28.000000,2020
5.000000,4,NaN,2012
5.000000,4,151.000000,2013
5.000000,4,129.000000,2014
5.000000,4,98.000000,2015
5.000000,4,70.000000,2016
5.000000,4,201.000000,2017
5.000000,4,165.000000,2018
5.000000,4,188.000000,2019
5.000000,4,190.000000,2020
5.000000,5,NaN,2012
5.000000,5,30.000000,2013
5.000000,5,139.000000,2014
5.000000,5,194.000000,2015
5.000000,5,220.000000,2016
5.000000,5,188.000000,2017
5.000000,5,102.000000,2018
5.000000,5,102.000000,2019
5.000000,5,167.000000,2020
5.000000,6,NaN,2010
5.000000,6,NaN,2011
5.000000,6,113.000000,2012
5.000000,6,170.000000,2013
5.000000,6,NaN,2014
5.000000,6,NaN,2015
5.000000,6,NaN,2016
5.000000,6,NaN,2017
5.000000,6,46.000000,2018
5.000000,6,NaN,2019
5.000000,7,66.000000,2011
5.000000,7,68.000000,2012
5.000000,7,32.000000,2013
5.000000,7,98.000000,2014
5.000000,7,117.000000,2015
5.000000,7,16.000000,2016
5.000000,7,199.000000,2017
5.000000,7,74.000000,2018
5.000000,7,18.000000,2019
5.000000,7,163.000000,2020
5.000000,8,NaN,2010
5.000000,8,9.000000,2011
5.000000,8,12.000000,2012
5.000000,8,18.000000,2013
5.000000,8,NaN,2014
5.000000,8,57.000000,2015
5.000000,8,NaN,2016
5.000000,8,NaN,2017
5.000000,8,34.000000,2018
5.000000,8,NaN,2019
5.000000,9,12.000000,2012
5.000000,9,18.000000,2013
5.000000,9,NaN,2014
5.000000,9,57.000000,2015
5.000000,9,NaN,2016
5.000000,9,NaN,2017
5.000000,9,35.000000,2018
5.000000,9,NaN,2019
5.000000,10,3.000000,2011
5.000000,10,5.000000,2012
5.000000,10,75.000000,2013
5.000000,10,NaN,2014
5.000000,10,NaN,2015
5.000000,10,65.000000,2016
5.000000,10,19.000000,2017
5.000000,10,30.000000,2018
5.000000,10,72.000000,2019
5.000000,11,NaN,2012
5.000000,11,NaN,2013
5.000000,11,203.000000,2014
5.000000,11,159.000000,2015
5.000000,11,242.000000,2016
5.000000,11,NaN,2017
5.000000,11,NaN,2018
5.000000,11,162.000000,2019
5.000000,11,NaN,2020
5.000000,12,NaN,2011
5.000000,12,NaN,2012
5.000000,12,50.000000,2013
5.000000,12,25.000000,2014
5.000000,12,NaN,2015
5.000000,12,NaN,2016
5.000000,12,NaN,2017
5.000000,12,NaN,2018
5.000000,12,NaN,2019
5.000000,12,45.000000,2020
5.000000,13,NaN,2010
5.000000,13,NaN,2011
5.000000,13,51.000000,2012
5.000000,13,NaN,2013
5.000000,13,118.000000,2014
5.000000,13,NaN,2015
5.000000,13,38.000000,2016
5.000000,13,NaN,2017
5.000000,13,NaN,2018
5.000000,13,NaN,2019
