depth,sid,value,WY
5.000000,1,NaN,2010
5.000000,1,37.000000,2011
5.000000,1,102.000000,2012
5.000000,1,NaN,2013
5.000000,1,NaN,2014
5.000000,1,NaN,2015
5.000000,1,92.000000,2016
5.000000,1,161.000000,2017
5.000000,1,54.000000,2018
5.000000,2,NaN,2010
5.000000,2,146.000000,2011
5.000000,2,228.000000,2012
5.000000,2,78.000000,2013
5.000000,2,17.000000,2014
5.000000,2,73.000000,2015
5.000000,2,162.000000,2016
5.000000,2,127.000000,2017
5.000000,2,217.000000,2018
5.000000,3,NaN,2010
5.000000,3,138.000000,2011
5.000000,3,169.000000,2012
5.000000,3,106.000000,2013
5.000000,3,25.000000,2014
5.000000,3,70.000000,2015
5.000000,3,153.000000,2016
5.000000,3,157.000000,2017
5.000000,3,67.000000,2018
5.000000,4,NaN,2010
5.000000,4,201.000000,2011
5.000000,4,196.000000,2012
5.000000,4,123.000000,2013
5.000000,4,13.000000,2014
5.000000,4,65.000000,2015
5.000000,4,151.000000,2016
5.000000,4,203.000000,2017
5.000000,5,18.000000,2010
5.000000,5,82.000000,2011
5.000000,5,51.000000,2012
5.000000,5,79.000000,2013
5.000000,5,8.000000,2014
5.000000,5,24.000000,2015
5.000000,5,144.000000,2016
5.000000,5,25.000000,2017
5.000000,5,114.000000,2018
5.000000,6,10.000000,2009
5.000000,6,NaN,2010
5.000000,6,44.000000,2011
5.000000,6,38.000000,2012
5.000000,6,22.000000,2013
5.000000,6,86.000000,2014
5.000000,6,84.000000,2015
5.000000,6,104.000000,2016
5.000000,6,24.000000,2017
5.000000,6,17.000000,2018
5.000000,7,35.000000,2009
5.000000,7,122.000000,2010
5.000000,7,49.000000,2011
5.000000,7,183.000000,2012
5.000000,7,48.000000,2013
5.000000,7,12.000000,2014
5.000000,7,173.000000,2015
5.000000,7,206.000000,2016
5.000000,7,38.000000,2017
5.000000,7,NaN,2018
5.000000,8,NaN,2008
5.000000,8,NaN,2009
5.000000,8,NaN,2010
5.000000,8,107.000000,2011
5.000000,8,NaN,2012
5.000000,8,28.000000,2013
5.000000,8,6.000000,2014
5.000000,8,5.000000,2015
5.000000,8,24.000000,2016
5.000000,8,33.000000,2017
5.000000,8,16.000000,2018
5.000000,9,NaN,2010
5.000000,9,49.000000,2011
5.000000,9,NaN,2012
5.000000,9,2.000000,2013
5.000000,9,8.000000,2014
5.000000,9,22.000000,2015
5.000000,9,NaN,2016
5.000000,9,NaN,2017
5.000000,9,202.000000,2018
5.000000,10,NaN,2009
5.000000,10,25.000000,2010
5.000000,10,NaN,2011
5.000000,10,5.000000,2012
5.000000,10,NaN,2013
5.000000,10,109.000000,2014
5.000000,10,18.000000,2015
5.000000,10,9.000000,2016
5.000000,10,175.000000,2017
5.000000,11,NaN,2010
5.000000,11,NaN,2011
5.000000,11,95.000000,2012
5.000000,11,90.000000,2013
5.000000,11,NaN,2014
5.000000,11,154.000000,2015
5.000000,11,NaN,2016
5.000000,11,24.000000,2017
5.000000,11,165.000000,2018
5.000000,12,NaN,2009
