depth,sid,value,WY
5.000000,1,NaN,2012
5.000000,1,74.717851,2013
5.000000,1,105.174787,2014
5.000000,1,59.425633,2015
5.000000,1,22.228932,2016
5.000000,1,20.860596,2017
5.000000,1,55.554597,2018
5.000000,1,18.311760,2019
5.000000,1,29.244120,2020
5.000000,2,NaN,2012
5.000000,2,132.397844,2013
5.000000,2,105.993091,2014
5.000000,2,41.563758,2015
5.000000,2,164.731387,2016
5.000000,2,161.999991,2017
5.000000,2,11.064027,2018
5.000000,2,100.539891,2019
5.000000,2,70.183219,2020
5.000000,3,NaN,2012
5.000000,3,132.292305,2013
5.000000,3,160.458586,2014
5.000000,3,66.998258,2015
5.000000,3,215.999836,2016
5.000000,3,69.634871,2017
5.000000,3,41.106044,2018
5.000000,3,43.759789,2019
5.000000,3,31.149225,2020
5.000000,4,NaN,2012
5.000000,4,75.507835,2013
5.000000,4,67.444141,2014
5.000000,4,66.327420,2015
5.000000,4,52.141584,2016
5.000000,4,130.547194,2017
5.000000,4,130.069070,2018
5.000000,4,133.630796,2019
5.000000,4,14.241194,2020
5.000000,5,NaN,2012
5.000000,5,26.538543,2013
5.000000,5,101.314513,2014
5.000000,5,138.778630,2015
5.000000,5,53.344431,2016
5.000000,5,129.484280,2017
5.000000,5,49.598769,2018
5.000000,5,85.913796,2019
5.000000,5,131.814576,2020
5.000000,6,NaN,2010
5.000000,6,22.540634,2011
5.000000,6,106.814264,2012
5.000000,6,102.876043,2013
5.000000,6,154.432526,2014
5.000000,6,42.143925,2015
5.000000,6,137.675111,2016
5.000000,6,125.234690,2017
5.000000,6,46.488743,2018
5.000000,6,NaN,2019
5.000000,7,50.715192,2011
5.000000,7,64.878235,2012
5.000000,7,24.193535,2013
5.000000,7,62.560161,2014
5.000000,7,87.547843,2015
5.000000,7,17.147777,2016
5.000000,7,165.459669,2017
5.000000,7,56.201967,2018
5.000000,7,20.973989,2019
5.000000,7,49.830667,2020
5.000000,8,NaN,2010
5.000000,8,14.477965,2011
5.000000,8,13.002475,2012
5.000000,8,20.104411,2013
5.000000,8,NaN,2014
5.000000,8,25.999980,2015
5.000000,8,NaN,2016
5.000000,8,NaN,2017
5.000000,8,29.130750,2018
5.000000,8,NaN,2019
5.000000,9,13.399440,2012
5.000000,9,20.099310,2013
5.000000,9,NaN,2014
5.000000,9,25.999999,2015
5.000000,9,NaN,2016
5.000000,9,NaN,2017
5.000000,9,29.609252,2018
5.000000,9,NaN,2019
5.000000,10,4.253024,2011
5.000000,10,6.987954,2012
5.000000,10,20.777764,2013
5.000000,10,NaN,2014
5.000000,10,40.332187,2015
5.000000,10,12.645196,2016
5.000000,10,17.382208,2017
5.000000,10,32.299661,2018
5.000000,10,4.182626,2019
5.000000,11,NaN,2012
5.000000,11,193.322650,2013
5.000000,11,175.092685,2014
5.000000,11,108.491253,2015
5.000000,11,181.340191,2016
5.000000,11,219.992388,2017
5.000000,11,161.175402,2018
5.000000,11,123.041475,2019
5.000000,11,151.399017,2020
5.000000,12,6.495507,2011
5.000000,12,NaN,2012
5.000000,12,9.355912,2013
5.000000,12,NaN,2014
5.000000,12,NaN,2015
5.000000,12,7.031730,2016
5.000000,12,152.333508,2017
5.000000,12,NaN,2018
5.000000,12,NaN,2019
5.000000,12,54.780692,2020
5.000000,13,NaN,2010
5.000000,13,22.727815,2011
5.000000,13,46.001428,2012
5.000000,13,29.579460,2013
5.000000,13,16.646035,2014
5.000000,13,8.262934,2015
5.000000,13,40.498789,2016
5.000000,13,6.824556,2017
5.000000,13,44.905218,2018
5.000000,13,8.407035,2019
5.000000,14,NaN,2012
5.000000,14,46.364018,2013
5.000000,14,28.969805,2014
5.000000,14,69.477226,2015
5.000000,14,61.103825,2016
5.000000,14,8.034448,2017
5.000000,14,16.288267,2018
5.000000,14,8.780826,2019
5.000000,14,6.005927,2020
5.000000,15,NaN,2012
5.000000,15,43.895568,2013
5.000000,15,126.312396,2014
5.000000,15,93.069011,2015
5.000000,15,127.276005,2016
5.000000,15,133.119172,2017
5.000000,15,96.872598,2018
5.000000,15,50.804292,2019
5.000000,15,133.352484,2020
5.000000,16,21.677687,2010
5.000000,16,200.107719,2011
5.000000,16,79.009886,2012
5.000000,16,23.578992,2013
5.000000,16,19.393977,2014
5.000000,16,43.958987,2015
5.000000,16,71.521069,2016
5.000000,16,67.909518,2017
5.000000,16,55.738510,2018
5.000000,16,18.437617,2019
5.000000,17,NaN,2010
5.000000,17,15.476474,2011
5.000000,17,9.652377,2012
5.000000,17,27.877429,2013
5.000000,17,27.762030,2014
5.000000,17,NaN,2015
