depth,sid,value,WY
5.000000,1,NaN,2011
5.000000,1,NaN,2012
5.000000,1,NaN,2013
5.000000,1,-242.000000,2014
5.000000,1,-403.000000,2015
5.000000,1,-240.000000,2016
5.000000,1,-218.000000,2017
5.000000,1,-166.000000,2018
5.000000,1,155.000000,2019
5.000000,2,NaN,2012
5.000000,2,-217.000000,2013
5.000000,2,-178.000000,2014
5.000000,2,-188.000000,2015
5.000000,2,-161.000000,2016
5.000000,2,NaN,2017
5.000000,2,-110.000000,2018
5.000000,2,-200.000000,2019
5.000000,2,207.000000,2020
5.000000,3,NaN,2012
5.000000,3,-215.000000,2013
5.000000,3,-237.000000,2014
5.000000,3,-187.000000,2015
5.000000,3,-286.000000,2016
5.000000,3,-231.000000,2017
5.000000,3,-185.000000,2018
5.000000,3,NaN,2019
5.000000,3,208.000000,2020
5.000000,4,NaN,2012
5.000000,4,-290.000000,2013
5.000000,4,-159.000000,2014
5.000000,4,NaN,2015
5.000000,4,-175.000000,2016
5.000000,4,-269.000000,2017
5.000000,4,-129.000000,2018
5.000000,4,-157.000000,2019
5.000000,5,NaN,2012
5.000000,5,-313.000000,2013
5.000000,5,-184.000000,2014
5.000000,5,-339.000000,2015
5.000000,5,NaN,2016
5.000000,5,-277.000000,2017
5.000000,5,-186.000000,2018
5.000000,5,NaN,2019
5.000000,5,50.000000,2020
5.000000,6,NaN,2010
5.000000,6,NaN,2011
5.000000,6,-39.000000,2012
5.000000,6,NaN,2013
5.000000,6,NaN,2014
5.000000,6,-42.000000,2015
5.000000,6,NaN,2016
5.000000,6,NaN,2017
5.000000,6,-44.000000,2018
5.000000,6,140.000000,2019
5.000000,7,NaN,2011
5.000000,7,-296.000000,2012
5.000000,7,-286.000000,2013
5.000000,7,-242.000000,2014
5.000000,7,-269.000000,2015
5.000000,7,-257.000000,2016
5.000000,7,-237.000000,2017
5.000000,7,-233.000000,2018
5.000000,7,NaN,2019
5.000000,7,207.000000,2020
5.000000,8,NaN,2010
5.000000,8,NaN,2011
5.000000,8,-180.000000,2012
5.000000,8,-234.000000,2013
5.000000,8,-184.000000,2014
5.000000,8,NaN,2015
5.000000,8,NaN,2016
5.000000,8,-299.000000,2017
5.000000,8,-211.000000,2018
5.000000,8,NaN,2019
5.000000,8,52.000000,2020
5.000000,9,NaN,2012
5.000000,9,-229.000000,2013
5.000000,9,-158.000000,2014
5.000000,9,NaN,2015
5.000000,9,-204.000000,2016
5.000000,9,-292.000000,2017
5.000000,9,-212.000000,2018
5.000000,9,NaN,2019
5.000000,9,53.000000,2020
5.000000,10,NaN,2011
5.000000,10,-163.000000,2012
5.000000,10,-293.000000,2013
5.000000,10,NaN,2014
5.000000,10,-327.000000,2015
5.000000,10,NaN,2016
5.000000,10,NaN,2017
5.000000,10,-192.000000,2018
5.000000,10,-219.000000,2019
5.000000,11,NaN,2012
5.000000,11,-226.000000,2013
5.000000,11,-228.000000,2014
5.000000,11,NaN,2015
5.000000,11,-265.000000,2016
5.000000,11,-247.000000,2017
5.000000,11,-201.000000,2018
5.000000,11,-208.000000,2019
5.000000,11,184.000000,2020
5.000000,12,NaN,2011
5.000000,12,-170.000000,2012
5.000000,12,-247.000000,2013
5.000000,12,-130.000000,2014
5.000000,12,NaN,2015
5.000000,12,-310.000000,2016
5.000000,12,-298.000000,2017
5.000000,12,-224.000000,2018
5.000000,12,-327.000000,2019
5.000000,12,55.000000,2020
5.000000,13,NaN,2010
5.000000,13,NaN,2011
5.000000,13,-24.000000,2012
5.000000,13,NaN,2013
5.000000,13,-45.000000,2014
5.000000,13,-13.000000,2015
5.000000,13,NaN,2016
5.000000,13,-1.000000,2017
5.000000,13,-56.000000,2018
5.000000,13,-62.000000,2019
5.000000,14,NaN,2012
5.000000,14,-324.000000,2013
5.000000,14,-272.000000,2014
5.000000,14,NaN,2015
5.000000,14,-152.000000,2016
5.000000,14,-241.000000,2017
5.000000,14,-142.000000,2018
5.000000,14,-109.000000,2019
5.000000,14,NaN,2020
5.000000,15,NaN,2011
5.000000,15,NaN,2012
5.000000,15,128.000000,2013
5.000000,15,96.000000,2014
5.000000,15,76.000000,2015
5.000000,15,81.000000,2016
5.000000,15,159.000000,2017
5.000000,15,NaN,2018
5.000000,15,108.000000,2019
5.000000,16,NaN,2011
5.000000,16,-254.000000,2012
5.000000,16,-177.000000,2013
5.000000,16,-247.000000,2014
5.000000,16,-269.000000,2015
5.000000,16,-257.000000,2016
5.000000,16,NaN,2017
5.000000,16,-172.000000,2018
5.000000,16,NaN,2019
5.000000,16,182.000000,2020
5.000000,17,NaN,2010
5.000000,17,-72.000000,2011
5.000000,17,NaN,2012
5.000000,17,NaN,2013
5.000000,17,NaN,2014
5.000000,17,-6.000000,2015
5.000000,17,73.000000,2016
5.000000,17,NaN,2017
5.000000,17,NaN,2018
5.000000,17,31.000000,2019
5.000000,18,NaN,2011
5.000000,18,-300.000000,2012
5.000000,18,-159.000000,2013
5.000000,18,NaN,2014
5.000000,18,-185.000000,2015
5.000000,18,NaN,2016
5.000000,18,NaN,2017
5.000000,18,NaN,2018
5.000000,18,-182.000000,2019
5.000000,18,NaN,2020
5.000000,19,NaN,2010
5.000000,19,-60.000000,2011
5.000000,19,-36.000000,2012
5.000000,19,NaN,2013
5.000000,19,NaN,2014
5.000000,19,7.000000,2015
5.000000,19,42.000000,2016
5.000000,19,27.000000,2017
5.000000,19,-16.000000,2018
5.000000,19,-3.000000,2019
5.000000,20,NaN,2012
5.000000,20,-218.000000,2013
5.000000,20,-244.000000,2014
5.000000,20,-143.000000,2015
5.000000,20,-240.000000,2016
5.000000,20,-237.000000,2017
5.000000,20,-222.000000,2018
5.000000,20,-247.000000,2019
5.000000,20,270.000000,2020
5.000000,21,NaN,2012
5.000000,21,-290.000000,2013
5.000000,21,-336.000000,2014
5.000000,21,NaN,2015
5.000000,21,-106.000000,2016
5.000000,21,-210.000000,2017
5.000000,21,-203.000000,2018
5.000000,21,-323.000000,2019
5.000000,21,NaN,2020
5.000000,22,NaN,2010
5.000000,22,-344.000000,2011
5.000000,22,-159.000000,2012
5.000000,22,-315.000000,2013
5.000000,22,-186.000000,2014
5.000000,22,-196.000000,2015
5.000000,22,-196.000000,2016
5.000000,22,-298.000000,2017
5.000000,22,-207.000000,2018
5.000000,22,-184.000000,2019
5.000000,22,54.000000,2020
5.000000,23,NaN,2010
5.000000,23,-224.000000,2011
5.000000,23,NaN,2012
5.000000,23,-153.000000,2013
5.000000,23,-183.000000,2014
5.000000,23,NaN,2015
5.000000,23,-277.000000,2016
5.000000,23,-198.000000,2017
5.000000,23,NaN,2018
5.000000,23,-284.000000,2019
5.000000,23,135.000000,2020
5.000000,24,NaN,2010
5.000000,24,-61.000000,2011
5.000000,24,-17.000000,2012
5.000000,24,NaN,2013
5.000000,24,-47.000000,2014
5.000000,24,-40.000000,2015
5.000000,24,71.000000,2016
5.000000,24,NaN,2017
5.000000,24,NaN,2018
5.000000,24,-13.000000,2019
5.000000,25,NaN,2012
5.000000,25,-228.000000,2013
5.000000,25,-312.000000,2014
5.000000,25,-163.000000,2015
