depth,sid,value,WY
5.000000,1,NaN,2012
5.000000,1,734956.902750,2013
5.000000,1,735283.000069,2014
5.000000,1,735579.999997,2015
5.000000,1,735806.842999,2016
5.000000,1,736335.000000,2017
5.000000,1,736694.000000,2018
5.000000,1,736881.000000,2019
5.000000,1,737426.000167,2020
5.000000,2,NaN,2012
5.000000,2,734857.455855,2013
5.000000,2,735240.592483,2014
5.000000,2,735598.389362,2015
5.000000,2,735969.998758,2016
5.000000,2,736346.999993,2017
5.000000,2,736713.869950,2018
5.000000,2,737063.000000,2019
5.000000,2,737447.377661,2020
5.000000,3,NaN,2012
5.000000,3,NaN,2013
5.000000,3,735194.701062,2014
5.000000,3,735624.901336,2015
5.000000,3,735912.925376,2016
5.000000,3,736292.572478,2017
5.000000,3,736701.226037,2018
5.000000,3,737032.476260,2019
5.000000,3,737380.197471,2020
5.000000,4,NaN,2012
5.000000,4,734913.975232,2013
5.000000,4,735275.387015,2014
5.000000,4,735660.009724,2015
5.000000,4,735939.718767,2016
5.000000,4,736359.374910,2017
5.000000,4,736755.341377,2018
5.000000,4,737114.867576,2019
5.000000,4,737485.194457,2020
5.000000,5,NaN,2012
5.000000,5,734796.584631,2013
5.000000,5,735283.006409,2014
5.000000,5,735616.000000,2015
5.000000,5,735978.999855,2016
5.000000,5,736364.869965,2017
5.000000,5,736694.121862,2018
5.000000,5,737150.150952,2019
5.000000,5,737473.005646,2020
5.000000,6,NaN,2010
5.000000,6,734322.314749,2011
5.000000,6,734680.000000,2012
5.000000,6,735039.889173,2013
5.000000,6,735406.679868,2014
5.000000,6,735775.346785,2015
5.000000,6,736129.000000,2016
5.000000,6,736536.256310,2017
5.000000,6,736876.000000,2018
5.000000,6,737247.161106,2019
5.000000,7,NaN,2011
5.000000,7,734487.000000,2012
5.000000,7,734808.506424,2013
5.000000,7,735217.000000,2014
5.000000,7,735537.000000,2015
5.000000,7,735939.000000,2016
5.000000,7,736314.548093,2017
5.000000,7,736702.000000,2018
5.000000,7,NaN,2019
5.000000,7,737237.319489,2020
5.000000,8,NaN,2010
5.000000,8,NaN,2011
5.000000,8,NaN,2012
5.000000,8,NaN,2013
5.000000,8,NaN,2014
5.000000,8,NaN,2015
5.000000,8,NaN,2016
5.000000,8,NaN,2017
5.000000,8,736767.827261,2018
5.000000,8,737158.000000,2019
5.000000,9,NaN,2012
5.000000,9,NaN,2013
5.000000,9,NaN,2014
5.000000,9,735742.864482,2015
5.000000,9,NaN,2016
5.000000,9,NaN,2017
5.000000,9,736768.000000,2018
5.000000,9,737158.266468,2019
5.000000,10,NaN,2011
5.000000,10,734466.132655,2012
