depth,sid,value,WY
5.000000,1,NaN,2010
5.000000,1,734967.130335,2011
5.000000,1,735252.999999,2012
5.000000,1,NaN,2013
5.000000,1,NaN,2014
5.000000,1,736282.145442,2015
5.000000,1,736688.439567,2016
5.000000,1,737116.972721,2017
5.000000,1,737435.000008,2018
5.000000,2,NaN,2010
5.000000,2,734865.999947,2011
5.000000,2,735267.503706,2012
5.000000,2,735614.195149,2013
5.000000,2,735856.000000,2014
5.000000,2,NaN,2015
5.000000,2,736716.000000,2016
5.000000,2,737013.833038,2017
5.000000,2,737437.418587,2018
5.000000,3,NaN,2010
5.000000,3,734870.587133,2011
5.000000,3,735202.901093,2012
5.000000,3,735686.795883,2013
5.000000,3,735892.079692,2014
5.000000,3,736304.259094,2015
5.000000,3,736722.960461,2016
5.000000,3,737124.000000,2017
5.000000,3,737477.604543,2018
5.000000,4,NaN,2010
5.000000,4,734788.739258,2011
5.000000,4,735279.060066,2012
5.000000,4,735665.004194,2013
5.000000,4,735858.000000,2014
5.000000,4,736270.243246,2015
5.000000,4,736731.181788,2016
5.000000,4,737073.579980,2017
5.000000,5,NaN,2010
5.000000,5,734774.611441,2011
5.000000,5,735316.327923,2012
5.000000,5,735479.466959,2013
5.000000,5,735983.374123,2014
5.000000,5,736263.531567,2015
5.000000,5,736704.000000,2016
5.000000,5,NaN,2017
5.000000,5,737330.000000,2018
5.000000,6,NaN,2009
5.000000,6,NaN,2010
5.000000,6,734681.000000,2011
5.000000,6,NaN,2012
5.000000,6,NaN,2013
5.000000,6,735773.000000,2014
5.000000,6,736214.000000,2015
5.000000,6,736677.756927,2016
5.000000,6,736872.301850,2017
5.000000,6,737413.508794,2018
5.000000,7,NaN,2009
5.000000,7,734420.020850,2010
5.000000,7,734799.596128,2011
5.000000,7,735205.905507,2012
5.000000,7,735547.000000,2013
5.000000,7,735924.651182,2014
5.000000,7,736307.000000,2015
5.000000,7,736672.235573,2016
5.000000,7,NaN,2017
5.000000,7,737383.721879,2018
5.000000,8,NaN,2008
5.000000,8,NaN,2009
5.000000,8,NaN,2010
5.000000,8,734750.129764,2011
5.000000,8,NaN,2012
5.000000,8,NaN,2013
5.000000,8,735980.999169,2014
5.000000,8,736253.609327,2015
5.000000,8,736699.914424,2016
5.000000,8,NaN,2017
5.000000,8,737418.999999,2018
5.000000,9,NaN,2010
5.000000,9,734855.000000,2011
5.000000,9,NaN,2012
5.000000,9,NaN,2013
5.000000,9,735981.615552,2014
5.000000,9,736249.065121,2015
5.000000,9,NaN,2016
5.000000,9,NaN,2017
5.000000,9,737327.922296,2018
5.000000,10,NaN,2009
5.000000,10,734551.623650,2010
5.000000,10,NaN,2011
5.000000,10,NaN,2012
5.000000,10,NaN,2013
5.000000,10,NaN,2014
5.000000,10,736227.000000,2015
5.000000,10,736716.000000,2016
5.000000,10,737053.542028,2017
5.000000,11,NaN,2010
5.000000,11,734860.436475,2011
5.000000,11,735219.999988,2012
5.000000,11,735494.000000,2013
5.000000,11,735913.953092,2014
5.000000,11,736294.014351,2015
5.000000,11,736692.401370,2016
5.000000,11,737057.368656,2017
5.000000,11,737445.817419,2018
5.000000,12,NaN,2009
5.000000,12,734545.699280,2010
5.000000,12,734838.905899,2011
5.000000,12,735308.249346,2012
5.000000,12,NaN,2013
5.000000,12,735953.838945,2014
5.000000,12,736247.000000,2015
5.000000,12,736685.878699,2016
5.000000,12,NaN,2017
5.000000,12,737331.742465,2018
5.000000,13,NaN,2009
5.000000,13,NaN,2010
5.000000,13,734696.000001,2011
5.000000,13,NaN,2012
5.000000,13,NaN,2013
5.000000,13,735801.277146,2014
5.000000,13,NaN,2015
5.000000,13,NaN,2016
5.000000,13,NaN,2017
5.000000,13,737239.000000,2018
5.000000,14,NaN,2010
5.000000,14,734771.049677,2011
5.000000,14,735176.000000,2012
5.000000,14,735635.134090,2013
5.000000,14,735821.770930,2014
5.000000,14,NaN,2015
5.000000,14,736704.999999,2016
5.000000,14,737113.000000,2017
5.000000,14,737484.999999,2018
5.000000,15,NaN,2010
5.000000,15,NaN,2011
5.000000,15,735194.858847,2012
5.000000,15,735650.486787,2013
5.000000,15,735921.000073,2014
5.000000,15,736261.235122,2015
5.000000,15,736728.441189,2016
5.000000,15,737064.000009,2017
5.000000,15,737380.000000,2018
5.000000,16,NaN,2009
5.000000,16,734476.000000,2010
5.000000,16,734900.001250,2011
5.000000,16,735246.000000,2012
5.000000,16,NaN,2013
5.000000,16,736027.960210,2014
5.000000,16,NaN,2015
5.000000,16,736701.767586,2016
5.000000,16,NaN,2017
5.000000,16,737428.000000,2018
5.000000,17,NaN,2009
5.000000,17,734303.117423,2010
5.000000,17,NaN,2011
5.000000,17,NaN,2012
5.000000,17,735577.000677,2013
5.000000,17,735809.000000,2014
5.000000,17,NaN,2015
5.000000,17,736553.000059,2016
5.000000,17,NaN,2017
5.000000,17,737201.000000,2018
5.000000,18,NaN,2009
5.000000,18,734421.218845,2010
5.000000,18,734880.349263,2011
5.000000,18,735126.000000,2012
5.000000,18,735638.870116,2013
5.000000,18,736022.000000,2014
