depth,sid,value,WY
5.000000,1,NaN,2010
5.000000,1,68.000000,2011
5.000000,1,105.000000,2012
5.000000,1,NaN,2013
5.000000,1,NaN,2014
5.000000,1,NaN,2015
5.000000,1,121.000000,2016
5.000000,1,182.000000,2017
5.000000,1,149.000000,2018
5.000000,2,NaN,2010
5.000000,2,-237.000000,2011
5.000000,2,-130.000000,2012
5.000000,2,-226.000000,2013
5.000000,2,-225.000000,2014
5.000000,2,-206.000000,2015
5.000000,2,-213.000000,2016
5.000000,2,-192.000000,2017
5.000000,2,216.000000,2018
5.000000,3,NaN,2010
5.000000,3,-173.000000,2011
5.000000,3,-185.000000,2012
5.000000,3,-202.000000,2013
5.000000,3,-218.000000,2014
5.000000,3,-199.000000,2015
5.000000,3,-201.000000,2016
5.000000,3,-190.000000,2017
5.000000,3,173.000000,2018
5.000000,4,NaN,2010
5.000000,4,-146.000000,2011
5.000000,4,-135.000000,2012
5.000000,4,-220.000000,2013
5.000000,4,-222.000000,2014
5.000000,4,-209.000000,2015
5.000000,4,-201.000000,2016
5.000000,4,-150.000000,2017
5.000000,5,-194.000000,2010
5.000000,5,-259.000000,2011
5.000000,5,-232.000000,2012
5.000000,5,-239.000000,2013
5.000000,5,-218.000000,2014
5.000000,5,-231.000000,2015
5.000000,5,-242.000000,2016
5.000000,5,-249.000000,2017
5.000000,5,179.000000,2018
5.000000,6,81.000000,2009
5.000000,6,NaN,2010
5.000000,6,38.000000,2011
5.000000,6,66.000000,2012
5.000000,6,69.000000,2013
5.000000,6,109.000000,2014
5.000000,6,99.000000,2015
5.000000,6,84.000000,2016
5.000000,6,70.000000,2017
5.000000,6,64.000000,2018
5.000000,7,-267.000000,2009
5.000000,7,-209.000000,2010
5.000000,7,-242.000000,2011
5.000000,7,-218.000000,2012
5.000000,7,-261.000000,2013
5.000000,7,-314.000000,2014
5.000000,7,-222.000000,2015
5.000000,7,-197.000000,2016
5.000000,7,-263.000000,2017
5.000000,7,NaN,2018
5.000000,8,NaN,2008
5.000000,8,NaN,2009
5.000000,8,NaN,2010
5.000000,8,-239.000000,2011
5.000000,8,NaN,2012
5.000000,8,-205.000000,2013
5.000000,8,-243.000000,2014
5.000000,8,-265.000000,2015
5.000000,8,-237.000000,2016
5.000000,8,-196.000000,2017
5.000000,8,77.000000,2018
5.000000,9,NaN,2010
5.000000,9,-240.000000,2011
5.000000,9,NaN,2012
5.000000,9,-172.000000,2013
5.000000,9,-155.000000,2014
5.000000,9,-240.000000,2015
5.000000,9,NaN,2016
5.000000,9,NaN,2017
5.000000,9,223.000000,2018
5.000000,10,NaN,2009
5.000000,10,-190.000000,2010
5.000000,10,NaN,2011
5.000000,10,-259.000000,2012
5.000000,10,NaN,2013
5.000000,10,-148.000000,2014
5.000000,10,-242.000000,2015
5.000000,10,-238.000000,2016
5.000000,10,-102.000000,2017
5.000000,11,NaN,2010
5.000000,11,NaN,2011
5.000000,11,-292.000000,2012
5.000000,11,-250.000000,2013
5.000000,11,NaN,2014
5.000000,11,-241.000000,2015
5.000000,11,NaN,2016
5.000000,11,-198.000000,2017
5.000000,11,182.000000,2018
5.000000,12,NaN,2009
5.000000,12,-156.000000,2010
5.000000,12,-211.000000,2011
5.000000,12,-230.000000,2012
5.000000,12,-167.000000,2013
5.000000,12,-217.000000,2014
5.000000,12,NaN,2015
5.000000,12,-230.000000,2016
5.000000,12,-152.000000,2017
5.000000,12,204.000000,2018
5.000000,13,NaN,2009
5.000000,13,NaN,2010
5.000000,13,50.000000,2011
5.000000,13,-99.000000,2012
5.000000,13,NaN,2013
5.000000,13,69.000000,2014
5.000000,13,47.000000,2015
5.000000,13,63.000000,2016
5.000000,13,64.000000,2017
5.000000,13,NaN,2018
5.000000,14,NaN,2010
5.000000,14,-173.000000,2011
5.000000,14,-210.000000,2012
5.000000,14,-208.000000,2013
5.000000,14,-222.000000,2014
5.000000,14,NaN,2015
5.000000,14,-188.000000,2016
5.000000,14,-149.000000,2017
5.000000,14,NaN,2018
