depth,sid,value,WY
5.000000,1,NaN,2012
5.000000,1,735016.000000,2013
5.000000,1,735405.000000,2014
5.000000,1,735741.000000,2015
5.000000,1,NaN,2016
5.000000,1,736395.000000,2017
5.000000,1,736830.000000,2018
5.000000,1,737220.000000,2019
5.000000,1,737605.000000,2020
5.000000,2,NaN,2012
5.000000,2,735040.000000,2013
5.000000,2,735409.000000,2014
5.000000,2,735798.000000,2015
5.000000,2,NaN,2016
5.000000,2,NaN,2017
5.000000,2,736875.000000,2018
5.000000,2,737259.000000,2019
5.000000,2,737676.000000,2020
5.000000,3,NaN,2012
5.000000,3,735060.000000,2013
5.000000,3,735455.000000,2014
5.000000,3,735757.000000,2015
5.000000,3,NaN,2016
5.000000,3,736535.000000,2017
5.000000,3,736873.000000,2018
5.000000,3,737276.000000,2019
5.000000,3,737611.000000,2020
5.000000,4,NaN,2012
5.000000,4,735059.000000,2013
5.000000,4,735406.000000,2014
5.000000,4,735759.000000,2015
5.000000,4,736072.000000,2016
5.000000,4,736566.000000,2017
5.000000,4,736908.000000,2018
5.000000,4,737301.000000,2019
5.000000,4,737682.000000,2020
5.000000,5,NaN,2012
5.000000,5,734958.000000,2013
5.000000,5,735417.000000,2014
5.000000,5,735810.000000,2015
5.000000,5,736190.000000,2016
5.000000,5,736541.000000,2017
5.000000,5,736813.000000,2018
5.000000,5,737230.000000,2019
5.000000,5,737646.000000,2020
5.000000,6,NaN,2010
5.000000,6,NaN,2011
5.000000,6,734974.000000,2012
5.000000,6,735401.000000,2013
5.000000,6,NaN,2014
5.000000,6,NaN,2015
5.000000,6,NaN,2016
5.000000,6,NaN,2017
5.000000,6,737181.000000,2018
5.000000,6,NaN,2019
5.000000,7,734288.000000,2011
5.000000,7,734653.000000,2012
5.000000,7,735024.000000,2013
5.000000,7,735379.000000,2014
5.000000,7,735764.000000,2015
5.000000,7,736059.000000,2016
5.000000,7,736525.000000,2017
5.000000,7,736827.000000,2018
5.000000,7,737175.000000,2019
5.000000,7,737619.000000,2020
5.000000,8,NaN,2010
5.000000,8,734383.000000,2011
5.000000,8,734885.000000,2012
5.000000,8,735178.000000,2013
5.000000,8,NaN,2014
5.000000,8,735867.000000,2015
5.000000,8,NaN,2016
5.000000,8,NaN,2017
5.000000,8,737009.000000,2018
5.000000,8,NaN,2019
5.000000,9,734885.000000,2012
5.000000,9,735178.000000,2013
5.000000,9,NaN,2014
5.000000,9,735867.000000,2015
5.000000,9,NaN,2016
5.000000,9,NaN,2017
5.000000,9,737010.000000,2018
5.000000,9,NaN,2019
5.000000,10,734342.000000,2011
5.000000,10,734709.000000,2012
5.000000,10,735118.000000,2013
5.000000,10,NaN,2014
5.000000,10,NaN,2015
5.000000,10,736196.000000,2016
5.000000,10,736487.000000,2017
5.000000,10,736875.000000,2018
5.000000,10,737316.000000,2019
5.000000,11,NaN,2012
5.000000,11,NaN,2013
5.000000,11,735453.000000,2014
5.000000,11,735799.000000,2015
5.000000,11,736201.000000,2016
5.000000,11,NaN,2017
5.000000,11,NaN,2018
5.000000,11,737313.000000,2019
5.000000,11,NaN,2020
5.000000,12,NaN,2011
5.000000,12,NaN,2012
5.000000,12,735042.000000,2013
5.000000,12,735533.000000,2014
5.000000,12,NaN,2015
5.000000,12,NaN,2016
5.000000,12,NaN,2017
5.000000,12,NaN,2018
5.000000,12,NaN,2019
5.000000,12,737685.000000,2020
5.000000,13,NaN,2010
5.000000,13,NaN,2011
5.000000,13,734944.000000,2012
5.000000,13,NaN,2013
5.000000,13,735695.000000,2014
5.000000,13,NaN,2015
5.000000,13,736384.000000,2016
5.000000,13,NaN,2017
5.000000,13,NaN,2018
5.000000,13,NaN,2019
5.000000,14,NaN,2012
5.000000,14,735110.000000,2013
5.000000,14,NaN,2014
5.000000,14,735779.000000,2015
5.000000,14,736077.000000,2016
5.000000,14,736452.000000,2017
5.000000,14,736922.000000,2018
5.000000,14,737264.000000,2019
5.000000,14,737619.000000,2020
5.000000,15,NaN,2012
5.000000,15,735021.000000,2013
5.000000,15,735410.000000,2014
5.000000,15,735763.000000,2015
5.000000,15,736152.000000,2016
5.000000,15,736505.000000,2017
