depth,sid,value,WY
5.000000,1,NaN,2012
5.000000,1,-259.881583,2013
5.000000,1,-237.825213,2014
5.000000,1,-311.379559,2015
5.000000,1,-339.506096,2016
5.000000,1,-334.138820,2017
5.000000,1,-314.445392,2018
5.000000,1,-236.690328,2019
5.000000,1,148.244266,2020
5.000000,2,NaN,2012
5.000000,2,-235.602157,2013
5.000000,2,-232.803931,2014
5.000000,2,-317.436242,2015
5.000000,2,-212.268613,2016
5.000000,2,-195.000000,2017
5.000000,2,-320.291240,2018
5.000000,2,-212.198367,2019
5.000000,2,179.590192,2020
5.000000,3,NaN,2012
5.000000,3,-212.720749,2013
5.000000,3,-192.541803,2014
5.000000,3,-236.999752,2015
5.000000,3,-163.000070,2016
5.000000,3,-198.313254,2017
5.000000,3,-238.854026,2018
5.000000,3,-207.239934,2019
5.000000,3,154.393058,2020
5.000000,4,NaN,2012
5.000000,4,-261.325440,2013
5.000000,4,-268.506366,2014
5.000000,4,-248.672580,2015
5.000000,4,-299.657093,2016
5.000000,4,-212.452687,2017
5.000000,4,-200.930924,2018
5.000000,4,-192.369204,2019
5.000000,4,93.937931,2020
5.000000,5,NaN,2012
5.000000,5,-311.032682,2013
5.000000,5,-235.685487,2014
5.000000,5,-228.997202,2015
5.000000,5,-309.655569,2016
5.000000,5,-226.515734,2017
5.000000,5,-305.548163,2018
5.000000,5,-233.821974,2019
5.000000,5,163.023280,2020
5.000000,6,NaN,2010
5.000000,6,-86.459366,2011
5.000000,6,66.176374,2012
5.000000,6,98.961314,2013
5.000000,6,112.000106,2014
5.000000,6,-75.814479,2015
5.000000,6,63.675111,2016
5.000000,6,93.669567,2017
5.000000,6,88.792022,2018
5.000000,6,NaN,2019
5.000000,7,-254.080804,2011
5.000000,7,-249.121769,2012
5.000000,7,-285.541683,2013
5.000000,7,-266.773026,2014
5.000000,7,-245.452200,2015
5.000000,7,-303.220935,2016
5.000000,7,-218.760537,2017
5.000000,7,-276.275735,2018
5.000000,7,-280.734046,2019
5.000000,7,89.314170,2020
5.000000,8,NaN,2010
5.000000,8,-153.463497,2011
5.000000,8,-16.993162,2012
5.000000,8,-87.696804,2013
5.000000,8,NaN,2014
5.000000,8,-151.000020,2015
5.000000,8,NaN,2016
5.000000,8,NaN,2017
5.000000,8,-136.869250,2018
5.000000,8,NaN,2019
5.000000,9,-16.592516,2012
5.000000,9,-87.698549,2013
5.000000,9,NaN,2014
5.000000,9,-151.000001,2015
5.000000,9,NaN,2016
5.000000,9,NaN,2017
5.000000,9,-136.390748,2018
5.000000,9,NaN,2019
5.000000,10,-163.001156,2011
5.000000,10,-193.003592,2012
5.000000,10,-213.222445,2013
5.000000,10,NaN,2014
5.000000,10,-193.000000,2015
5.000000,10,-221.354804,2016
5.000000,10,-241.617792,2017
5.000000,10,-217.866746,2018
5.000000,10,-205.521798,2019
5.000000,11,NaN,2012
5.000000,11,-172.677350,2013
5.000000,11,-202.730314,2014
5.000000,11,-227.913395,2015
5.000000,11,-197.395938,2016
5.000000,11,-168.007609,2017
5.000000,11,-182.203137,2018
