depth,sid,value,WY
5.000000,1,NaN,2010
5.000000,1,67.492558,2011
5.000000,1,64.864342,2012
5.000000,1,NaN,2013
5.000000,1,57.636600,2014
5.000000,1,50.493704,2015
5.000000,1,118.000000,2016
5.000000,1,87.369598,2017
5.000000,1,144.123907,2018
5.000000,2,NaN,2010
5.000000,2,-255.218413,2011
5.000000,2,-191.342037,2012
5.000000,2,-232.000009,2013
5.000000,2,-224.293315,2014
5.000000,2,-207.552310,2015
5.000000,2,-224.405818,2016
5.000000,2,-200.834955,2017
5.000000,2,181.215363,2018
5.000000,3,NaN,2010
5.000000,3,-187.821735,2011
5.000000,3,-191.355310,2012
5.000000,3,-204.196786,2013
5.000000,3,-219.145062,2014
5.000000,3,-177.958215,2015
5.000000,3,-238.226827,2016
5.000000,3,-200.523537,2017
5.000000,3,186.467488,2018
5.000000,4,NaN,2010
5.000000,4,-203.535525,2011
5.000000,4,-178.000002,2012
5.000000,4,-235.000000,2013
5.000000,4,-222.442882,2014
5.000000,4,-210.437531,2015
5.000000,4,-207.516039,2016
5.000000,4,-181.466436,2017
5.000000,5,-195.971112,2010
5.000000,5,-262.467009,2011
5.000000,5,-234.485700,2012
5.000000,5,-246.105565,2013
5.000000,5,-218.506428,2014
5.000000,5,-232.602708,2015
5.000000,5,-271.197917,2016
5.000000,5,-253.134003,2017
5.000000,5,168.518698,2018
5.000000,6,81.611246,2009
5.000000,6,NaN,2010
5.000000,6,33.999569,2011
5.000000,6,65.506265,2012
5.000000,6,70.668090,2013
5.000000,6,90.822596,2014
5.000000,6,107.514730,2015
5.000000,6,78.315548,2016
5.000000,6,71.891685,2017
5.000000,6,63.414326,2018
5.000000,7,-270.430084,2009
5.000000,7,-267.165979,2010
5.000000,7,-252.513741,2011
5.000000,7,-294.468979,2012
5.000000,7,-265.260614,2013
5.000000,7,-313.583867,2014
5.000000,7,-281.652612,2015
5.000000,7,-297.077384,2016
5.000000,7,-346.010426,2017
5.000000,7,80.443246,2018
5.000000,8,NaN,2008
5.000000,8,NaN,2009
5.000000,8,NaN,2010
5.000000,8,-290.760934,2011
5.000000,8,NaN,2012
5.000000,8,NaN,2013
5.000000,8,-227.000000,2014
5.000000,8,-253.472839,2015
5.000000,8,-237.165663,2016
5.000000,8,NaN,2017
5.000000,8,76.702213,2018
5.000000,9,NaN,2010
5.000000,9,-243.551360,2011
5.000000,9,NaN,2012
5.000000,9,NaN,2013
5.000000,9,-155.353470,2014
5.000000,9,-245.928175,2015
5.000000,9,NaN,2016
5.000000,9,NaN,2017
5.000000,9,89.653349,2018
5.000000,10,NaN,2009
5.000000,10,-192.243152,2010
5.000000,10,NaN,2011
5.000000,10,-258.898344,2012
5.000000,10,NaN,2013
5.000000,10,-217.007156,2014
5.000000,10,-243.184439,2015
5.000000,10,-237.814066,2016
5.000000,10,-215.508451,2017
5.000000,11,NaN,2010
5.000000,11,-257.999996,2011
5.000000,11,-302.589637,2012
5.000000,11,-242.695009,2013
5.000000,11,-267.954142,2014
5.000000,11,-274.380356,2015
5.000000,11,-187.403810,2016
5.000000,11,-266.612922,2017
5.000000,11,91.401080,2018
5.000000,12,-237.060771,2009
5.000000,12,-187.844641,2010
5.000000,12,-217.299763,2011
5.000000,12,-233.047974,2012
5.000000,12,NaN,2013
5.000000,12,-217.000000,2014
5.000000,12,-260.058857,2015
5.000000,12,-230.202150,2016
5.000000,12,-151.388177,2017
5.000000,12,204.695750,2018
5.000000,13,NaN,2009
5.000000,13,-36.303807,2010
5.000000,13,47.530487,2011
5.000000,13,-99.724871,2012
5.000000,13,-81.249561,2013
5.000000,13,66.002422,2014
5.000000,13,47.606273,2015
5.000000,13,61.666175,2016
5.000000,13,64.475683,2017
5.000000,13,96.969934,2018
5.000000,14,NaN,2010
5.000000,14,-216.381561,2011
5.000000,14,-211.555933,2012
5.000000,14,-212.268006,2013
5.000000,14,-221.727641,2014
5.000000,14,NaN,2015
5.000000,14,-202.251828,2016
5.000000,14,-173.946347,2017
5.000000,14,62.232470,2018
5.000000,15,NaN,2010
5.000000,15,80.616830,2011
5.000000,15,31.377935,2012
5.000000,15,43.768718,2013
5.000000,15,34.637985,2014
5.000000,15,58.834616,2015
5.000000,15,102.792737,2016
5.000000,15,24.566252,2017
5.000000,15,80.740949,2018
5.000000,16,-270.223505,2009
5.000000,16,-165.492617,2010
5.000000,16,-270.487834,2011
5.000000,16,-306.752232,2012
5.000000,16,NaN,2013
5.000000,16,-305.313591,2014
5.000000,16,-308.590163,2015
5.000000,16,-280.081458,2016
5.000000,16,-296.625297,2017
5.000000,16,194.826754,2018
5.000000,17,NaN,2009
5.000000,17,87.842013,2010
5.000000,17,NaN,2011
5.000000,17,33.424417,2012
5.000000,17,41.518044,2013
5.000000,17,79.687588,2014
5.000000,17,30.404091,2015
5.000000,17,21.398728,2016
5.000000,17,NaN,2017
5.000000,17,-69.440288,2018
5.000000,18,-157.230801,2009
5.000000,18,-235.868183,2010
5.000000,18,-251.634709,2011
5.000000,18,-234.508157,2012
5.000000,18,-218.075154,2013
5.000000,18,-296.338488,2014
5.000000,18,-231.999840,2015
5.000000,18,-258.299842,2016
5.000000,18,-242.093971,2017
5.000000,18,167.960992,2018
5.000000,19,NaN,2009
5.000000,19,-18.620963,2010
5.000000,19,72.000003,2011
5.000000,19,58.708632,2012
5.000000,19,NaN,2013
5.000000,19,NaN,2014
5.000000,19,-80.643865,2015
5.000000,19,102.531913,2016
5.000000,19,-54.279375,2017
5.000000,19,-61.136620,2018
5.000000,20,NaN,2010
5.000000,20,-209.337756,2011
5.000000,20,-290.234143,2012
5.000000,20,-249.697255,2013
5.000000,20,-222.447816,2014
5.000000,20,-239.432072,2015
5.000000,20,-237.659359,2016
5.000000,20,-274.256470,2017
5.000000,20,100.000000,2018
5.000000,21,NaN,2010
5.000000,21,-304.655037,2011
5.000000,21,-237.224621,2012
5.000000,21,-299.108353,2013
5.000000,21,-304.901291,2014
5.000000,21,-217.000250,2015
5.000000,21,-235.408756,2016
5.000000,21,-236.478358,2017
5.000000,21,172.904268,2018
5.000000,22,NaN,2008
5.000000,22,-272.710167,2009
5.000000,22,NaN,2010
5.000000,22,-282.875200,2011
5.000000,22,NaN,2012
5.000000,22,NaN,2013
5.000000,22,-219.485837,2014
5.000000,22,-237.219692,2015
5.000000,22,NaN,2016
5.000000,22,NaN,2017
5.000000,22,80.847620,2018
5.000000,23,NaN,2008
5.000000,23,-198.611672,2009
5.000000,23,-203.447307,2010
5.000000,23,-251.197602,2011
5.000000,23,-275.121619,2012
5.000000,23,-234.805235,2013
5.000000,23,-222.635209,2014
5.000000,23,-198.345687,2015
5.000000,23,-207.124687,2016
5.000000,23,-197.078606,2017
5.000000,23,170.999990,2018
5.000000,24,NaN,2009
5.000000,24,NaN,2010
5.000000,24,55.439487,2011
5.000000,24,NaN,2012
5.000000,24,40.989479,2013
5.000000,24,122.928061,2014
5.000000,24,41.339767,2015
5.000000,24,50.124992,2016
5.000000,24,NaN,2017
5.000000,24,113.029709,2018
5.000000,25,NaN,2010
5.000000,25,-229.902271,2011
5.000000,25,-214.473956,2012
5.000000,25,-190.081054,2013
5.000000,25,-301.102480,2014
5.000000,25,-240.918200,2015
5.000000,25,-209.031118,2016
5.000000,25,-248.567402,2017
5.000000,25,132.853086,2018
5.000000,26,NaN,2009
5.000000,26,1.505921,2010
5.000000,26,24.887331,2011
5.000000,26,53.442380,2012
5.000000,26,26.565126,2013
5.000000,26,72.038232,2014
5.000000,26,16.531202,2015
5.000000,26,36.682156,2016
5.000000,26,57.420222,2017
5.000000,26,57.698523,2018
5.000000,27,NaN,2009
5.000000,27,-206.367090,2010
5.000000,27,-304.754861,2011
5.000000,27,-269.498101,2012
5.000000,27,NaN,2013
5.000000,27,-284.184259,2014
5.000000,27,-295.909653,2015
5.000000,27,-264.221953,2016
5.000000,27,-227.714445,2017
5.000000,28,NaN,2009
5.000000,28,-205.887061,2010
5.000000,28,-140.999843,2011
5.000000,28,-213.403497,2012
5.000000,28,-295.860294,2013
5.000000,28,-270.661415,2014
5.000000,28,-317.485298,2015
5.000000,28,-259.988006,2016
5.000000,28,-219.142627,2017
5.000000,29,NaN,2010
5.000000,29,82.735830,2011
5.000000,29,NaN,2012
5.000000,29,94.535542,2013
5.000000,29,66.981571,2014
5.000000,29,55.484649,2015
5.000000,29,84.408718,2016
5.000000,29,NaN,2017
5.000000,29,56.200326,2018
10.000000,1,NaN,2008
10.000000,1,-273.483856,2009
10.000000,1,-236.991318,2010
10.000000,1,-221.087044,2011
10.000000,1,-253.245933,2012
10.000000,1,-226.139561,2013
10.000000,1,-219.939835,2014
10.000000,1,-220.914252,2015
10.000000,1,-235.262113,2016
10.000000,1,-181.925686,2017
10.000000,1,166.514314,2018
