depth,sid,value,WY
5.000000,1,NaN,2010
5.000000,1,735007.118417,2011
5.000000,1,735394.174787,2012
5.000000,1,735685.620441,2013
5.000000,1,736022.493904,2014
5.000000,1,736392.861180,2015
5.000000,1,736777.554608,2016
5.000000,1,737220.309672,2017
5.000000,1,737605.244266,2018
5.000000,2,NaN,2010
5.000000,2,735031.397843,2011
5.000000,2,735399.196069,2012
5.000000,2,735679.563758,2013
5.000000,2,736149.731387,2014
5.000000,2,736532.000000,2015
5.000000,2,736771.708760,2016
5.000000,2,737244.801633,2017
5.000000,2,737636.590192,2018
5.000000,3,NaN,2010
5.000000,3,735054.279251,2011
5.000000,3,735439.458197,2012
5.000000,3,735760.000248,2013
5.000000,3,736198.999930,2014
5.000000,3,736528.686746,2015
5.000000,3,736853.145974,2016
5.000000,3,737249.760066,2017
5.000000,3,737611.393058,2018
5.000000,4,NaN,2010
5.000000,4,735005.674560,2011
5.000000,4,735363.493634,2012
5.000000,4,735748.327420,2013
5.000000,4,736062.342907,2014
5.000000,4,736514.547313,2015
5.000000,4,736891.069076,2016
5.000000,4,737264.630796,2017
5.000000,4,737550.937931,2018
5.000000,5,NaN,2010
5.000000,5,734955.967318,2011
5.000000,5,735396.314513,2012
5.000000,5,735768.002798,2013
5.000000,5,736052.344431,2014
5.000000,5,736500.484266,2015
5.000000,5,736786.451837,2016
5.000000,5,737223.178026,2017
5.000000,5,737620.023280,2018
5.000000,6,NaN,2009
5.000000,6,734450.540634,2010
5.000000,6,734968.176374,2011
5.000000,6,735365.961314,2012
5.000000,6,735744.000106,2013
5.000000,6,735921.185521,2014
5.000000,6,736425.675111,2015
5.000000,6,736820.669567,2016
5.000000,6,737180.792022,2017
5.000000,6,NaN,2018
5.000000,7,734282.919196,2009
5.000000,7,734652.878231,2010
5.000000,7,734981.458317,2011
5.000000,7,735365.226974,2012
5.000000,7,735751.547800,2013
5.000000,7,736058.779065,2014
5.000000,7,736508.239463,2015
5.000000,7,736815.724265,2016
5.000000,7,737176.265954,2017
5.000000,7,737546.314170,2018
5.000000,8,NaN,2008
5.000000,8,734383.536503,2009
5.000000,8,734885.006838,2010
5.000000,8,735179.303196,2011
5.000000,8,NaN,2012
5.000000,8,735845.999980,2013
5.000000,8,NaN,2014
5.000000,8,NaN,2015
5.000000,8,736955.130750,2016
5.000000,8,NaN,2017
5.000000,9,734885.407484,2010
5.000000,9,735179.301451,2011
5.000000,9,NaN,2012
5.000000,9,735845.999999,2013
5.000000,9,NaN,2014
5.000000,9,NaN,2015
5.000000,9,736955.609252,2016
5.000000,9,NaN,2017
5.000000,10,734373.998844,2009
5.000000,10,734708.996408,2010
5.000000,10,735053.777555,2011
5.000000,10,NaN,2012
5.000000,10,735804.000000,2013
5.000000,10,736140.645196,2014
5.000000,10,736485.382208,2015
5.000000,10,736874.133254,2016
5.000000,10,737251.478202,2017
5.000000,11,NaN,2010
5.000000,11,735094.322650,2011
5.000000,11,735429.269686,2012
5.000000,11,735769.086605,2013
5.000000,11,736164.604062,2014
5.000000,11,736558.992391,2015
5.000000,11,736909.796863,2016
5.000000,11,737282.428145,2017
5.000000,11,737636.999187,2018
5.000000,12,734267.469094,2009
5.000000,12,NaN,2010
5.000000,12,734951.498923,2011
5.000000,12,NaN,2012
5.000000,12,NaN,2013
5.000000,12,736040.571458,2014
5.000000,12,736633.659501,2015
5.000000,12,NaN,2016
5.000000,12,NaN,2017
5.000000,12,737690.000000,2018
5.000000,13,NaN,2009
5.000000,13,734430.593054,2010
5.000000,13,734940.001259,2011
5.000000,13,735173.579780,2012
5.000000,13,735515.803896,2013
5.000000,13,735881.278477,2014
5.000000,13,736384.498790,2015
5.000000,13,736620.709485,2016
5.000000,13,737033.850434,2017
5.000000,13,737374.407015,2018
5.000000,14,NaN,2010
5.000000,14,735063.723438,2011
5.000000,14,735344.818816,2012
5.000000,14,735757.127918,2013
5.000000,14,736060.901371,2014
5.000000,14,736429.781761,2015
5.000000,14,736792.669503,2016
5.000000,14,737183.557521,2017
5.000000,14,737539.005927,2018
5.000000,15,NaN,2010
5.000000,15,735018.427640,2011
5.000000,15,735396.928484,2012
5.000000,15,735760.600471,2013
5.000000,15,736137.276335,2014
5.000000,15,736490.752152,2015
5.000000,15,736842.225855,2016
5.000000,15,737198.318483,2017
5.000000,15,737614.221010,2018
5.000000,16,734306.696793,2009
5.000000,16,734697.999989,2010
5.000000,16,735026.009885,2011
5.000000,16,735357.578995,2012
5.000000,16,735684.446795,2013
5.000000,16,736031.399998,2014
5.000000,16,736439.485563,2015
5.000000,16,736814.909518,2016
5.000000,16,737202.736345,2017
5.000000,16,737524.497133,2018
5.000000,17,NaN,2009
5.000000,17,734422.476474,2010
5.000000,17,734918.292139,2011
5.000000,17,735178.545682,2012
5.000000,17,735617.249828,2013
5.000000,17,NaN,2014
5.000000,17,736320.043620,2015
5.000000,17,736736.380062,2016
5.000000,17,736981.642388,2017
5.000000,17,737377.962153,2018
5.000000,18,NaN,2009
5.000000,18,734676.607353,2010
5.000000,18,735020.000000,2011
5.000000,18,735387.619496,2012
5.000000,18,735785.000000,2013
5.000000,18,736076.559712,2014
5.000000,18,736509.132438,2015
5.000000,18,736869.164582,2016
5.000000,18,737198.568768,2017
5.000000,18,737631.065642,2018
5.000000,19,NaN,2009
5.000000,19,734615.538986,2010
5.000000,19,734899.737678,2011
5.000000,19,735169.563806,2012
5.000000,19,735632.303661,2013
5.000000,19,NaN,2014
5.000000,19,736371.293350,2015
5.000000,19,NaN,2016
5.000000,19,737009.741159,2017
5.000000,19,737399.866877,2018
5.000000,20,NaN,2010
5.000000,20,735064.326907,2011
5.000000,20,735350.781800,2012
5.000000,20,735762.386905,2013
5.000000,20,736022.619310,2014
5.000000,20,736539.999999,2015
5.000000,20,736894.000000,2016
5.000000,20,737099.732625,2017
5.000000,20,737666.128419,2018
5.000000,21,NaN,2010
5.000000,21,735092.671680,2011
5.000000,21,NaN,2012
5.000000,21,735720.907179,2013
5.000000,21,736188.776720,2014
5.000000,21,736492.956490,2015
5.000000,21,736865.344769,2016
5.000000,21,737216.210810,2017
5.000000,21,737716.184979,2018
5.000000,22,NaN,2008
5.000000,22,734328.904431,2009
5.000000,22,NaN,2010
5.000000,22,735002.692049,2011
5.000000,22,NaN,2012
5.000000,22,NaN,2013
5.000000,22,736136.893852,2014
5.000000,22,736490.687635,2015
5.000000,22,736859.874784,2016
5.000000,22,NaN,2017
5.000000,22,737606.000000,2018
5.000000,23,734354.720018,2009
5.000000,23,734729.435539,2010
5.000000,23,735119.876967,2011
5.000000,23,735322.910516,2012
5.000000,23,735765.052846,2013
5.000000,23,736172.981647,2014
5.000000,23,736539.313271,2015
5.000000,23,736895.000000,2016
5.000000,23,737307.493768,2017
5.000000,23,737630.777708,2018
5.000000,24,NaN,2009
5.000000,24,734626.534661,2010
5.000000,24,734937.235287,2011
5.000000,24,735305.200175,2012
5.000000,24,735730.999745,2013
5.000000,24,736045.445585,2014
5.000000,24,736397.743803,2015
5.000000,24,736768.323657,2016
5.000000,24,737162.767996,2017
5.000000,24,737521.778004,2018
5.000000,25,NaN,2010
5.000000,25,735050.569599,2011
5.000000,25,735414.579924,2012
5.000000,25,735746.999997,2013
5.000000,25,736179.283843,2014
5.000000,25,736468.000000,2015
5.000000,25,736925.159476,2016
5.000000,25,737282.000000,2017
5.000000,26,NaN,2009
5.000000,26,734635.437480,2010
5.000000,26,734999.346004,2011
5.000000,26,735363.529811,2012
5.000000,26,735741.999860,2013
5.000000,26,736053.348355,2014
5.000000,26,736393.400160,2015
5.000000,26,736803.278064,2016
5.000000,26,737160.305753,2017
5.000000,26,737531.388118,2018
5.000000,27,NaN,2009
5.000000,27,734608.458923,2010
5.000000,27,735084.141226,2011
5.000000,27,735418.225250,2012
5.000000,27,735736.237345,2013
5.000000,27,736058.971481,2014
5.000000,27,736413.362939,2015
5.000000,27,736797.631497,2016
5.000000,27,737176.834058,2017
5.000000,28,NaN,2009
5.000000,28,734609.109973,2010
5.000000,28,735064.483473,2011
5.000000,28,735415.178745,2012
5.000000,28,735736.236432,2013
5.000000,28,736060.489950,2014
5.000000,28,736410.918468,2015
5.000000,28,736797.604639,2016
5.000000,28,737177.304872,2017
5.000000,28,737518.360829,2018
5.000000,29,NaN,2010
5.000000,29,735013.463405,2011
5.000000,29,735354.580798,2012
5.000000,29,735754.476383,2013
5.000000,29,736067.881660,2014
5.000000,29,736392.620690,2015
5.000000,29,736788.043763,2016
5.000000,29,NaN,2017
5.000000,29,737518.419400,2018
10.000000,1,NaN,2008
10.000000,1,734267.781363,2009
10.000000,1,734626.256118,2010
10.000000,1,735047.344051,2011
10.000000,1,735354.423783,2012
10.000000,1,735760.549953,2013
10.000000,1,736069.429581,2014
10.000000,1,736532.959363,2015
10.000000,1,736878.999786,2016
10.000000,1,737178.177410,2017
10.000000,1,737626.999990,2018
