depth,sid,value,WY
5.000000,1,NaN,2011
5.000000,1,734969.492558,2012
5.000000,1,735331.864342,2013
5.000000,1,NaN,2014
5.000000,1,736054.636600,2015
5.000000,1,736412.493704,2016
5.000000,1,736845.000000,2017
5.000000,1,737179.369598,2018
5.000000,1,737601.123907,2019
5.000000,2,NaN,2012
5.000000,2,735011.781587,2013
5.000000,2,735440.657963,2014
5.000000,2,735764.999991,2015
5.000000,2,736137.706685,2016
5.000000,2,736519.447690,2017
5.000000,2,736867.594182,2018
5.000000,2,737256.165045,2019
5.000000,2,737638.215363,2020
5.000000,3,NaN,2012
5.000000,3,735079.178265,2013
5.000000,3,735440.644690,2014
5.000000,3,735792.803214,2015
5.000000,3,736142.854938,2016
5.000000,3,736549.041785,2017
5.000000,3,736853.773173,2018
5.000000,3,737256.476463,2019
5.000000,3,737643.467488,2020
5.000000,4,NaN,2012
5.000000,4,735063.464475,2013
5.000000,4,735453.999998,2014
5.000000,4,735762.000000,2015
5.000000,4,736139.557118,2016
5.000000,4,736516.562469,2017
5.000000,4,736884.483961,2018
5.000000,4,737275.533564,2019
5.000000,5,734706.028888,2012
5.000000,5,735004.532991,2013
5.000000,5,735397.514300,2014
5.000000,5,735750.894435,2015
5.000000,5,736143.493572,2016
5.000000,5,736494.397292,2017
5.000000,5,736820.802083,2018
5.000000,5,737203.865997,2019
5.000000,5,737625.518698,2020
5.000000,6,734253.611246,2010
5.000000,6,NaN,2011
5.000000,6,734935.999569,2012
5.000000,6,735332.506265,2013
5.000000,6,735702.668090,2014
5.000000,6,736087.822596,2015
5.000000,6,736469.514730,2016
5.000000,6,736805.315548,2017
5.000000,6,737163.891685,2018
5.000000,6,737520.414326,2019
5.000000,7,734266.569916,2011
5.000000,7,734634.834021,2012
5.000000,7,735014.486259,2013
5.000000,7,735337.531021,2014
5.000000,7,735731.739386,2015
5.000000,7,736048.416133,2016
5.000000,7,736445.347388,2017
5.000000,7,736794.922616,2018
5.000000,7,737110.989574,2019
5.000000,7,737537.443246,2020
5.000000,8,NaN,2010
5.000000,8,NaN,2011
5.000000,8,NaN,2012
5.000000,8,734976.239066,2013
5.000000,8,NaN,2014
5.000000,8,NaN,2015
5.000000,8,736135.000000,2016
5.000000,8,736473.527161,2017
5.000000,8,736854.834337,2018
5.000000,8,NaN,2019
5.000000,8,737533.702213,2020
5.000000,9,NaN,2012
5.000000,9,735023.448640,2013
5.000000,9,NaN,2014
5.000000,9,NaN,2015
5.000000,9,736206.646530,2016
5.000000,9,736481.071825,2017
5.000000,9,NaN,2018
5.000000,9,NaN,2019
5.000000,9,737546.653349,2020
5.000000,10,NaN,2011
5.000000,10,734709.756848,2012
5.000000,10,NaN,2013
5.000000,10,735373.101656,2014
5.000000,10,NaN,2015
5.000000,10,736144.992844,2016
5.000000,10,736483.815561,2017
5.000000,10,736854.185934,2018
5.000000,10,737241.491549,2019
5.000000,11,NaN,2012
5.000000,11,735009.000004,2013
5.000000,11,735329.410363,2014
5.000000,11,735754.304991,2015
5.000000,11,736094.045858,2016
5.000000,11,736452.619644,2017
5.000000,11,736904.596190,2018
5.000000,11,737190.387078,2019
5.000000,11,737548.401080,2020
5.000000,12,734299.939229,2011
5.000000,12,734714.155359,2012
5.000000,12,735049.700237,2013
5.000000,12,735398.952026,2014
5.000000,12,NaN,2015
5.000000,12,736145.000000,2016
5.000000,12,736466.941143,2017
5.000000,12,736861.797850,2018
5.000000,12,737305.611823,2019
5.000000,12,737661.695750,2020
