depth,sid,value,WY
5.000000,1,NaN,2010
5.000000,1,-68.000000,2011
5.000000,1,NaN,2012
5.000000,1,-99.000000,2013
5.000000,1,-233.000000,2014
5.000000,1,-168.000000,2015
5.000000,1,-175.000000,2016
5.000000,1,NaN,2017
5.000000,1,-154.000000,2018
5.000000,2,NaN,2010
5.000000,2,-124.000000,2011
5.000000,2,-195.000000,2012
5.000000,2,-124.000000,2013
5.000000,2,-188.000000,2014
5.000000,2,-156.000000,2015
5.000000,2,NaN,2016
5.000000,2,NaN,2017
5.000000,2,-153.000000,2018
5.000000,3,NaN,2010
5.000000,3,NaN,2011
5.000000,3,-142.000000,2012
5.000000,3,-19.000000,2013
5.000000,3,-168.000000,2014
5.000000,3,-162.000000,2015
5.000000,3,-182.000000,2016
5.000000,3,-147.000000,2017
5.000000,3,-85.000000,2018
5.000000,4,NaN,2010
5.000000,4,NaN,2011
5.000000,4,NaN,2012
5.000000,4,NaN,2013
5.000000,4,-168.000000,2014
5.000000,4,-157.000000,2015
5.000000,4,NaN,2016
5.000000,4,NaN,2017
5.000000,4,NaN,2018
5.000000,5,NaN,2010
5.000000,5,-175.000000,2011
5.000000,5,NaN,2012
5.000000,5,NaN,2013
5.000000,5,NaN,2014
5.000000,5,NaN,2015
5.000000,5,-205.000000,2016
5.000000,5,-97.000000,2017
5.000000,5,NaN,2018
5.000000,6,NaN,2009
5.000000,6,145.000000,2010
5.000000,6,135.000000,2011
5.000000,6,121.000000,2012
5.000000,6,135.000000,2013
5.000000,6,138.000000,2014
5.000000,6,128.000000,2015
5.000000,6,96.000000,2016
5.000000,6,137.000000,2017
5.000000,6,98.000000,2018
5.000000,7,NaN,2009
5.000000,7,-178.000000,2010
5.000000,7,-100.000000,2011
5.000000,7,-169.000000,2012
5.000000,7,-122.000000,2013
5.000000,7,-189.000000,2014
5.000000,7,-143.000000,2015
5.000000,7,-131.000000,2016
5.000000,7,NaN,2017
5.000000,7,NaN,2018
5.000000,8,NaN,2008
5.000000,8,NaN,2009
5.000000,8,NaN,2010
5.000000,8,NaN,2011
5.000000,8,NaN,2012
5.000000,8,NaN,2013
5.000000,8,50.000000,2014
5.000000,8,NaN,2015
5.000000,8,35.000000,2016
5.000000,8,22.000000,2017
5.000000,9,NaN,2010
5.000000,9,NaN,2011
5.000000,9,80.000000,2012
5.000000,9,95.000000,2013
5.000000,9,51.000000,2014
5.000000,9,NaN,2015
5.000000,9,35.000000,2016
5.000000,9,9.000000,2017
5.000000,10,NaN,2009
5.000000,10,-103.000000,2010
5.000000,10,NaN,2011
5.000000,10,NaN,2012
5.000000,10,34.000000,2013
5.000000,10,NaN,2014
5.000000,10,-118.000000,2015
5.000000,10,-100.000000,2016
5.000000,10,-57.000000,2017
5.000000,11,NaN,2010
5.000000,11,-64.000000,2011
5.000000,11,-161.000000,2012
5.000000,11,NaN,2013
5.000000,11,-168.000000,2014
5.000000,11,-130.000000,2015
5.000000,11,-183.000000,2016
5.000000,11,-180.000000,2017
5.000000,11,-161.000000,2018
5.000000,12,NaN,2009
5.000000,12,-166.000000,2010
5.000000,12,NaN,2011
5.000000,12,-78.000000,2012
5.000000,12,NaN,2013
5.000000,12,-87.000000,2014
5.000000,12,-119.000000,2015
5.000000,12,-119.000000,2016
5.000000,12,NaN,2017
5.000000,12,-131.000000,2018
5.000000,13,NaN,2009
5.000000,13,143.000000,2010
5.000000,13,146.000000,2011
5.000000,13,137.000000,2012
5.000000,13,155.000000,2013
5.000000,13,126.000000,2014
5.000000,13,68.000000,2015
5.000000,13,53.000000,2016
5.000000,13,74.000000,2017
5.000000,13,78.000000,2018
5.000000,14,NaN,2010
5.000000,14,-171.000000,2011
5.000000,14,-155.000000,2012
5.000000,14,NaN,2013
5.000000,14,-134.000000,2014
5.000000,14,-130.000000,2015
5.000000,14,-84.000000,2016
5.000000,14,NaN,2017
5.000000,14,-167.000000,2018
5.000000,15,NaN,2010
5.000000,15,-161.000000,2011
5.000000,15,-158.000000,2012
