depth,sid,value,WY
5.000000,1,NaN,2011
5.000000,1,NaN,2012
5.000000,1,NaN,2013
5.000000,1,169.000000,2014
5.000000,1,143.000000,2015
5.000000,1,195.000000,2016
5.000000,1,253.000000,2017
5.000000,1,295.000000,2018
5.000000,1,316.000000,2019
5.000000,2,NaN,2012
5.000000,2,-93.000000,2013
5.000000,2,-155.000000,2014
5.000000,2,-137.000000,2015
5.000000,2,-217.000000,2016
5.000000,2,NaN,2017
5.000000,2,-173.000000,2018
5.000000,2,-168.000000,2019
5.000000,2,-158.000000,2020
5.000000,3,NaN,2012
5.000000,3,-46.000000,2013
5.000000,3,-143.000000,2014
5.000000,3,-82.000000,2015
5.000000,3,-113.000000,2016
5.000000,3,-133.000000,2017
5.000000,3,-96.000000,2018
5.000000,3,NaN,2019
5.000000,3,-152.000000,2020
5.000000,4,NaN,2012
5.000000,4,-148.000000,2013
5.000000,4,-84.000000,2014
5.000000,4,NaN,2015
5.000000,4,-202.000000,2016
5.000000,4,-125.000000,2017
5.000000,4,-181.000000,2018
5.000000,4,-170.000000,2019
5.000000,5,NaN,2012
5.000000,5,-134.000000,2013
5.000000,5,-79.000000,2014
5.000000,5,-160.000000,2015
5.000000,5,NaN,2016
5.000000,5,-128.000000,2017
5.000000,5,-177.000000,2018
5.000000,5,NaN,2019
5.000000,5,-134.000000,2020
5.000000,6,NaN,2010
5.000000,6,NaN,2011
5.000000,6,130.000000,2012
5.000000,6,NaN,2013
5.000000,6,NaN,2014
5.000000,6,136.000000,2015
5.000000,6,NaN,2016
5.000000,6,NaN,2017
5.000000,6,137.000000,2018
5.000000,6,294.000000,2019
5.000000,7,NaN,2011
5.000000,7,-137.000000,2012
5.000000,7,-105.000000,2013
5.000000,7,-85.000000,2014
5.000000,7,-88.000000,2015
5.000000,7,-76.000000,2016
5.000000,7,-65.000000,2017
5.000000,7,-108.000000,2018
5.000000,7,NaN,2019
5.000000,7,-142.000000,2020
5.000000,8,NaN,2010
5.000000,8,NaN,2011
5.000000,8,-61.000000,2012
5.000000,8,-137.000000,2013
5.000000,8,-83.000000,2014
5.000000,8,NaN,2015
5.000000,8,NaN,2016
5.000000,8,-118.000000,2017
5.000000,8,-39.000000,2018
5.000000,8,NaN,2019
5.000000,8,-132.000000,2020
5.000000,9,NaN,2012
5.000000,9,-60.000000,2013
5.000000,9,-62.000000,2014
5.000000,9,NaN,2015
5.000000,9,-31.000000,2016
5.000000,9,-149.000000,2017
5.000000,9,-32.000000,2018
5.000000,9,NaN,2019
5.000000,9,-132.000000,2020
5.000000,10,NaN,2011
5.000000,10,-12.000000,2012
5.000000,10,-172.000000,2013
5.000000,10,NaN,2014
5.000000,10,-147.000000,2015
5.000000,10,NaN,2016
5.000000,10,NaN,2017
5.000000,10,-26.000000,2018
5.000000,10,-56.000000,2019
5.000000,11,NaN,2012
5.000000,11,-46.000000,2013
5.000000,11,-129.000000,2014
5.000000,11,NaN,2015
5.000000,11,-132.000000,2016
5.000000,11,-126.000000,2017
5.000000,11,-163.000000,2018
5.000000,11,-165.000000,2019
5.000000,11,-146.000000,2020
5.000000,12,NaN,2011
5.000000,12,-19.000000,2012
5.000000,12,-128.000000,2013
5.000000,12,-19.000000,2014
5.000000,12,NaN,2015
5.000000,12,-130.000000,2016
5.000000,12,-164.000000,2017
5.000000,12,-103.000000,2018
5.000000,12,-146.000000,2019
5.000000,12,-129.000000,2020
5.000000,13,NaN,2010
5.000000,13,NaN,2011
5.000000,13,157.000000,2012
5.000000,13,NaN,2013
5.000000,13,134.000000,2014
5.000000,13,119.000000,2015
5.000000,13,NaN,2016
5.000000,13,167.000000,2017
5.000000,13,86.000000,2018
5.000000,13,119.000000,2019
5.000000,14,NaN,2012
5.000000,14,-143.000000,2013
5.000000,14,-124.000000,2014
5.000000,14,NaN,2015
5.000000,14,-212.000000,2016
5.000000,14,-116.000000,2017
5.000000,14,-209.000000,2018
5.000000,14,-171.000000,2019
5.000000,14,NaN,2020
5.000000,15,NaN,2011
5.000000,15,NaN,2012
5.000000,15,183.000000,2013
5.000000,15,276.000000,2014
5.000000,15,257.000000,2015
5.000000,15,253.000000,2016
5.000000,15,291.000000,2017
5.000000,15,NaN,2018
5.000000,15,277.000000,2019
5.000000,16,NaN,2011
5.000000,16,-74.000000,2012
5.000000,16,-23.000000,2013
5.000000,16,-65.000000,2014
5.000000,16,-87.000000,2015
5.000000,16,-76.000000,2016
5.000000,16,NaN,2017
5.000000,16,-149.000000,2018
5.000000,16,NaN,2019
5.000000,16,-110.000000,2020
5.000000,17,NaN,2010
5.000000,17,64.000000,2011
5.000000,17,NaN,2012
5.000000,17,NaN,2013
5.000000,17,NaN,2014
5.000000,17,176.000000,2015
5.000000,17,161.000000,2016
5.000000,17,NaN,2017
5.000000,17,NaN,2018
5.000000,17,136.000000,2019
5.000000,18,NaN,2011
5.000000,18,-119.000000,2012
5.000000,18,-196.000000,2013
5.000000,18,NaN,2014
5.000000,18,-175.000000,2015
5.000000,18,NaN,2016
5.000000,18,NaN,2017
5.000000,18,NaN,2018
5.000000,18,-101.000000,2019
5.000000,18,NaN,2020
5.000000,19,NaN,2010
5.000000,19,122.000000,2011
5.000000,19,145.000000,2012
5.000000,19,NaN,2013
5.000000,19,NaN,2014
5.000000,19,72.000000,2015
5.000000,19,203.000000,2016
5.000000,19,148.000000,2017
5.000000,19,165.000000,2018
5.000000,19,92.000000,2019
5.000000,20,NaN,2012
5.000000,20,-50.000000,2013
5.000000,20,-94.000000,2014
5.000000,20,-204.000000,2015
5.000000,20,-157.000000,2016
5.000000,20,-163.000000,2017
5.000000,20,-86.000000,2018
5.000000,20,-119.000000,2019
5.000000,20,-149.000000,2020
5.000000,21,NaN,2012
5.000000,21,-201.000000,2013
5.000000,21,-157.000000,2014
5.000000,21,NaN,2015
5.000000,21,-172.000000,2016
5.000000,21,-150.000000,2017
5.000000,21,-45.000000,2018
5.000000,21,-144.000000,2019
5.000000,21,NaN,2020
5.000000,22,NaN,2010
5.000000,22,-163.000000,2011
5.000000,22,-61.000000,2012
5.000000,22,-134.000000,2013
5.000000,22,-61.000000,2014
5.000000,22,-174.000000,2015
5.000000,22,-41.000000,2016
5.000000,22,-118.000000,2017
5.000000,22,-55.000000,2018
5.000000,22,-30.000000,2019
5.000000,22,-131.000000,2020
5.000000,23,NaN,2010
5.000000,23,-43.000000,2011
5.000000,23,NaN,2012
5.000000,23,-90.000000,2013
5.000000,23,-131.000000,2014
5.000000,23,NaN,2015
5.000000,23,-123.000000,2016
5.000000,23,-138.000000,2017
5.000000,23,NaN,2018
5.000000,23,-136.000000,2019
5.000000,23,-88.000000,2020
5.000000,24,NaN,2010
5.000000,24,120.000000,2011
5.000000,24,115.000000,2012
5.000000,24,NaN,2013
5.000000,24,134.000000,2014
5.000000,24,136.000000,2015
5.000000,24,200.000000,2016
5.000000,24,NaN,2017
5.000000,24,NaN,2018
5.000000,24,92.000000,2019
5.000000,25,NaN,2012
5.000000,25,-95.000000,2013
5.000000,25,-133.000000,2014
5.000000,25,-181.000000,2015
5.000000,25,-131.000000,2016
