depth,sid,value,WY
5.000000,1,NaN,2012
5.000000,1,734834.000000,2013
5.000000,1,NaN,2014
5.000000,1,735533.000000,2015
5.000000,1,735764.000000,2016
5.000000,1,736194.000000,2017
5.000000,1,736552.000000,2018
5.000000,1,NaN,2019
5.000000,1,737303.000000,2020
5.000000,2,NaN,2012
5.000000,2,734778.000000,2013
5.000000,2,735072.000000,2014
5.000000,2,735508.000000,2015
5.000000,2,735809.000000,2016
5.000000,2,736206.000000,2017
5.000000,2,NaN,2018
5.000000,2,NaN,2019
5.000000,2,737304.000000,2020
5.000000,3,NaN,2012
5.000000,3,NaN,2013
5.000000,3,735125.000000,2014
5.000000,3,735613.000000,2015
5.000000,3,735829.000000,2016
5.000000,3,736200.000000,2017
5.000000,3,736545.000000,2018
5.000000,3,736945.000000,2019
5.000000,3,737372.000000,2020
5.000000,4,NaN,2012
5.000000,4,NaN,2013
5.000000,4,NaN,2014
5.000000,4,NaN,2015
5.000000,4,735829.000000,2016
5.000000,4,736205.000000,2017
5.000000,4,NaN,2018
5.000000,4,NaN,2019
5.000000,4,NaN,2020
5.000000,5,NaN,2012
5.000000,5,734727.000000,2013
5.000000,5,NaN,2014
5.000000,5,NaN,2015
5.000000,5,NaN,2016
5.000000,5,NaN,2017
5.000000,5,736522.000000,2018
5.000000,5,736995.000000,2019
5.000000,5,NaN,2020
5.000000,6,NaN,2010
5.000000,6,734317.000000,2011
5.000000,6,734672.000000,2012
5.000000,6,735023.000000,2013
5.000000,6,735402.000000,2014
5.000000,6,735770.000000,2015
5.000000,6,736125.000000,2016
5.000000,6,736458.000000,2017
5.000000,6,736864.000000,2018
5.000000,6,737190.000000,2019
5.000000,7,NaN,2011
5.000000,7,734359.000000,2012
5.000000,7,734802.000000,2013
5.000000,7,735098.000000,2014
5.000000,7,735510.000000,2015
5.000000,7,735808.000000,2016
5.000000,7,736219.000000,2017
5.000000,7,736596.000000,2018
5.000000,7,NaN,2019
5.000000,7,NaN,2020
5.000000,8,NaN,2010
5.000000,8,NaN,2011
5.000000,8,NaN,2012
5.000000,8,NaN,2013
5.000000,8,NaN,2014
5.000000,8,NaN,2015
5.000000,8,NaN,2016
5.000000,8,NaN,2017
5.000000,8,736762.000000,2018
5.000000,8,737114.000000,2019
5.000000,9,NaN,2012
5.000000,9,NaN,2013
5.000000,9,NaN,2014
5.000000,9,735727.000000,2015
5.000000,9,NaN,2016
5.000000,9,NaN,2017
5.000000,9,736762.000000,2018
5.000000,9,737101.000000,2019
5.000000,10,NaN,2011
5.000000,10,734434.000000,2012
5.000000,10,NaN,2013
5.000000,10,NaN,2014
5.000000,10,735666.000000,2015
5.000000,10,NaN,2016
5.000000,10,736244.000000,2017
5.000000,10,736627.000000,2018
5.000000,10,737035.000000,2019
5.000000,11,NaN,2012
5.000000,11,734838.000000,2013
5.000000,11,735106.000000,2014
5.000000,11,NaN,2015
5.000000,11,735829.000000,2016
5.000000,11,736232.000000,2017
5.000000,11,736544.000000,2018
5.000000,11,736912.000000,2019
5.000000,11,737296.000000,2020
5.000000,12,NaN,2011
5.000000,12,NaN,2012
5.000000,12,NaN,2013
5.000000,12,735189.000000,2014
5.000000,12,NaN,2015
5.000000,12,735910.000000,2016
5.000000,12,736243.000000,2017
5.000000,12,NaN,2018
5.000000,12,NaN,2019
5.000000,12,737326.000000,2020
5.000000,13,NaN,2010
5.000000,13,734315.000000,2011
5.000000,13,734683.000000,2012
5.000000,13,735039.000000,2013
5.000000,13,735422.000000,2014
5.000000,13,735758.000000,2015
5.000000,13,736065.000000,2016
5.000000,13,736415.000000,2017
5.000000,13,736801.000000,2018
5.000000,13,737170.000000,2019
5.000000,14,NaN,2012
5.000000,14,734731.000000,2013
5.000000,14,735112.000000,2014
5.000000,14,NaN,2015
5.000000,14,735863.000000,2016
5.000000,14,736232.000000,2017
5.000000,14,736643.000000,2018
5.000000,14,NaN,2019
5.000000,14,737290.000000,2020
5.000000,15,NaN,2012
5.000000,15,734741.000000,2013
5.000000,15,735109.000000,2014
5.000000,15,735459.000000,2015
5.000000,15,735842.000000,2016
5.000000,15,736188.000000,2017
5.000000,15,736574.000000,2018
5.000000,15,736949.000000,2019
5.000000,15,737367.000000,2020
5.000000,16,NaN,2010
5.000000,16,734376.000000,2011
5.000000,16,734799.000000,2012
5.000000,16,NaN,2013
5.000000,16,735404.000000,2014
5.000000,16,735875.000000,2015
5.000000,16,736237.000000,2016
5.000000,16,736650.000000,2017
5.000000,16,NaN,2018
5.000000,16,NaN,2019
5.000000,17,NaN,2010
5.000000,17,734282.000000,2011
5.000000,17,NaN,2012
5.000000,17,735029.000000,2013
5.000000,17,735322.000000,2014
5.000000,17,NaN,2015
5.000000,17,736211.000000,2016
5.000000,17,736537.000000,2017
5.000000,17,736852.000000,2018
5.000000,17,NaN,2019
5.000000,18,NaN,2010
5.000000,18,734345.000000,2011
5.000000,18,734710.000000,2012
5.000000,18,735110.000000,2013
5.000000,18,735396.000000,2014
5.000000,18,NaN,2015
5.000000,18,736237.000000,2016
5.000000,18,736508.000000,2017
5.000000,18,NaN,2018
5.000000,18,737321.000000,2019
5.000000,19,NaN,2010
5.000000,19,NaN,2011
5.000000,19,734747.000000,2012
5.000000,19,NaN,2013
5.000000,19,735363.000000,2014
5.000000,19,735726.000000,2015
5.000000,19,NaN,2016
5.000000,19,NaN,2017
5.000000,19,NaN,2018
5.000000,19,NaN,2019
5.000000,20,NaN,2012
5.000000,20,734727.000000,2013
5.000000,20,NaN,2014
5.000000,20,735474.000000,2015
5.000000,20,735851.000000,2016
5.000000,20,736227.000000,2017
5.000000,20,736574.000000,2018
5.000000,20,736962.000000,2019
5.000000,20,737334.000000,2020
5.000000,21,NaN,2012
5.000000,21,NaN,2013
5.000000,21,NaN,2014
5.000000,21,735608.000000,2015
5.000000,21,NaN,2016
5.000000,21,736205.000000,2017
5.000000,21,NaN,2018
5.000000,21,NaN,2019
5.000000,21,737474.000000,2020
5.000000,22,NaN,2010
5.000000,22,734052.000000,2011
5.000000,22,NaN,2012
5.000000,22,734825.000000,2013
5.000000,22,NaN,2014
5.000000,22,NaN,2015
5.000000,22,NaN,2016
5.000000,22,736243.000000,2017
5.000000,22,NaN,2018
5.000000,22,NaN,2019
5.000000,22,737292.000000,2020
5.000000,23,NaN,2011
5.000000,23,734342.000000,2012
5.000000,23,734708.000000,2013
5.000000,23,735109.000000,2014
5.000000,23,735415.000000,2015
5.000000,23,735830.000000,2016
5.000000,23,736242.000000,2017
5.000000,23,NaN,2018
5.000000,23,736919.000000,2019
5.000000,23,NaN,2020
5.000000,24,NaN,2010
5.000000,24,734320.000000,2011
5.000000,24,734693.000000,2012
5.000000,24,735040.000000,2013
5.000000,24,735406.000000,2014
5.000000,24,735754.000000,2015
5.000000,24,NaN,2016
5.000000,24,NaN,2017
5.000000,24,736904.000000,2018
