depth,sid,value,WY
5.000000,1,NaN,2012
5.000000,1,-73.000000,2013
5.000000,1,-166.660926,2014
5.000000,1,-89.400127,2015
5.000000,1,-201.000005,2016
5.000000,1,-150.743606,2017
5.000000,1,-97.558361,2018
5.000000,1,-220.398643,2019
5.000000,1,-97.649179,2020
5.000000,2,NaN,2012
5.000000,2,-125.388592,2013
5.000000,2,-178.854529,2014
5.000000,2,-106.212501,2015
5.000000,2,-144.623430,2016
5.000000,2,-159.754687,2017
5.000000,2,-206.944628,2018
5.000000,2,-193.999998,2019
5.000000,2,-150.501639,2020
5.000000,3,NaN,2012
5.000000,3,NaN,2013
5.000000,3,-132.666688,2014
5.000000,3,-22.296454,2015
5.000000,3,-168.000130,2016
5.000000,3,-155.315238,2017
5.000000,3,-166.624822,2018
5.000000,3,-156.103527,2019
5.000000,3,-91.870085,2020
5.000000,4,NaN,2012
5.000000,4,-161.160994,2013
5.000000,4,-146.999906,2014
5.000000,4,-115.235152,2015
5.000000,4,-125.329283,2016
5.000000,4,-126.547392,2017
5.000000,4,-177.331493,2018
5.000000,4,-119.819337,2019
5.000000,4,-198.000107,2020
5.000000,5,NaN,2012
5.000000,5,-165.665169,2013
5.000000,5,-135.316726,2014
5.000000,5,-235.000326,2015
5.000000,5,-237.006197,2016
5.000000,5,-131.462090,2017
5.000000,5,-101.584886,2018
5.000000,5,-53.000330,2019
5.000000,5,-146.999997,2020
5.000000,6,NaN,2010
5.000000,6,140.464539,2011
5.000000,6,135.389851,2012
5.000000,6,125.042757,2013
5.000000,6,132.782628,2014
5.000000,6,137.671206,2015
5.000000,6,124.851824,2016
5.000000,6,100.909074,2017
5.000000,6,129.114817,2018
5.000000,6,109.501168,2019
5.000000,7,NaN,2011
5.000000,7,-153.104709,2012
5.000000,7,-112.475268,2013
5.000000,7,-146.791628,2014
5.000000,7,-109.390171,2015
5.000000,7,-176.448454,2016
5.000000,7,-186.000328,2017
5.000000,7,-123.886284,2018
5.000000,7,NaN,2019
5.000000,7,-223.579903,2020
5.000000,8,NaN,2010
5.000000,8,NaN,2011
5.000000,8,NaN,2012
5.000000,8,NaN,2013
5.000000,8,NaN,2014
5.000000,8,NaN,2015
5.000000,8,52.000000,2016
5.000000,8,NaN,2017
5.000000,8,33.602336,2018
5.000000,8,59.478356,2019
5.000000,9,NaN,2012
5.000000,9,NaN,2013
5.000000,9,127.999993,2014
5.000000,9,85.157888,2015
5.000000,9,52.729364,2016
5.000000,9,NaN,2017
5.000000,9,33.668177,2018
5.000000,9,59.450022,2019
5.000000,10,NaN,2011
5.000000,10,-99.551103,2012
5.000000,10,NaN,2013
5.000000,10,-134.120434,2014
5.000000,10,18.641771,2015
5.000000,10,NaN,2016
5.000000,10,-137.398102,2017
5.000000,10,-108.280850,2018
5.000000,10,-54.180998,2019
5.000000,11,NaN,2012
5.000000,11,-115.000000,2013
5.000000,11,-143.220715,2014
5.000000,11,-200.997935,2015
5.000000,11,-155.502518,2016
5.000000,11,-123.656884,2017
5.000000,11,-165.632487,2018
5.000000,11,-167.443136,2019
5.000000,11,-147.929414,2020
5.000000,12,NaN,2011
5.000000,12,-119.302302,2012
5.000000,12,NaN,2013
5.000000,12,-82.354873,2014
5.000000,12,NaN,2015
5.000000,12,NaN,2016
5.000000,12,-122.203347,2017
5.000000,12,-108.766167,2018
5.000000,12,NaN,2019
5.000000,12,NaN,2020
5.000000,13,NaN,2010
5.000000,13,137.644925,2011
5.000000,13,140.685965,2012
5.000000,13,NaN,2013
5.000000,13,151.253732,2014
5.000000,13,127.618254,2015
5.000000,13,134.687770,2016
5.000000,13,80.745537,2017
5.000000,13,98.518036,2018
5.000000,13,134.461698,2019
5.000000,14,NaN,2012
5.000000,14,-145.716939,2013
5.000000,14,-139.930097,2014
5.000000,14,-158.933295,2015
5.000000,14,-109.581507,2016
5.000000,14,-120.226487,2017
5.000000,14,-71.845223,2018
5.000000,14,-61.052906,2019
5.000000,14,-150.999831,2020
5.000000,15,NaN,2012
5.000000,15,-109.354393,2013
5.000000,15,-137.251294,2014
5.000000,15,-144.509371,2015
5.000000,15,-146.153766,2016
5.000000,15,-146.297015,2017
5.000000,15,-140.414938,2018
5.000000,15,-115.868442,2019
5.000000,15,-100.365172,2020
5.000000,16,NaN,2010
5.000000,16,202.163052,2011
5.000000,16,245.772699,2012
5.000000,16,138.430732,2013
5.000000,16,138.993386,2014
5.000000,16,269.848772,2015
5.000000,16,234.596941,2016
5.000000,16,284.187304,2017
5.000000,16,NaN,2018
5.000000,16,270.316529,2019
5.000000,17,NaN,2010
5.000000,17,107.526020,2011
5.000000,17,NaN,2012
5.000000,17,179.289337,2013
5.000000,17,119.378175,2014
5.000000,17,204.999999,2015
5.000000,17,213.000000,2016
5.000000,17,172.838831,2017
5.000000,17,103.151729,2018
