depth,sid,value,WY
5.000000,1,NaN,2010
5.000000,1,329.556952,2011
5.000000,1,164.637087,2012
5.000000,1,227.942476,2013
5.000000,1,NaN,2014
5.000000,1,206.255390,2015
5.000000,1,251.004314,2016
5.000000,1,271.000000,2017
5.000000,1,282.734861,2018
5.000000,2,NaN,2010
5.000000,2,-91.640110,2011
5.000000,2,-128.477905,2012
5.000000,2,-74.292997,2013
5.000000,2,-147.283468,2014
5.000000,2,NaN,2015
5.000000,2,-172.999999,2016
5.000000,2,-119.679551,2017
5.000000,2,-158.000114,2018
5.000000,3,NaN,2010
5.000000,3,-53.250402,2011
5.000000,3,-129.187036,2012
5.000000,3,-63.682668,2013
5.000000,3,-114.317785,2014
5.000000,3,-124.470208,2015
5.000000,3,-82.676341,2016
5.000000,3,-133.691472,2017
5.000000,3,-149.002317,2018
5.000000,4,NaN,2010
5.000000,4,-142.061345,2011
5.000000,4,-74.999927,2012
5.000000,4,-92.318100,2013
5.000000,4,-146.957264,2014
5.000000,4,-122.881791,2015
5.000000,4,-181.000010,2016
5.000000,4,-121.781467,2017
5.000000,5,NaN,2010
5.000000,5,-139.299946,2011
5.000000,5,-53.300260,2012
5.000000,5,-165.388032,2013
5.000000,5,-218.000022,2014
5.000000,5,-124.125498,2015
5.000000,5,-162.260748,2016
5.000000,5,NaN,2017
5.000000,5,-144.000059,2018
5.000000,6,NaN,2009
5.000000,6,NaN,2010
5.000000,6,129.812088,2011
5.000000,6,NaN,2012
5.000000,6,NaN,2013
5.000000,6,133.895502,2014
5.000000,6,121.100166,2015
5.000000,6,206.000055,2016
5.000000,6,131.104896,2017
5.000000,6,292.829383,2018
5.000000,7,NaN,2009
5.000000,7,-137.686331,2010
5.000000,7,-108.251090,2011
5.000000,7,-83.045321,2012
5.000000,7,-93.131779,2013
5.000000,7,-82.371136,2014
5.000000,7,-68.324168,2015
5.000000,7,-99.825632,2016
5.000000,7,NaN,2017
5.000000,7,-84.623502,2018
5.000000,8,NaN,2008
5.000000,8,-152.128528,2009
5.000000,8,-67.999999,2010
5.000000,8,-161.990853,2011
5.000000,8,-73.300747,2012
5.000000,8,NaN,2013
5.000000,8,-50.201912,2014
5.000000,8,-137.999959,2015
5.000000,8,-46.487999,2016
5.000000,8,NaN,2017
5.000000,8,-148.000703,2018
5.000000,9,NaN,2010
5.000000,9,-61.321189,2011
5.000000,9,-47.000000,2012
5.000000,9,NaN,2013
5.000000,9,-53.999957,2014
5.000000,9,-144.408405,2015
5.000000,9,-44.739300,2016
5.000000,9,NaN,2017
5.000000,9,-135.224813,2018
5.000000,10,NaN,2009
5.000000,10,9.829279,2010
5.000000,10,-132.339450,2011
5.000000,10,NaN,2012
5.000000,10,-148.588831,2013
5.000000,10,NaN,2014
5.000000,10,-139.913386,2015
5.000000,10,-30.199675,2016
5.000000,10,-56.057620,2017
5.000000,11,NaN,2010
5.000000,11,-58.109865,2011
5.000000,11,-138.251797,2012
5.000000,11,-155.179509,2013
5.000000,11,-128.698807,2014
5.000000,11,-130.000000,2015
5.000000,11,-163.001360,2016
5.000000,11,-163.287240,2017
5.000000,11,-135.950757,2018
5.000000,12,NaN,2009
5.000000,12,-17.346595,2010
