depth,sid,value,WY
5.000000,1,NaN,2010
5.000000,1,734829.000000,2011
5.000000,1,735100.339074,2012
5.000000,1,735542.599873,2013
5.000000,1,735795.999995,2014
5.000000,1,736211.256394,2015
5.000000,1,736629.441639,2016
5.000000,1,736871.601357,2017
5.000000,1,737359.350821,2018
5.000000,2,NaN,2010
5.000000,2,734776.611408,2011
5.000000,2,735088.145471,2012
5.000000,2,735525.787499,2013
5.000000,2,735852.376570,2014
5.000000,2,736202.245313,2015
5.000000,2,736520.055372,2016
5.000000,2,736898.000002,2017
5.000000,2,737306.498361,2018
5.000000,3,NaN,2010
5.000000,3,NaN,2011
5.000000,3,735134.333312,2012
5.000000,3,735609.703546,2013
5.000000,3,735828.999870,2014
5.000000,3,736206.684762,2015
5.000000,3,736560.375178,2016
5.000000,3,736935.896473,2017
5.000000,3,737365.129915,2018
5.000000,4,NaN,2010
5.000000,4,734740.839006,2011
5.000000,4,735120.000094,2012
5.000000,4,735516.764848,2013
5.000000,4,735871.670717,2014
5.000000,4,736235.452608,2015
5.000000,4,736549.668507,2016
5.000000,4,736972.180663,2017
5.000000,4,737258.999893,2018
5.000000,5,NaN,2010
5.000000,5,734736.334831,2011
5.000000,5,735131.683274,2012
5.000000,5,735396.999674,2013
5.000000,5,735759.993803,2014
5.000000,5,736230.537910,2015
5.000000,5,736625.415114,2016
5.000000,5,737038.999670,2017
5.000000,5,737310.000003,2018
5.000000,6,NaN,2009
5.000000,6,734312.464539,2010
5.000000,6,734672.389851,2011
5.000000,6,735027.042757,2012
5.000000,6,735399.782628,2013
5.000000,6,735769.671206,2014
5.000000,6,736121.851824,2015
5.000000,6,736462.909074,2016
5.000000,6,736856.114817,2017
5.000000,6,737201.501168,2018
5.000000,7,NaN,2009
5.000000,7,734383.895291,2010
5.000000,7,734789.524732,2011
5.000000,7,735120.208372,2012
5.000000,7,735522.609829,2013
5.000000,7,735820.551546,2014
5.000000,7,736175.999672,2015
5.000000,7,736603.113716,2016
5.000000,7,NaN,2017
5.000000,7,737233.420097,2018
5.000000,8,NaN,2008
5.000000,8,NaN,2009
5.000000,8,NaN,2010
5.000000,8,NaN,2011
5.000000,8,NaN,2012
5.000000,8,NaN,2013
5.000000,8,NaN,2014
5.000000,8,NaN,2015
5.000000,8,736760.602336,2016
5.000000,8,737151.478356,2017
5.000000,9,NaN,2010
5.000000,9,NaN,2011
5.000000,9,NaN,2012
5.000000,9,735717.157888,2013
5.000000,9,NaN,2014
5.000000,9,NaN,2015
5.000000,9,736760.668177,2016
5.000000,9,737151.450022,2017
5.000000,10,NaN,2009
5.000000,10,734437.448897,2010
