depth,sid,value,WY
5.000000,1,NaN,2010
5.000000,1,-151.000000,2011
5.000000,1,-179.000000,2012
5.000000,1,NaN,2013
5.000000,1,NaN,2014
5.000000,1,NaN,2015
5.000000,1,-153.000000,2016
5.000000,1,-161.000000,2017
5.000000,1,278.000000,2018
5.000000,2,NaN,2010
5.000000,2,-200.000000,2011
5.000000,2,-175.000000,2012
5.000000,2,-121.000000,2013
5.000000,2,-59.000000,2014
5.000000,2,-96.000000,2015
5.000000,2,-192.000000,2016
5.000000,2,-136.000000,2017
5.000000,2,182.000000,2018
5.000000,3,NaN,2010
5.000000,3,-128.000000,2011
5.000000,3,-171.000000,2012
5.000000,3,-125.000000,2013
5.000000,3,-60.000000,2014
5.000000,3,-86.000000,2015
5.000000,3,-171.000000,2016
5.000000,3,-164.000000,2017
5.000000,3,289.000000,2018
5.000000,4,NaN,2010
5.000000,4,-164.000000,2011
5.000000,4,-148.000000,2012
5.000000,4,-160.000000,2013
5.000000,4,-52.000000,2014
5.000000,4,-91.000000,2015
5.000000,4,-169.000000,2016
5.000000,4,-170.000000,2017
5.000000,5,-29.000000,2010
5.000000,5,-158.000000,2011
5.000000,5,-100.000000,2012
5.000000,5,-135.000000,2013
5.000000,5,-43.000000,2014
5.000000,5,-72.000000,2015
5.000000,5,-203.000000,2016
5.000000,5,-91.000000,2017
5.000000,5,248.000000,2018
5.000000,6,254.000000,2009
5.000000,6,NaN,2010
5.000000,6,177.000000,2011
5.000000,6,211.000000,2012
5.000000,6,230.000000,2013
5.000000,6,206.000000,2014
5.000000,6,198.000000,2015
5.000000,6,163.000000,2016
5.000000,6,229.000000,2017
5.000000,6,230.000000,2018
5.000000,7,-119.000000,2009
5.000000,7,-148.000000,2010
5.000000,7,-108.000000,2011
5.000000,7,-218.000000,2012
5.000000,7,-126.000000,2013
5.000000,7,-143.000000,2014
5.000000,7,-212.000000,2015
5.000000,7,-220.000000,2016
5.000000,7,-118.000000,2017
5.000000,7,NaN,2018
5.000000,8,NaN,2008
5.000000,8,NaN,2009
5.000000,8,NaN,2010
5.000000,8,-163.000000,2011
5.000000,8,NaN,2012
5.000000,8,-50.000000,2013
5.000000,8,-66.000000,2014
5.000000,8,-87.000000,2015
5.000000,8,-78.000000,2016
5.000000,8,-46.000000,2017
5.000000,8,244.000000,2018
5.000000,9,NaN,2010
5.000000,9,-106.000000,2011
5.000000,9,NaN,2012
5.000000,9,9.000000,2013
5.000000,9,20.000000,2014
5.000000,9,-79.000000,2015
5.000000,9,NaN,2016
5.000000,9,NaN,2017
5.000000,9,204.000000,2018
5.000000,10,NaN,2009
5.000000,10,-32.000000,2010
5.000000,10,NaN,2011
5.000000,10,-81.000000,2012
5.000000,10,NaN,2013
5.000000,10,-74.000000,2014
5.000000,10,-77.000000,2015
5.000000,10,-64.000000,2016
5.000000,10,-94.000000,2017
5.000000,11,NaN,2010
5.000000,11,NaN,2011
5.000000,11,-204.000000,2012
5.000000,11,-157.000000,2013
5.000000,11,NaN,2014
5.000000,11,-212.000000,2015
5.000000,11,NaN,2016
5.000000,11,-39.000000,2017
5.000000,11,200.000000,2018
5.000000,12,NaN,2009
5.000000,12,18.000000,2010
5.000000,12,-108.000000,2011
5.000000,12,-80.000000,2012
5.000000,12,14.000000,2013
5.000000,12,-55.000000,2014
5.000000,12,NaN,2015
5.000000,12,-62.000000,2016
5.000000,12,22.000000,2017
5.000000,12,364.000000,2018
5.000000,13,NaN,2009
5.000000,13,NaN,2010
5.000000,13,207.000000,2011
5.000000,13,44.000000,2012
5.000000,13,NaN,2013
5.000000,13,212.000000,2014
5.000000,13,184.000000,2015
5.000000,13,208.000000,2016
5.000000,13,232.000000,2017
5.000000,13,NaN,2018
5.000000,14,NaN,2010
5.000000,14,-105.000000,2011
5.000000,14,-40.000000,2012
5.000000,14,-177.000000,2013
5.000000,14,-53.000000,2014
5.000000,14,NaN,2015
5.000000,14,-203.000000,2016
5.000000,14,-154.000000,2017
5.000000,14,NaN,2018
5.000000,15,NaN,2010
5.000000,15,260.000000,2011
5.000000,15,164.000000,2012
5.000000,15,201.000000,2013
5.000000,15,193.000000,2014
5.000000,15,187.000000,2015
5.000000,15,206.000000,2016
5.000000,15,237.000000,2017
5.000000,15,167.000000,2018
5.000000,16,-143.000000,2009
5.000000,16,5.000000,2010
5.000000,16,-101.000000,2011
5.000000,16,-139.000000,2012
5.000000,16,NaN,2013
5.000000,16,-142.000000,2014
5.000000,16,NaN,2015
5.000000,16,-160.000000,2016
5.000000,16,-144.000000,2017
5.000000,16,215.000000,2018
5.000000,17,NaN,2009
5.000000,17,NaN,2010
5.000000,17,NaN,2011
5.000000,17,192.000000,2012
5.000000,17,145.000000,2013
5.000000,17,NaN,2014
5.000000,17,159.000000,2015
5.000000,17,183.000000,2016
5.000000,17,NaN,2017
5.000000,17,169.000000,2018
5.000000,18,19.000000,2009
5.000000,18,-70.000000,2010
5.000000,18,-150.000000,2011
5.000000,18,-111.000000,2012
5.000000,18,-137.000000,2013
5.000000,18,-73.000000,2014
5.000000,18,-127.000000,2015
5.000000,18,-157.000000,2016
5.000000,18,-109.000000,2017
5.000000,18,230.000000,2018
5.000000,19,NaN,2009
5.000000,19,50.000000,2010
5.000000,19,177.000000,2011
5.000000,19,229.000000,2012
5.000000,19,NaN,2013
5.000000,19,NaN,2014
5.000000,19,148.000000,2015
5.000000,19,NaN,2016
5.000000,19,75.000000,2017
5.000000,19,52.000000,2018
5.000000,20,NaN,2010
5.000000,20,-139.000000,2011
5.000000,20,-164.000000,2012
5.000000,20,-193.000000,2013
5.000000,20,-228.000000,2014
5.000000,20,-215.000000,2015
5.000000,20,-205.000000,2016
5.000000,20,NaN,2017
5.000000,20,177.000000,2018
5.000000,21,NaN,2010
5.000000,21,-138.000000,2011
5.000000,21,-82.000000,2012
5.000000,21,-147.000000,2013
5.000000,21,-144.000000,2014
5.000000,21,-204.000000,2015
5.000000,21,-62.000000,2016
5.000000,21,-83.000000,2017
5.000000,21,298.000000,2018
5.000000,22,NaN,2008
5.000000,22,NaN,2009
5.000000,22,NaN,2010
5.000000,22,-110.000000,2011
5.000000,22,NaN,2012
5.000000,22,NaN,2013
5.000000,22,-57.000000,2014
5.000000,22,NaN,2015
5.000000,22,NaN,2016
5.000000,22,-68.000000,2017
5.000000,22,193.000000,2018
5.000000,23,NaN,2008
5.000000,23,-94.000000,2009
5.000000,23,-63.000000,2010
5.000000,23,-141.000000,2011
5.000000,23,-177.000000,2012
5.000000,23,-122.000000,2013
5.000000,23,-58.000000,2014
5.000000,23,-175.000000,2015
5.000000,23,-109.000000,2016
5.000000,23,-154.000000,2017
5.000000,23,300.000000,2018
5.000000,24,NaN,2009
5.000000,24,NaN,2010
5.000000,24,254.000000,2011
5.000000,24,NaN,2012
5.000000,24,179.000000,2013
5.000000,24,301.000000,2014
5.000000,24,178.000000,2015
5.000000,24,190.000000,2016
5.000000,24,NaN,2017
5.000000,24,267.000000,2018
5.000000,25,NaN,2010
5.000000,25,-92.000000,2011
5.000000,25,-54.000000,2012
5.000000,25,-137.000000,2013
5.000000,25,NaN,2014
5.000000,25,-85.000000,2015
5.000000,25,-92.000000,2016
5.000000,25,-103.000000,2017
5.000000,25,215.000000,2018
5.000000,26,NaN,2009
5.000000,26,171.000000,2010
5.000000,26,136.000000,2011
5.000000,26,205.000000,2012
5.000000,26,NaN,2013
5.000000,26,152.000000,2014
5.000000,26,183.000000,2015
5.000000,26,183.000000,2016
5.000000,26,220.000000,2017
5.000000,26,227.000000,2018
5.000000,27,NaN,2009
5.000000,27,-50.000000,2010
5.000000,27,NaN,2011
5.000000,27,NaN,2012
5.000000,27,NaN,2013
5.000000,27,-110.000000,2014
5.000000,27,-181.000000,2015
5.000000,27,-154.000000,2016
5.000000,27,-143.000000,2017
5.000000,28,NaN,2009
5.000000,28,-45.000000,2010
5.000000,28,NaN,2011
5.000000,28,-11.000000,2012
5.000000,28,-152.000000,2013
5.000000,28,-126.000000,2014
5.000000,28,-151.000000,2015
5.000000,28,-145.000000,2016
5.000000,28,-130.000000,2017
5.000000,29,NaN,2010
5.000000,29,133.000000,2011
5.000000,29,NaN,2012
5.000000,29,111.000000,2013
5.000000,29,222.000000,2014
5.000000,29,177.000000,2015
5.000000,29,218.000000,2016
5.000000,29,NaN,2017
5.000000,29,221.000000,2018
10.000000,1,NaN,2008
10.000000,1,-130.000000,2009
10.000000,1,-117.000000,2010
10.000000,1,-152.000000,2011
10.000000,1,-106.000000,2012
10.000000,1,-101.000000,2013
10.000000,1,-57.000000,2014
10.000000,1,-89.000000,2015
10.000000,1,-100.000000,2016
10.000000,1,-105.000000,2017
10.000000,1,282.000000,2018
