depth,sid,value,WY
5.000000,1,NaN,2011
5.000000,1,734933.000000,2012
5.000000,1,735270.000000,2013
5.000000,1,NaN,2014
5.000000,1,NaN,2015
5.000000,1,NaN,2016
5.000000,1,736756.000000,2017
5.000000,1,737113.000000,2018
5.000000,1,737552.000000,2019
5.000000,2,NaN,2012
5.000000,2,734884.000000,2013
5.000000,2,735274.000000,2014
5.000000,2,735693.000000,2015
5.000000,2,736120.000000,2016
5.000000,2,736448.000000,2017
5.000000,2,736717.000000,2018
5.000000,2,737138.000000,2019
5.000000,2,737456.000000,2020
5.000000,3,NaN,2012
5.000000,3,734956.000000,2013
5.000000,3,735278.000000,2014
5.000000,3,735689.000000,2015
5.000000,3,736119.000000,2016
5.000000,3,736458.000000,2017
5.000000,3,736738.000000,2018
5.000000,3,737110.000000,2019
5.000000,3,737563.000000,2020
5.000000,4,NaN,2012
5.000000,4,734920.000000,2013
5.000000,4,735301.000000,2014
5.000000,4,735654.000000,2015
5.000000,4,736127.000000,2016
5.000000,4,736453.000000,2017
5.000000,4,736740.000000,2018
5.000000,4,737104.000000,2019
5.000000,5,734690.000000,2012
5.000000,5,734926.000000,2013
5.000000,5,735349.000000,2014
5.000000,5,735679.000000,2015
5.000000,5,736136.000000,2016
5.000000,5,736472.000000,2017
5.000000,5,736706.000000,2018
5.000000,5,737183.000000,2019
5.000000,5,737522.000000,2020
5.000000,6,734243.000000,2010
5.000000,6,NaN,2011
5.000000,6,734896.000000,2012
5.000000,6,735295.000000,2013
5.000000,6,735679.000000,2014
5.000000,6,736020.000000,2015
5.000000,6,736377.000000,2016
5.000000,6,736707.000000,2017
5.000000,6,737138.000000,2018
5.000000,6,737504.000000,2019
5.000000,7,734235.000000,2011
5.000000,7,734571.000000,2012
5.000000,7,734976.000000,2013
5.000000,7,735231.000000,2014
5.000000,7,735688.000000,2015
5.000000,7,736036.000000,2016
5.000000,7,736332.000000,2017
5.000000,7,736689.000000,2018
5.000000,7,737156.000000,2019
5.000000,7,NaN,2020
5.000000,8,NaN,2010
5.000000,8,NaN,2011
5.000000,8,NaN,2012
5.000000,8,734921.000000,2013
5.000000,8,NaN,2014
5.000000,8,735764.000000,2015
5.000000,8,736113.000000,2016
5.000000,8,736457.000000,2017
5.000000,8,736831.000000,2018
5.000000,8,737228.000000,2019
5.000000,8,737518.000000,2020
5.000000,9,NaN,2012
5.000000,9,734978.000000,2013
5.000000,9,NaN,2014
5.000000,9,735823.000000,2015
5.000000,9,736199.000000,2016
5.000000,9,736465.000000,2017
5.000000,9,NaN,2018
5.000000,9,NaN,2019
5.000000,9,737478.000000,2020
5.000000,10,NaN,2011
5.000000,10,734687.000000,2012
5.000000,10,NaN,2013
5.000000,10,735368.000000,2014
5.000000,10,NaN,2015
5.000000,10,736105.000000,2016
5.000000,10,736467.000000,2017
5.000000,10,736845.000000,2018
5.000000,10,737180.000000,2019
5.000000,11,NaN,2012
5.000000,11,NaN,2013
5.000000,11,735245.000000,2014
5.000000,11,735657.000000,2015
5.000000,11,NaN,2016
5.000000,11,736332.000000,2017
5.000000,11,NaN,2018
5.000000,11,737235.000000,2019
5.000000,11,737474.000000,2020
5.000000,12,NaN,2011
5.000000,12,734737.000000,2012
5.000000,12,734976.000000,2013
5.000000,12,735369.000000,2014
5.000000,12,735828.000000,2015
5.000000,12,736124.000000,2016
5.000000,12,NaN,2017
5.000000,12,736847.000000,2018
5.000000,12,737296.000000,2019
5.000000,12,737638.000000,2020
5.000000,13,NaN,2010
5.000000,13,NaN,2011
5.000000,13,734926.000000,2012
5.000000,13,735128.000000,2013
5.000000,13,NaN,2014
5.000000,13,736026.000000,2015
5.000000,13,736363.000000,2016
5.000000,13,736752.000000,2017
5.000000,13,737141.000000,2018
5.000000,13,NaN,2019
5.000000,14,NaN,2012
5.000000,14,734979.000000,2013
5.000000,14,735409.000000,2014
5.000000,14,735637.000000,2015
5.000000,14,736126.000000,2016
5.000000,14,NaN,2017
5.000000,14,736706.000000,2018
5.000000,14,737120.000000,2019
5.000000,14,NaN,2020
5.000000,15,NaN,2011
5.000000,15,734979.000000,2012
5.000000,15,735248.000000,2013
5.000000,15,735650.000000,2014
5.000000,15,736007.000000,2015
5.000000,15,736366.000000,2016
5.000000,15,736750.000000,2017
5.000000,15,737146.000000,2018
5.000000,15,737441.000000,2019
5.000000,16,734211.000000,2011
5.000000,16,734724.000000,2012
5.000000,16,734983.000000,2013
5.000000,16,735310.000000,2014
5.000000,16,NaN,2015
5.000000,16,736037.000000,2016
5.000000,16,NaN,2017
5.000000,16,736749.000000,2018
5.000000,16,737130.000000,2019
5.000000,16,737489.000000,2020
5.000000,17,NaN,2010
5.000000,17,NaN,2011
5.000000,17,NaN,2012
5.000000,17,735276.000000,2013
5.000000,17,735594.000000,2014
5.000000,17,NaN,2015
5.000000,17,736338.000000,2016
5.000000,17,736727.000000,2017
5.000000,17,NaN,2018
5.000000,17,737443.000000,2019
5.000000,18,734373.000000,2011
5.000000,18,734649.000000,2012
5.000000,18,734934.000000,2013
5.000000,18,735338.000000,2014
5.000000,18,735677.000000,2015
5.000000,18,736106.000000,2016
5.000000,18,736417.000000,2017
5.000000,18,736752.000000,2018
5.000000,18,737165.000000,2019
5.000000,18,737504.000000,2020
5.000000,19,NaN,2010
5.000000,19,734404.000000,2011
5.000000,19,734896.000000,2012
5.000000,19,735313.000000,2013
5.000000,19,NaN,2014
5.000000,19,NaN,2015
5.000000,19,736327.000000,2016
5.000000,19,NaN,2017
5.000000,19,736984.000000,2018
5.000000,19,737326.000000,2019
5.000000,20,NaN,2012
5.000000,20,734945.000000,2013
5.000000,20,735285.000000,2014
5.000000,20,735621.000000,2015
5.000000,20,735951.000000,2016
5.000000,20,736329.000000,2017
5.000000,20,736704.000000,2018
5.000000,20,NaN,2019
5.000000,20,737451.000000,2020
5.000000,21,NaN,2012
5.000000,21,734946.000000,2013
5.000000,21,735367.000000,2014
5.000000,21,735667.000000,2015
5.000000,21,736035.000000,2016
5.000000,21,736340.000000,2017
5.000000,21,736847.000000,2018
5.000000,21,737191.000000,2019
5.000000,21,737572.000000,2020
5.000000,22,NaN,2010
5.000000,22,NaN,2011
5.000000,22,NaN,2012
5.000000,22,734974.000000,2013
5.000000,22,NaN,2014
5.000000,22,NaN,2015
5.000000,22,736122.000000,2016
5.000000,22,NaN,2017
5.000000,22,NaN,2018
5.000000,22,737206.000000,2019
5.000000,22,737467.000000,2020
5.000000,23,NaN,2010
5.000000,23,734260.000000,2011
5.000000,23,734656.000000,2012
5.000000,23,734943.000000,2013
5.000000,23,735272.000000,2014
5.000000,23,735692.000000,2015
5.000000,23,736121.000000,2016
5.000000,23,736369.000000,2017
5.000000,23,736800.000000,2018
5.000000,23,737120.000000,2019
5.000000,23,737574.000000,2020
5.000000,24,NaN,2010
5.000000,24,NaN,2011
5.000000,24,734973.000000,2012
5.000000,24,NaN,2013
5.000000,24,735628.000000,2014
5.000000,24,736115.000000,2015
5.000000,24,736357.000000,2016
5.000000,24,736734.000000,2017
5.000000,24,NaN,2018
5.000000,24,737541.000000,2019
5.000000,25,NaN,2012
5.000000,25,734992.000000,2013
5.000000,25,735395.000000,2014
5.000000,25,735677.000000,2015
5.000000,25,NaN,2016
5.000000,25,736459.000000,2017
5.000000,25,736817.000000,2018
5.000000,25,737171.000000,2019
5.000000,25,737489.000000,2020
5.000000,26,NaN,2010
5.000000,26,734525.000000,2011
5.000000,26,734855.000000,2012
5.000000,26,735289.000000,2013
5.000000,26,NaN,2014
5.000000,26,735966.000000,2015
5.000000,26,736362.000000,2016
5.000000,26,736727.000000,2017
5.000000,26,737129.000000,2018
5.000000,26,737501.000000,2019
5.000000,27,NaN,2011
5.000000,27,734669.000000,2012
5.000000,27,NaN,2013
5.000000,27,NaN,2014
5.000000,27,NaN,2015
5.000000,27,736069.000000,2016
5.000000,27,736363.000000,2017
5.000000,27,736755.000000,2018
5.000000,27,737131.000000,2019
5.000000,28,NaN,2011
5.000000,28,734674.000000,2012
5.000000,28,NaN,2013
5.000000,28,735438.000000,2014
5.000000,28,735662.000000,2015
5.000000,28,736053.000000,2016
5.000000,28,736393.000000,2017
5.000000,28,736764.000000,2018
5.000000,28,737144.000000,2019
5.000000,29,NaN,2011
5.000000,29,734852.000000,2012
5.000000,29,NaN,2013
5.000000,29,735560.000000,2014
5.000000,29,736036.000000,2015
5.000000,29,736356.000000,2016
5.000000,29,736762.000000,2017
5.000000,29,NaN,2018
5.000000,29,737495.000000,2019
10.000000,1,NaN,2010
10.000000,1,734224.000000,2011
10.000000,1,734602.000000,2012
10.000000,1,734932.000000,2013
10.000000,1,735343.000000,2014
10.000000,1,735713.000000,2015
10.000000,1,736122.000000,2016
10.000000,1,736455.000000,2017
10.000000,1,736809.000000,2018
10.000000,1,737169.000000,2019
10.000000,1,737556.000000,2020
