depth,sid,value,WY
5.000000,1,NaN,2010
5.000000,1,-151.599433,2011
5.000000,1,-160.000000,2012
5.000000,1,-187.805192,2013
5.000000,1,-178.735028,2014
5.000000,1,-171.999416,2015
5.000000,1,-186.999989,2016
5.000000,1,-72.002087,2017
5.000000,1,302.000146,2018
5.000000,2,NaN,2010
5.000000,2,-185.000000,2011
5.000000,2,-155.797021,2012
5.000000,2,-176.000000,2013
5.000000,2,-194.000000,2014
5.000000,2,-173.999991,2015
5.000000,2,-148.355267,2016
5.000000,2,-129.738258,2017
5.000000,2,292.406974,2018
5.000000,3,NaN,2010
5.000000,3,-162.013054,2011
5.000000,3,-170.000389,2012
5.000000,3,-120.998010,2013
5.000000,3,-195.999906,2014
5.000000,3,-84.948125,2015
5.000000,3,-96.960070,2016
5.000000,3,-67.999722,2017
5.000000,3,306.243833,2018
5.000000,4,NaN,2010
5.000000,4,-153.833275,2011
5.000000,4,-152.950507,2012
5.000000,4,-132.000000,2013
5.000000,4,-168.798677,2014
5.000000,4,-159.999881,2015
5.000000,4,-147.999994,2016
5.000000,4,-143.000000,2017
5.000000,4,262.696738,2018
5.000000,5,NaN,2010
5.000000,5,-154.571225,2011
5.000000,5,-154.000000,2012
5.000000,5,-184.775831,2013
5.000000,5,-180.000000,2014
5.000000,5,-173.000014,2015
5.000000,5,-172.146931,2016
5.000000,5,-136.735770,2017
5.000000,5,214.208704,2018
5.000000,6,NaN,2009
5.000000,6,74.000000,2010
5.000000,6,142.362109,2011
5.000000,6,179.085271,2012
5.000000,6,140.567580,2013
5.000000,6,65.041596,2014
5.000000,6,109.000000,2015
5.000000,6,151.434877,2016
5.000000,6,225.303278,2017
5.000000,6,NaN,2018
5.000000,7,-121.795997,2009
5.000000,7,-131.000004,2010
5.000000,7,-126.735218,2011
5.000000,7,-146.333188,2012
5.000000,7,-150.000043,2013
5.000000,7,-137.368713,2014
5.000000,7,-201.220207,2015
5.000000,7,-149.477701,2016
5.000000,7,-118.708034,2017
5.000000,7,222.483502,2018
5.000000,8,NaN,2008
5.000000,8,15.058538,2009
5.000000,8,153.004363,2010
5.000000,8,75.198785,2011
5.000000,8,NaN,2012
5.000000,8,6.000000,2013
5.000000,8,NaN,2014
5.000000,8,NaN,2015
5.000000,8,17.000000,2016
5.000000,8,NaN,2017
5.000000,9,153.008045,2010
5.000000,9,75.202141,2011
5.000000,9,NaN,2012
5.000000,9,6.000000,2013
5.000000,9,NaN,2014
5.000000,9,NaN,2015
5.000000,9,17.000000,2016
5.000000,9,NaN,2017
5.000000,10,15.745819,2009
