depth,sid,value,WY
5.000000,1,NaN,2011
5.000000,1,-151.499038,2012
5.000000,1,-160.749909,2013
5.000000,1,NaN,2014
5.000000,1,-139.177042,2015
5.000000,1,-175.393966,2016
5.000000,1,-167.952991,2017
5.000000,1,-131.000000,2018
5.000000,1,274.864149,2019
5.000000,2,NaN,2012
5.000000,2,-172.746275,2013
5.000000,2,-161.030362,2014
5.000000,2,-120.000001,2015
5.000000,2,-61.679171,2016
5.000000,2,-107.122587,2017
5.000000,2,-177.885616,2018
5.000000,2,-131.000000,2019
5.000000,2,198.000185,2020
5.000000,3,NaN,2012
5.000000,3,-117.000000,2013
5.000000,3,-171.000030,2014
5.000000,3,-120.415325,2015
5.000000,3,-60.878167,2016
5.000000,3,-145.391716,2017
5.000000,3,-156.165911,2018
5.000000,3,-140.000000,2019
5.000000,3,246.999999,2020
5.000000,4,NaN,2012
5.000000,4,-125.000000,2013
5.000000,4,-73.973571,2014
5.000000,4,-142.070859,2015
5.000000,4,-51.733620,2016
5.000000,4,-90.322047,2017
5.000000,4,-158.985331,2018
5.000000,4,-169.999996,2019
5.000000,5,-28.968910,2012
5.000000,5,-147.702354,2013
5.000000,5,-98.748409,2014
5.000000,5,-120.663533,2015
5.000000,5,-43.797264,2016
5.000000,5,-71.357204,2017
5.000000,5,-181.588014,2018
5.000000,5,-88.000000,2019
5.000000,5,256.321729,2020
5.000000,6,252.009984,2010
5.000000,6,NaN,2011
5.000000,6,176.609793,2012
5.000000,6,210.892016,2013
5.000000,6,227.999998,2014
5.000000,6,230.000000,2015
5.000000,6,200.999413,2016
5.000000,6,169.036145,2017
5.000000,6,223.349624,2018
5.000000,6,229.764393,2019
5.000000,7,-115.000000,2011
5.000000,7,-125.000229,2012
5.000000,7,-96.999987,2013
5.000000,7,-145.103274,2014
5.000000,7,-120.000000,2015
5.000000,7,-144.904618,2016
5.000000,7,-141.999998,2017
5.000000,7,-154.639897,2018
5.000000,7,-176.410419,2019
5.000000,7,219.929210,2020
5.000000,8,NaN,2010
5.000000,8,NaN,2011
5.000000,8,NaN,2012
5.000000,8,-111.632845,2013
5.000000,8,NaN,2014
5.000000,8,NaN,2015
5.000000,8,-53.901090,2016
5.000000,8,-75.341976,2017
5.000000,8,-79.607199,2018
5.000000,8,NaN,2019
5.000000,8,243.760800,2020
5.000000,9,NaN,2012
5.000000,9,-103.852565,2013
5.000000,9,NaN,2014
5.000000,9,NaN,2015
5.000000,9,19.515363,2016
5.000000,9,-73.887090,2017
5.000000,9,NaN,2018
5.000000,9,NaN,2019
5.000000,9,241.268493,2020
5.000000,10,NaN,2011
5.000000,10,-29.244685,2012
5.000000,10,NaN,2013
5.000000,10,-81.980837,2014
5.000000,10,NaN,2015
5.000000,10,-61.464023,2016
5.000000,10,-76.000000,2017
5.000000,10,-64.602944,2018
5.000000,10,-37.238347,2019
5.000000,11,NaN,2012
5.000000,11,-138.511488,2013
5.000000,11,-187.335791,2014
5.000000,11,-153.000000,2015
5.000000,11,-196.479276,2016
5.000000,11,-178.510638,2017
5.000000,11,-193.000000,2018
5.000000,11,-127.745256,2019
5.000000,11,257.839929,2020
5.000000,12,-100.701741,2011
5.000000,12,-14.999806,2012
5.000000,12,-101.039926,2013
5.000000,12,-79.123076,2014
5.000000,12,NaN,2015
5.000000,12,-58.606398,2016
5.000000,12,-87.000000,2017
5.000000,12,-62.870600,2018
5.000000,12,21.058798,2019
5.000000,12,361.459649,2020
5.000000,13,NaN,2010
5.000000,13,43.999998,2011
5.000000,13,208.345865,2012
5.000000,13,44.999971,2013
5.000000,13,46.000000,2014
5.000000,13,214.439005,2015
5.000000,13,181.172642,2016
5.000000,13,207.587143,2017
5.000000,13,231.515424,2018
5.000000,13,143.062187,2019
5.000000,14,NaN,2012
5.000000,14,-63.151405,2013
5.000000,14,-39.065411,2014
5.000000,14,-161.000000,2015
5.000000,14,-54.007296,2016
5.000000,14,NaN,2017
5.000000,14,-187.236921,2018
5.000000,14,-147.999993,2019
5.000000,14,229.000000,2020
5.000000,15,NaN,2011
5.000000,15,259.835805,2012
5.000000,15,163.696375,2013
5.000000,15,217.752407,2014
5.000000,15,193.476933,2015
5.000000,15,229.999781,2016
5.000000,15,231.237556,2017
5.000000,15,189.390481,2018
5.000000,15,235.559991,2019
5.000000,16,-137.000000,2011
5.000000,16,4.487834,2012
5.000000,16,-102.612339,2013
5.000000,16,-140.125506,2014
5.000000,16,NaN,2015
5.000000,16,-143.243575,2016
5.000000,16,-157.599878,2017
5.000000,16,-158.500124,2018
5.000000,16,-126.597123,2019
5.000000,16,219.692979,2020
5.000000,17,NaN,2010
5.000000,17,198.001329,2011
5.000000,17,NaN,2012
5.000000,17,188.357766,2013
5.000000,17,149.041389,2014
5.000000,17,259.000000,2015
5.000000,17,153.001312,2016
5.000000,17,181.001339,2017
5.000000,17,NaN,2018
5.000000,17,95.665500,2019
5.000000,18,18.052595,2011
5.000000,18,-69.578613,2012
5.000000,18,-138.330963,2013
5.000000,18,-112.747093,2014
5.000000,18,-126.640274,2015
5.000000,18,-137.000000,2016
5.000000,18,-123.000000,2017
5.000000,18,-140.780105,2018
5.000000,18,-101.743659,2019
5.000000,18,252.000000,2020
5.000000,19,NaN,2010
5.000000,19,85.220742,2011
5.000000,19,170.256993,2012
5.000000,19,227.513921,2013
5.000000,19,NaN,2014
5.000000,19,NaN,2015
5.000000,19,85.532972,2016
5.000000,19,91.825062,2017
5.000000,19,72.000000,2018
5.000000,19,86.999855,2019
5.000000,20,NaN,2012
