depth,sid,value,WY
5.000000,1,NaN,2010
5.000000,1,734932.400567,2011
5.000000,1,735289.000000,2012
5.000000,1,735626.194808,2013
5.000000,1,736000.264972,2014
5.000000,1,736372.000584,2015
5.000000,1,736722.000011,2016
5.000000,1,737201.997913,2017
5.000000,1,737576.000146,2018
5.000000,2,NaN,2010
5.000000,2,734899.000000,2011
5.000000,2,735293.202979,2012
5.000000,2,735638.000000,2013
5.000000,2,735985.000000,2014
5.000000,2,736370.000009,2015
5.000000,2,736760.644733,2016
5.000000,2,737144.261742,2017
5.000000,2,737566.406974,2018
5.000000,3,NaN,2010
5.000000,3,734921.986946,2011
5.000000,3,735278.999611,2012
5.000000,3,735693.001990,2013
5.000000,3,735983.000094,2014
5.000000,3,736459.051875,2015
5.000000,3,736812.039930,2016
5.000000,3,737206.000278,2017
5.000000,3,737580.243833,2018
5.000000,4,NaN,2010
5.000000,4,734930.166725,2011
5.000000,4,735296.049493,2012
5.000000,4,735682.000000,2013
5.000000,4,736010.201323,2014
5.000000,4,736384.000119,2015
5.000000,4,736761.000006,2016
5.000000,4,737131.000000,2017
5.000000,4,737536.696738,2018
5.000000,5,NaN,2010
5.000000,5,734929.428775,2011
5.000000,5,735295.000000,2012
5.000000,5,735629.224169,2013
5.000000,5,735999.000000,2014
5.000000,5,736370.999986,2015
5.000000,5,736736.853069,2016
5.000000,5,737137.264230,2017
5.000000,5,737488.208704,2018
5.000000,6,NaN,2009
5.000000,6,734428.000000,2010
5.000000,6,734861.362109,2011
5.000000,6,735263.085271,2012
5.000000,6,735589.567580,2013
5.000000,6,735879.041596,2014
5.000000,6,736288.000000,2015
5.000000,6,736695.434877,2016
5.000000,6,737134.303278,2017
5.000000,6,NaN,2018
5.000000,7,734232.204003,2009
5.000000,7,734587.999996,2010
5.000000,7,734957.264782,2011
5.000000,7,735302.666812,2012
5.000000,7,735663.999957,2013
5.000000,7,736041.631287,2014
5.000000,7,736342.779793,2015
5.000000,7,736759.522299,2016
5.000000,7,737155.291966,2017
5.000000,7,737496.483502,2018
5.000000,8,NaN,2008
5.000000,8,734369.058538,2009
5.000000,8,734872.004363,2010
5.000000,8,735159.198785,2011
5.000000,8,NaN,2012
5.000000,8,735820.000000,2013
5.000000,8,NaN,2014
5.000000,8,NaN,2015
5.000000,8,736926.000000,2016
5.000000,8,NaN,2017
5.000000,9,734872.008045,2010
