depth,station,insitu,gldas
5.08,11,NaN,NaN
5.08,11,736052.518942793,736147.695287555
5.08,11,736502.09788646,736513.423907269
5.08,11,736881.28612632,736871.345784556
5.08,11,737207.749959454,737233.382417061
5.08,12,NaN,NaN
5.08,12,733246.53934424,733242.453514287
5.08,12,733598.291939126,733616.300825497
5.08,12,NaN,NaN
5.08,12,734436.038347109,734337.560430728
5.08,12,734718.568557737,734708.993242974
5.08,12,735063.69104117,735111.687076058
5.08,12,735429.005006938,735460.296394328
5.08,12,735800.113720951,735746.063047906
5.08,19,NaN,NaN
5.08,22,NaN,NaN
5.08,22,733602.741434661,733532.624840723
5.08,22,733976.88802534,733966.176951643
5.08,22,734332.107720377,734309.710004008
5.08,22,734737.238488459,734695.95077439
5.08,22,735014.219054812,735033.271448766
5.08,22,735393.611475955,735401.622194875
5.08,22,735771.612333938,735781.477310587
5.08,22,736159.658511085,736072.616364071
5.08,22,736540.300150582,736505.384333374
5.08,22,736891.902694856,736865.363035567
5.08,22,737202.448908978,737237.129970276
5.08,25,NaN,NaN
5.08,25,730674.253619454,730688.975270986
5.08,25,730996.174701823,730976.782186866
5.08,25,731488.000173411,731334.293599777
5.08,26,NaN,NaN
5.08,26,732515.65919633,732447.327019502
5.08,26,732887.999956903,732894.142479794
5.08,26,733253.474048703,733257.970619111
5.08,26,733608.190579697,733498.468951617
5.08,26,733951.138869387,733916.823547582
5.08,26,734342.51722724,734228.693530946
5.08,26,734719.24205898,734705.55045952
5.08,26,735070.225030752,735109.697423915
5.08,26,735480.105608047,735334.748424931
5.08,26,735747.747617159,735756.717690896
5.08,26,736080.19690987,736064.561472921
5.08,26,736499.271952711,736502.538509952
5.08,26,736831.665866838,736915.036718683
5.08,26,737286.996946578,737270.425874717
5.08,27,734333.782741706,734331.131804461
5.08,27,734679.270999331,734634.559326161
5.08,27,735018.239312727,735037.652075723
5.08,27,735414.464638144,735400.635144883
5.08,27,735796.177849052,735769.956756027
5.08,27,736158.298729344,736060.376546819
5.08,27,736524.193759569,736416.674161803
5.08,27,736845.577939211,736856.234609542
5.08,27,737230.263458303,737243.999943506
5.08,28,NaN,NaN
5.08,28,733509.361685032,733521.620527125
5.08,28,733857.902744291,733907.57090429
5.08,28,734269.654940355,734259.481734752
5.08,28,734607.736613925,734692.951890466
5.08,28,734993.480086478,735045.11664051
5.08,28,735446.513411003,735402.999892694
5.08,28,735690.773658339,735781.434664965
5.08,28,736188.200252936,736054.82701548
5.08,28,736499.145201615,736517.973813786
5.08,28,736805.542044047,736802.823707292
5.08,28,737226.430797522,737215.311889445
5.08,29,734321.270323741,734333.719904874
5.08,29,734688.09838186,734706.246763301
5.08,29,734996.802040035,735006.497023127
5.08,29,735401.603209124,735400.238542356
5.08,29,735771.175179716,735769.167750188
5.08,29,736164.000003817,736074.703879988
5.08,29,736502.335728714,736516.436200077
5.08,29,736849.562502918,736878.442797163
5.08,29,737234.685710257,737313.532626386
5.08,31,734313.53091078,734271.698222031
5.08,31,734691.435206891,734672.583919598
5.08,31,735015.448297409,735015.917909338
5.08,31,735404.743923082,735396.783974439
5.08,31,735772.121235225,735754.852456173
5.08,31,NaN,NaN
5.08,31,736505.93127076,736479.442610477
5.08,31,736826.246690115,736824.462633749
5.08,31,737181.428636391,737190.355370925
5.08,33,NaN,NaN
5.08,33,732870.983288206,NaN
5.08,33,733230.189090745,733306.455469622
5.08,35,733238.586336953,NaN
5.08,35,733596.299848354,733592.480737609
5.08,35,733927.713314798,733917.583168251
5.08,35,734350.448146927,734348.830718108
5.08,35,734704.024960081,734751.269109214
5.08,35,735111.999999997,735106.301602814
5.08,35,735515.220643858,735432.803795736
5.08,35,735840.451032571,735810.332419596
5.08,35,736150.46810902,736176.91478884
5.08,35,736548.059442425,736520.363346206
5.08,35,736849.545012807,736845.32003035
5.08,35,737268.825765545,737273.999999977
5.08,36,733896.560144132,733967.493382366
5.08,36,734251.632161912,734332.790997603
5.08,36,734693.297692613,734712.789946813
5.08,36,NaN,NaN
5.08,36,NaN,NaN
5.08,36,NaN,NaN
5.08,36,736120.160983293,736155.214727077
5.08,36,736452.268410193,736510.691077676
5.08,36,736903.809978123,736878.118962165
5.08,36,737257.500274335,737279.450465468
5.08,36,737628.613199017,737639.860806896
5.08,41,NaN,NaN
5.08,41,733908.695200515,733945.434740605
5.08,41,NaN,NaN
5.08,41,734656.279270039,734694.238059318
5.08,44,NaN,NaN
5.08,44,733237.581832644,733246.638339497
5.08,44,733629.646635249,733614.325178658
5.08,44,733918.594205951,733927.645064407
5.08,44,734353.958895283,734358.816523172
5.08,44,734752.685603271,734755.931818909
5.08,44,735115.227143875,735125.339277259
5.08,44,735467.000005029,735444.615041238
5.08,44,735836.462548211,735802.999747933
5.08,44,736201.320510416,736183.9984425
5.08,46,NaN,NaN
5.08,49,730623.555845214,730709.222687572
5.08,49,731008.348304227,731031.593117379
5.08,49,731424.384160121,731442.000026191
5.08,49,731760.781797638,731782.438525537
5.08,49,732133.269319099,732140.989893681
5.08,49,732489.929976084,732542.043384283
5.08,49,732915.17962213,732902.535688613
5.08,50,NaN,733255.47369908
5.08,50,733544.817484879,733591.495345276
5.08,50,733936.544217472,733965.329728191
5.08,50,734350.225393878,734331.637263975
5.08,50,734700.586415809,734727.201076408
5.08,50,735019.198252213,735100.687322627
5.08,50,735360.878554519,735414.868254411
5.08,50,735748.224310882,735801.523299663
5.08,50,736122.965286673,736147.961903651
5.08,50,736536.49274234,736511.486167718
5.08,50,736845.826902568,736892.691723338
5.08,50,737230.639529658,737267.242674804
5.08,53,733519.502699907,NaN
5.08,53,733904.679974713,733943.648299296
5.08,53,734295.377756864,734332.757664106
5.08,53,734651.149578,734692.9381093
5.08,53,735011.477241865,735032.003208222
5.08,54,NaN,735556.746223532
5.08,54,735749.335458646,735781.834252665
5.08,54,736115.792601219,736070.000096046
5.08,54,736520.32266424,736515.606480148
5.08,54,736837.539582173,736819.163211353
5.08,54,737221.836745786,737232.642705744
5.08,55,NaN,NaN
5.08,55,733242.855932429,733229.697322637
5.08,55,733626.212122989,733584.757855847
