depth,station,insitu,gldas
5.08,11,NaN,NaN
5.08,11,735971.999725196,736002.617894202
5.08,11,736454.848798486,736456.860331788
5.08,11,736748.551462422,736758.665319977
5.08,11,737153.751868178,737158.684441555
5.08,12,NaN,NaN
5.08,12,733152.999999994,733195.708705504
5.08,12,733577.302799769,733575.392538799
5.08,12,NaN,NaN
5.08,12,734402.010170083,734312.848444611
5.08,12,734684.911901799,734558.999999969
5.08,12,735039.812500126,735035.999999992
5.08,12,735402.000026585,735399.999999984
5.08,12,735719.043127617,735697.999999989
5.08,19,NaN,NaN
5.08,22,NaN,NaN
5.08,22,733480.651146751,733454.999999999
5.08,22,733880.430816577,733816.742244377
5.08,22,734219.330060051,734178.999999978
5.08,22,734587.404079265,734549.01010146
5.08,22,734949.131955394,734942.197682779
5.08,22,735340.026420927,735299.249154789
5.08,22,735682.000002038,735642.742698767
5.08,22,736130.000256456,735995.999960952
5.08,22,736412.000019766,736364
5.08,22,736774.252995949,736723.267554266
5.08,22,737143.572226514,737170.415382984
5.08,25,NaN,NaN
5.08,25,730591.317579846,730538.999999963
5.08,25,730967.462055782,730910.618948836
5.08,25,731373.000082735,731318.649052325
5.08,26,NaN,NaN
5.08,26,732490.387281228,732411.193957345
5.08,26,732780.000004888,732766.000088045
5.08,26,733144.632654412,733149.264424033
5.08,26,733573.60116997,733475.549418472
5.08,26,733901.544137498,733793
5.08,26,734299.966991795,734200.101387876
5.08,26,734661.999999962,734555.550499386
5.08,26,735032.308305289,735025.999995564
5.08,26,735404.596196761,735302.549929684
5.08,26,735718.190081488,735685.988463359
5.08,26,736059.573596051,735990.99998482
5.08,26,736481.389440945,736479.352713011
5.08,26,736789.888185413,736779.170525774
5.08,26,737179.999999754,737139.406305292
5.08,27,734298.630268351,734203.665464631
5.08,27,734655.055750743,734545.11709413
5.08,27,734953.911048152,734938
5.08,27,735335.547431206,735301.99999999
5.08,27,735726.052459731,735620.000378587
5.08,27,736131.804723747,735993.778436081
5.08,27,736461.110831744,736384.967825635
5.08,27,736807.90844911,736735.447410248
5.08,27,737207.65285157,737137.592793621
5.08,28,NaN,NaN
5.08,28,733476.625900467,733447.251703629
