depth,station,insitu,gldas
5,1,NaN,NaN
5,1,734938.012160889,734938.000038513
5,1,735276.931005563,735299.961630517
5,1,735639.046057847,735626.999941915
5,1,736027.999985127,735992.867771945
5,1,736359.983735827,736362.999999546
5,1,736745.784887122,736725.896487947
5,1,737137.000161255,737190.46974729
5,2,NaN,NaN
5,2,734896.387669512,NaN
5,2,735249.872847445,735245.997132658
5,2,NaN,NaN
5,2,NaN,NaN
5,2,NaN,NaN
5,2,736689.006109343,736775.459877852
5,2,737150.138843984,737157.488438622
5,3,NaN,NaN
5,3,734962.283715336,734917.000039862
5,3,NaN,NaN
5,3,735702.991382315,735701.090474035
5,3,736109.82866901,736016.51745811
5,3,736378.30844084,736442.127980522
5,3,736709.999991216,736759.866680168
5,3,737143.999999983,737160.493041484
5,4,NaN,NaN
5,4,734915.000094321,734879.999998464
5,4,735328.401500732,735248.999996454
5,4,735625.999896936,735626.63108845
5,4,736126.509663942,735990.127882856
5,4,736420.356030065,736336.999996122
5,4,736711.999998787,736711.999999158
5,4,737080.927909794,737085.999994934
5,5,NaN,NaN
5,5,734923.713048243,734882.82825977
5,5,735301.402224395,735249.999616413
5,5,735636.27541151,735587.999990711
5,5,736131.221043408,NaN
5,5,736454.03547524,NaN
5,5,NaN,NaN
5,5,737182.874557989,737148.033727446
5,7,734247.438804419,734247.367014708
5,7,734584.755580889,734587.849497353
5,7,734973.331385121,734960.31702257
5,7,735266.16281378,735276.427136512
5,7,735687.234889332,735667.999999753
5,7,735979.992623427,735997.625246699
5,7,736359.322228555,736357.707613781
5,7,736728.843032169,736754.109696823
5,7,737151.82094751,737140.999999998
5,11,NaN,NaN
5,11,734963.165297292,734941.53408182
5,11,735276.885062039,735274.622202185
5,11,735667.201178108,735652.400223718
5,11,735983.836600385,735997.999999764
5,11,736365.947919559,736364.797186067
5,11,736755.359537018,736753.610281987
5,11,737233.393518714,737138.555652782
5,14,NaN,NaN
5,14,734988.357634732,734973.522613092
5,14,735392.554218338,NaN
5,14,735608.999999992,735665.580475866
5,14,736125.819002166,NaN
5,14,736468.115727772,736379.530949526
5,14,736745.441844772,736750.185259921
5,14,737088.026550088,737098.254230526
5,15,NaN,NaN
5,15,734968.547091043,734971.769053305
5,15,735259.577091087,735285.464482477
5,15,735677.181998632,735673.383659835
5,15,735960.495845916,736012.269510943
5,15,736399.130718523,736369.779328883
5,15,736759.187168073,736745.00002636
5,15,737135.796174633,737155.083407166
5,17,NaN,NaN
5,17,734563.708973591,734530.440497078
5,17,734901.185937539,734910.042943794
5,17,735275.000163807,735266.999989221
5,17,735601.000051462,735582.413664961
5,17,736031.999885097,NaN
5,17,736339.86656448,736329.541141207
5,17,736706.05348646,736720.987858116
5,17,737054.999999721,737045.000020848
5,18,734370.99999951,NaN
5,18,734641.108935411,734551.99994664
5,18,734895.999984122,734896.999997735
5,18,735293.481096281,NaN
5,18,735635.541942539,735645.356471392
5,18,736009.99999996,735959.983082691
5,18,736380.999999945,NaN
5,18,NaN,NaN
5,18,737125.365629406,737137.925342845
5,20,NaN,NaN
5,20,734960.999687894,734913.400115906
5,20,NaN,735275.965134858
5,20,NaN,NaN
5,20,735986.824238728,735993.999544155
5,20,736351.692207531,736371.000000002
5,20,NaN,NaN
5,20,NaN,NaN
5,21,NaN,NaN
5,21,734943.366176288,734987.876024002
5,21,735357.999999804,735364.366206578
5,21,735667.117381538,735744.562934656
5,21,736104.99991902,736130.463488556
5,21,NaN,NaN
5,21,736844.701180505,736845.122839585
5,21,737194.081951365,737210.000100682
5,22,NaN,NaN
5,22,734282.972612806,734289.294608879
5,22,734621.381084588,NaN
5,22,734970.25751148,734974.999979366
5,22,735351.230002251,735297.000095011
5,22,NaN,NaN
5,22,736110.233668141,736121.651227836
5,22,736461.435322245,736477.378138825
5,22,736826.281914833,736835.999999822
5,22,737282.97901348,NaN
5,23,NaN,NaN
5,23,734270.215345721,734181.084625013
5,23,734655.134401222,734554.543924787
5,23,734962.672745589,734949.301698735
5,23,735236.999999667,735238.003315108
5,23,735694.720635945,735676.242723053
5,23,736039.46806874,736004.527644692
5,23,736393.744784701,736353.677119857
5,23,736769.546968705,736711.999999995
5,23,737141.68955991,737166.326288935
5,27,734391.999870975,NaN
5,27,734672.999994378,734575.726053797
5,27,735036.452770786,735026.252335388
5,27,735280.39287148,735277.000000164
5,27,735721.376946438,735690.999999559
5,27,736052.99331476,736023.64782053
5,27,736389.226175743,736355.999992004
5,27,736743.266429993,736720.99999968
5,27,737129.799684004,737086.999999856
5,28,734392,NaN
5,28,734678.460270431,734572.699879235
5,28,734974.353349798,735026.26030821
5,28,735424.081556661,735274.110075432
5,28,735771.158566787,735692.999989859
5,28,736026.394498179,736025.150266246
5,28,736519.999999911,736362.027933064
5,28,736762.828844671,736726.999974334
5,28,737126.000000095,737092.063972677
10,1,NaN,NaN
10,1,734224.009188507,734198.352370858
10,1,734616.787370945,734569.54349464
10,1,734959.168150486,734936.368856821
10,1,735339.99883407,735304.001447572
10,1,735737.24408263,735705.476569809
10,1,736110.000806728,736008.629831631
10,1,736452.978605019,736361.689610699
10,1,736798.720901569,736748.379990481
10,1,737182.635941618,737156.581939108
