depth,station,insitu,gldas
5,1,NaN,NaN
5,1,734844.224620799,734871.871295483
5,1,735107.398993696,735145.194691215
5,1,735440.549344395,735559.451572526
5,1,735919.000037254,735771.000026749
5,1,736213.91546952,736231.680252234
5,1,736631.822624343,736646.99999616
5,1,737048.347882173,736881.594877313
5,2,NaN,NaN
5,2,NaN,NaN
5,2,NaN,NaN
5,2,NaN,NaN
5,2,NaN,NaN
5,2,NaN,NaN
5,2,NaN,NaN
5,2,NaN,NaN
5,3,NaN,NaN
5,3,NaN,NaN
5,3,NaN,NaN
5,3,NaN,NaN
5,3,735861.434207252,735849.999999751
5,3,NaN,NaN
5,3,NaN,NaN
5,3,NaN,NaN
5,4,NaN,NaN
5,4,NaN,NaN
5,4,NaN,NaN
5,4,NaN,NaN
5,4,NaN,NaN
5,4,NaN,NaN
5,4,NaN,NaN
5,4,NaN,NaN
5,5,NaN,NaN
5,5,NaN,NaN
5,5,NaN,NaN
5,5,NaN,NaN
5,5,NaN,NaN
5,5,NaN,NaN
5,5,NaN,NaN
5,5,736944.178090575,737058.99880649
5,7,NaN,NaN
5,7,734408.483240332,734400.725470186
5,7,734761.999936675,734799.51197015
5,7,735192.446224603,735133.494575715
5,7,735538.859390232,735530.930661742
5,7,735919.795762517,735832.174622705
5,7,736305.327694319,736202.530703706
5,7,736635.634765375,736615.716093335
5,7,737035.232566122,737044.83279135
5,11,NaN,NaN
5,11,734868.647459291,734811.559924668
5,11,735142.009424085,735138.925159584
5,11,735568.999909232,735457.83081093
5,11,735881.949113516,735862.079312141
5,11,736246.374624253,736247.365653033
5,11,736573.000059001,736588.253862673
5,11,736948.296586105,736944.116869988
5,14,NaN,NaN
5,14,734802.605571589,734777.926358642
5,14,NaN,NaN
5,14,NaN,NaN
5,14,NaN,NaN
5,14,NaN,NaN
5,14,NaN,NaN
5,14,NaN,NaN
5,15,NaN,NaN
5,15,734810.376389675,734761.999998685
5,15,735184.530968441,735145.32844636
5,15,735544.851293049,735502.437781007
5,15,735885.430876096,735866.642348796
5,15,736231.523284228,736214.422131391
5,15,736612.239160302,736600.920255914
5,15,737003.797431832,736990.149065938
5,17,NaN,NaN
5,17,734266.998702084,734280.002731715
5,17,734681.429893112,734742.99874311
5,17,735097.661533295,735062.999999932
5,17,735386.78830737,735358.032643827
5,17,735808.495286097,735814.830615438
5,17,736177.999935502,736197.047128384
5,17,736511.018073136,736547.666175356
5,17,736843.225417831,736895.36259334
5,18,NaN,NaN
5,18,734423.174057015,734437.295185132
5,18,NaN,NaN
5,18,NaN,NaN
5,18,NaN,NaN
5,18,NaN,NaN
5,18,NaN,NaN
5,18,NaN,NaN
5,18,NaN,NaN
5,20,NaN,NaN
5,20,734868.617403607,734762.907177222
5,20,NaN,NaN
5,20,NaN,NaN
5,20,735855.368992253,735868.376269143
5,20,736224.394592865,736243.627198363
5,20,NaN,NaN
5,20,NaN,NaN
5,21,NaN,NaN
5,21,734739.999999901,734747.000010227
5,21,735116.268106285,735124.999460379
5,21,NaN,NaN
5,21,735858.999998586,735824.688195827
5,21,NaN,NaN
5,21,NaN,NaN
5,21,736957.272130166,737060.859899222
5,22,NaN,NaN
5,22,734149.999999293,734050.376303054
5,22,734504.594431948,NaN
5,22,734771.14708345,734830.320326572
5,22,NaN,NaN
5,22,NaN,NaN
5,22,735948.119075318,735932.000946393
5,22,736246.538756206,736244.999999917
5,22,736697.663996516,736671.366826669
5,22,NaN,NaN
5,23,NaN,NaN
5,23,734124.312432035,NaN
5,23,734395.066581867,734374.168302679
5,23,734847.255803692,734744.001420166
5,23,NaN,NaN
5,23,NaN,NaN
5,23,735885.552336151,735853.094777384
5,23,736244.652748567,736245.380903235
5,23,NaN,NaN
5,23,NaN,NaN
5,27,NaN,NaN
5,27,NaN,734471.35322537
5,27,734810.347743875,734786.354086782
5,27,735155.371727451,735145.503769042
5,27,735546.402596353,735487.554744072
5,27,735906.808870049,735910.505268632
5,27,736261.219442272,736267.856020955
5,27,736575.145944753,736643.693611272
5,27,737034.230280656,737031.217412305
10,1,NaN,NaN
10,1,734029.642301622,734054.000000483
10,1,734525.984217313,734443.248050573
10,1,734779.480249022,734761.099381249
10,1,735156.429149053,735122.556627354
10,1,735486.659807487,735457.259703879
10,1,735861.368400442,735847.160644925
10,1,736231.43219166,736233.09152449
10,1,736657.998273465,736622.655691805
10,1,736953.970591408,737060.945250579
