depth,station,insitu,gldas
5,1,NaN,NaN
5,1,734928.999985329,734899.20945887
5,1,735257.367924837,735293.582689775
5,1,735579.338302416,735595.505488349
5,1,736031.002618526,735882.543825483
5,1,736336.170833926,736353.039368436
5,1,736702.783917507,736706.261579392
5,1,737104.184321441,736897.768362389
5,2,NaN,NaN
5,2,NaN,NaN
5,2,NaN,NaN
5,2,NaN,NaN
5,2,NaN,NaN
5,2,NaN,NaN
5,2,NaN,NaN
5,2,NaN,NaN
5,3,NaN,NaN
5,3,NaN,NaN
5,3,NaN,NaN
5,3,NaN,NaN
5,3,735925.388994979,735933.187582843
5,3,NaN,NaN
5,3,NaN,NaN
5,3,NaN,NaN
5,4,NaN,NaN
5,4,NaN,NaN
5,4,NaN,NaN
5,4,NaN,NaN
5,4,NaN,NaN
5,4,NaN,NaN
5,4,NaN,NaN
5,4,NaN,NaN
5,5,NaN,NaN
5,5,NaN,NaN
5,5,NaN,NaN
5,5,NaN,NaN
5,5,NaN,NaN
5,5,NaN,NaN
5,5,NaN,NaN
5,5,736958.999999847,737101.267276894
5,7,NaN,NaN
5,7,734444.180469153,734505
5,7,734820.354057829,734832.131349381
5,7,735223.878907356,735236.275856153
5,7,735563.384402321,735553.863629002
5,7,735943.759271834,735954.27752619
5,7,736325.997908823,736332.999999983
5,7,736690.737890288,736714.803783637
5,7,737154.86252741,737129.026341998
5,11,NaN,NaN
5,11,734889.413183899,734894.053966958
5,11,735235.585561523,735240.018090638
5,11,735649.648056399,735606.319972037
5,11,735936.679270039,735943.257149381
5,11,736310.000001199,736309.333999695
5,11,736707.219069966,736690.798110765
5,11,737073.999999943,737055.616695972
5,14,NaN,NaN
5,14,734952.284818432,734927.923794593
5,14,NaN,NaN
5,14,NaN,NaN
5,14,NaN,NaN
5,14,NaN,NaN
5,14,NaN,NaN
5,14,NaN,NaN
5,15,NaN,NaN
5,15,734818.892613262,734898.000001855
5,15,735211.180693279,735220.366801733
5,15,735569.059841204,735652.364422424
5,15,735931.646716718,735951.369545709
5,15,736345.343585856,736328.349330801
5,15,736736.505215721,736705.797416993
5,15,737083.000015048,737074.701605334
5,17,NaN,NaN
5,17,734310.786957442,734303.138350528
5,17,734690.527657383,734778.301055358
5,17,735108.968819064,735073.129086286
5,17,735536.635045123,735452.000000001
5,17,735832.333621622,735826.106958706
5,17,736258.741230996,736324.350386665
5,17,736660.999096661,736561.43186188
5,17,736871.884657945,736910.066640369
5,18,NaN,NaN
5,18,734440.764707166,734499.545516331
5,18,NaN,NaN
5,18,NaN,NaN
5,18,NaN,NaN
5,18,NaN,NaN
5,18,NaN,NaN
5,18,NaN,NaN
5,18,NaN,NaN
5,20,NaN,NaN
5,20,734882.315932893,734890.999999801
5,20,NaN,NaN
5,20,NaN,NaN
5,20,735948.019307935,735967.999959628
5,20,736316.409801823,736323.857724544
5,20,NaN,NaN
5,20,NaN,NaN
5,21,NaN,NaN
5,21,734811.237693251,734802.999999804
5,21,735140.013600389,735152.713396028
5,21,NaN,NaN
5,21,735993.000000094,735840.648022044
5,21,NaN,NaN
5,21,NaN,NaN
5,21,736973.737415566,737096.643959908
5,22,NaN,NaN
5,22,734266.616374949,734141.876326557
5,22,734566.823440582,NaN
5,22,734797.806778218,734845.45493725
5,22,NaN,NaN
5,22,NaN,NaN
5,22,735990.782601007,735944.663381177
5,22,736271.455254888,736268.498591641
5,22,736713.682759698,736703.090827763
5,22,NaN,NaN
5,23,NaN,NaN
5,23,734172.758617806,NaN
5,23,734543.645633506,734490.000044639
5,23,734954.396451598,734875.644341905
5,23,NaN,NaN
5,23,NaN,NaN
5,23,735927.278880801,735930.320093909
5,23,736344.562565253,736324.494131444
5,23,NaN,NaN
5,23,NaN,NaN
5,27,NaN,NaN
5,27,734612.914526706,734550.115418166
5,27,NaN,NaN
5,27,NaN,NaN
5,27,NaN,NaN
5,27,NaN,NaN
5,27,NaN,NaN
5,27,NaN,NaN
5,27,NaN,NaN
5,28,NaN,NaN
5,28,734592.939289525,734548.99975967
5,28,NaN,NaN
5,28,NaN,NaN
5,28,NaN,NaN
5,28,NaN,NaN
5,28,NaN,NaN
5,28,NaN,NaN
5,28,NaN,NaN
10,1,NaN,NaN
10,1,734064.999999842,734141.999994807
10,1,734609.130742359,734504.363023602
10,1,734929.269670918,734857.101286991
10,1,735305.404726828,735271.391724161
10,1,735497.857683368,735576.740524984
10,1,736011.345454086,735988.632497852
10,1,736290.464166392,736314.393310721
10,1,736730.290416429,736706.372596072
10,1,736961.729183683,737146.299373957
