depth,station,insitu,gldas
5,1,NaN,NaN
5,1,734844.224621398,734871.859550864
5,1,735107.398994082,735148.445471589
5,1,735440.179630119,735559.451548616
5,1,735919.000071983,735770.999809855
5,1,736213.919001022,736231.680228836
5,1,736631.822586571,736646.9999808
5,1,737048.34624748,736881.593783841
5,2,NaN,NaN
5,2,NaN,NaN
5,2,NaN,NaN
5,2,NaN,NaN
5,2,NaN,NaN
5,2,NaN,NaN
5,2,NaN,NaN
5,2,NaN,NaN
5,3,NaN,NaN
5,3,NaN,NaN
5,3,NaN,NaN
5,3,NaN,NaN
5,3,735861.43568617,735849.999999291
5,3,NaN,NaN
5,3,NaN,NaN
5,3,NaN,NaN
5,4,NaN,NaN
5,4,NaN,NaN
5,4,NaN,NaN
5,4,NaN,NaN
5,4,NaN,NaN
5,4,NaN,NaN
5,4,NaN,NaN
5,4,NaN,NaN
5,5,NaN,NaN
5,5,NaN,NaN
5,5,NaN,NaN
5,5,NaN,NaN
5,5,NaN,NaN
5,5,NaN,NaN
5,5,NaN,NaN
5,5,736944.170108004,737058.998806524
5,7,NaN,NaN
5,7,734408.248458768,734400.619596524
5,7,734761.999836825,734799.511964987
5,7,735192.446232426,735133.49464619
5,7,735539.533837202,735530.930881308
5,7,735920.314595406,735832.173768602
5,7,736305.327839205,736202.392973417
5,7,736635.634766002,736615.716110245
5,7,737035.232565114,737044.816762837
5,11,NaN,NaN
5,11,734868.644849042,734811.559924668
5,11,735142.002024421,735138.925159584
5,11,735568.999981846,735457.83081093
5,11,735881.949110967,735862.079312141
5,11,736246.377913264,736247.365653033
5,11,736572.999999961,736588.253862673
5,11,736948.152760405,736944.116869988
5,14,NaN,NaN
5,14,734802.285063934,734777.935566882
5,14,NaN,NaN
5,14,NaN,NaN
5,14,NaN,NaN
5,14,NaN,NaN
5,14,NaN,NaN
5,14,NaN,NaN
5,15,NaN,NaN
5,15,734810.366966958,734761.999998801
5,15,735184.528982017,735145.32844631
5,15,735544.849701584,735502.437808015
5,15,735885.430878963,735866.642348808
5,15,736231.523256941,736214.422079301
5,15,736612.23915157,736600.920266019
5,15,737003.798009123,736990.149067503
5,17,NaN,NaN
5,17,734267.00993869,734280.003618691
5,17,734681.458448945,734742.843658864
5,17,735097.74968967,735062.999999889
5,17,735386.787819525,735358.01716126
5,17,735808.493341879,735814.831024223
5,17,736177.999610239,736197.047132444
5,17,736511.084697211,736547.664013557
5,17,736843.234198761,736895.362625778
5,18,NaN,NaN
5,18,734423.174062275,734437.295179051
5,18,NaN,NaN
5,18,NaN,NaN
5,18,NaN,NaN
5,18,NaN,NaN
5,18,NaN,NaN
5,18,NaN,NaN
5,18,NaN,NaN
5,20,NaN,NaN
5,20,734868.61736825,734762.907123864
5,20,NaN,NaN
5,20,NaN,NaN
5,20,735855.368991841,735868.377280763
5,20,736224.394591939,736243.626521868
5,20,NaN,NaN
5,20,NaN,NaN
5,21,NaN,NaN
5,21,734739.999999771,734746.997579037
5,21,735116.268164497,735124.999806342
5,21,NaN,NaN
5,21,735858.99999714,735824.687907654
5,21,NaN,NaN
5,21,NaN,NaN
5,21,736957.275742455,737060.857247239
5,22,NaN,NaN
5,22,734149.999964342,734050.376492384
5,22,734504.594431903,NaN
5,22,734771.147084696,734830.337429507
5,22,NaN,NaN
5,22,NaN,NaN
5,22,735947.832053073,735932.000191012
5,22,736246.538752217,736244.999999981
5,22,736697.66395076,736671.38564873
5,22,NaN,NaN
5,23,NaN,NaN
5,23,734124.312432109,NaN
5,23,734395.06658169,734374.168271924
5,23,734846.72014702,734744.001357856
5,23,NaN,NaN
5,23,NaN,NaN
5,23,735885.552268633,735853.094935862
5,23,736244.671769917,736245.382213598
5,23,NaN,NaN
5,23,NaN,NaN
5,27,NaN,NaN
5,27,734575.723815704,734467.616829063
5,27,NaN,NaN
5,27,NaN,NaN
5,27,NaN,NaN
5,27,NaN,NaN
5,27,NaN,NaN
5,27,NaN,NaN
5,27,NaN,NaN
5,28,NaN,NaN
5,28,734565.776222347,734466.68017283
5,28,NaN,NaN
5,28,NaN,NaN
5,28,NaN,NaN
5,28,NaN,NaN
5,28,NaN,NaN
5,28,NaN,NaN
5,28,NaN,NaN
10,1,NaN,NaN
10,1,734029.642301622,734054.000000483
10,1,734525.984217313,734443.248050573
10,1,734779.480249022,734761.099381249
10,1,735156.429149053,735122.556627354
10,1,735486.659807487,735457.259703879
10,1,735861.368400442,735847.160644925
10,1,736231.43219166,736233.09152449
10,1,736657.998273465,736622.655691805
10,1,736953.970591408,737060.945250579
