depth,station,insitu,gldas
5.08,11,NaN,NaN
5.08,11,NaN,735940.283189393
5.08,11,736351.26502732,736331.698147695
5.08,11,736706.723422986,736714.304373675
5.08,11,736938.687196546,737134.013370735
5.08,12,NaN,NaN
5.08,12,733102.999999999,733036.469668479
5.08,12,733473.237069427,733407.946044986
5.08,12,NaN,NaN
5.08,12,NaN,NaN
5.08,12,734597.999999983,734487.99999998
5.08,12,734966.568773513,734869.61925651
5.08,12,735333.906939996,735175.576680009
5.08,12,735692.077625473,735583.081247238
5.08,19,NaN,NaN
5.08,22,NaN,NaN
5.08,22,733459.581798274,733409.369763897
5.08,22,733737.572030354,733780.103454863
5.08,22,734204.023311869,734147.438936369
5.08,22,734484.952023471,734524.409298006
5.08,22,734924.262226295,734916.999999363
5.08,22,735206.300371819,735276.233903212
5.08,22,735568.534980425,735615.00015177
5.08,22,735853.475232561,735955.094595485
5.08,22,736288.082919224,736343.591773144
5.08,22,736603.55874041,736689.612409938
5.08,22,736956.283946868,737089.264861676
5.08,25,NaN,NaN
5.08,25,730550.63141029,NaN
5.08,25,730922.790387933,730858.999999756
5.08,25,731322.90003948,731285.921040406
5.08,26,NaN,NaN
5.08,26,732396.423594777,732335.00000131
5.08,26,732705.344054122,732691.607660144
5.08,26,732960.530413957,733065.636176622
5.08,26,733473.911296099,733425.984749238
5.08,26,733732.650824079,733759.000918596
5.08,26,734065.972825055,734147.309069317
5.08,26,734585.811973599,734493.033744388
5.08,26,734962.671016106,734903.530565687
5.08,26,735181.955619032,735205.634412546
5.08,26,735692.000022391,735590.751015258
5.08,26,735999,735934.000053484
5.08,26,736369.000019759,736368.999999997
5.08,26,736739.805357351,736600.437836803
5.08,26,736963,737098.155019943
5.08,27,NaN,NaN
5.08,27,734454.807349623,734505.999999988
5.08,27,734929.999999569,734911.999999942
5.08,27,735116.568852464,735285
5.08,27,735485.133721439,735590.917594252
5.08,27,735993.999999937,735951.89219846
5.08,27,736233.943203558,736299.303486652
5.08,27,736597.775917683,736694.000086662
5.08,27,737140.000945683,737085.681841587
5.08,28,NaN,NaN
5.08,28,733467.648352712,733425.787627888
5.08,28,733818.458398531,733776.999999576
5.08,28,734259.025917781,734156.661273737
5.08,28,734431.787462845,734523.999999974
5.08,28,734782.215204103,734894.990739675
5.08,28,735121.695026205,735262.612762015
5.08,28,735478.999248195,735597.007121993
5.08,28,735810.980655051,735935.629973734
5.08,28,736251.999999876,736265.752204912
5.08,28,736606.999939119,736717.607479878
5.08,28,736898.762051051,736893.612206104
5.08,29,NaN,NaN
5.08,29,734453.796928857,734501.601954554
5.08,29,734781.951712372,734904.367394281
5.08,29,735314.000004589,735284.047534827
5.08,29,735487.1284406,735640.798064959
5.08,29,735964.161617027,735969.097268246
5.08,29,736392.632381074,736325.355043948
5.08,29,736640.899114684,736712.061360118
5.08,29,736963.731676522,737073.747280979
5.08,31,NaN,NaN
5.08,31,734553.420470404,734502.796160064
