depth,station,insitu,GLDAS,residual,WY
2.5,19,115,3,-112,2009
2.5,19,94,143,49,2017
2.5,19,101,56,-45,2019
2.5,20,132,129,-3,2009
2.5,20,14,11,-3,2013
2.5,20,125,74,-51,2017
2.5,20,106,7,-99,2019
2.5,23,127,63,-64,2009
2.5,24,1,1,0,2010
2.5,26,179,97,-82,2008
2.5,27,2,43,41,2010
2.5,27,117,54,-63,2014
2.5,27,81,1,-80,2016
2.5,28,81,1,-80,2014
2.5,30,3,6,3,2012
2.5,30,83,76,-7,2016
2.5,32,228,117,-111,2007
2.5,32,112,3,-109,2010
2.5,32,10,1,-9,2012
2.5,32,65,1,-64,2014
2.5,32,93,96,3,2016
2.5,34,214,129,-85,2008
2.5,34,126,1,-125,2009
2.5,34,130,29,-101,2011
2.5,34,91,41,-50,2017
2.5,35,210,56,-154,2008
2.5,35,110,34,-76,2009
2.5,35,143,49,-94,2011
2.5,35,1,1,0,2012
2.5,35,13,10,-3,2013
2.5,35,157,5,-152,2015
2.5,35,112,84,-28,2017
2.5,35,87,199,112,2018
2.5,37,109,1,-108,2008
2.5,37,1,39,38,2011
2.5,38,248,1,-247,2007
2.5,38,124,83,-41,2008
2.5,38,12,1,-11,2012
4,1,26,231,205,2007
4,1,142,135,-7,2007
4,1,102,68,-34,2007
4,1,210,63,-147,2008
4,2,3,1,-2,2007
4,3,30,33,3,2007
4,3,41,2,-39,2007
4,4,89,2,-87,2007
4,4,145,203,58,2009
4,5,52,145,93,2007
4,5,1,41,40,2009
4,5,169,4,-165,2010
4,6,141,139,-2,2007
4,6,52,62,10,2008
4,6,78,2,-76,2009
4,7,23,109,86,2007
4,7,210,32,-178,2007
4,7,134,17,-117,2009
4,8,47,60,13,2007
4,8,92,77,-15,2008
4,8,158,115,-43,2009
4,9,1,5,4,2007
4,10,15,89,74,2007
4,10,44,44,0,2007
4,10,100,243,143,2007
4,10,83,169,86,2012
4,11,1,4,3,2007
4,11,48,24,-24,2007
4,11,78,175,97,2007
4,11,131,161,30,2011
4,12,10,77,67,2007
4,12,47,38,-9,2007
4,13,30,114,84,2007
4,13,222,91,-131,2008
4,13,143,122,-21,2009
4,14,33,92,59,2007
4,14,149,61,-88,2009
4,15,35,107,72,2007
4,15,75,213,138,2007
4,16,35,189,154,2007
4,16,77,174,97,2007
4,16,155,114,-41,2009
4,17,31,159,128,2007
4,17,71,138,67,2007
4,17,234,64,-170,2008
4,17,166,77,-89,2009
4,18,11,1,-10,2007
4,18,226,15,-211,2007
4,18,153,2,-151,2009
4,18,167,1,-166,2010
10,1,212,153,-59,2011
10,1,14,2,-12,2013
10,1,106,109,3,2015
10,1,93,75,-18,2017
10,1,90,243,153,2018
