depth,station,insitu,GLDAS,residual,WY
2.5,19,238.009562,206.263876,-31.745686,2008
2.5,19,6.573688,57.827906,51.254218,2009
2.5,19,237.755338,141.263484,-96.491854,2010
2.5,19,109.603189,78.553286,-31.049903,2017
2.5,19,76.288086,168.662698,92.374612,2018
2.5,19,62.633153,16.371964,-46.261189,2019
2.5,20,156.956869,41.226158,-115.730711,2008
2.5,20,113.992379,69.381032,-44.611347,2009
2.5,20,173.99991,124.543283,-49.456627,2010
2.5,20,186.640078,77.51538,-109.124698,2011
2.5,20,13.41413,4.216814,-9.197316,2013
2.5,20,168.308501,77.999996,-90.308505,2014
2.5,20,77.337075,75.196998,-2.14007700000001,2017
2.5,20,87.055942,170.071593,83.015651,2018
2.5,20,87.522458,39.092915,-48.429543,2019
2.5,23,8.481884,147.018673,138.536789,2008
2.5,23,6.706807,63.59995,56.893143,2009
2.5,23,147.818783,7.100679,-140.718104,2010
2.5,24,148.000124,23.000115,-125.000009,2009
2.5,24,10.005522,5.548785,-4.456737,2010
2.5,26,214.330024,162.203836,-52.126188,2007
2.5,26,119.999998,91.573536,-28.426462,2008
2.5,27,70.999636,11.183605,-59.816031,2009
2.5,27,12,27.393941,15.393941,2014
2.5,27,56.805464,10.427381,-46.378083,2016
2.5,28,182.941579,119.999474,-62.942105,2007
2.5,28,114.745018,83.313768,-31.43125,2009
2.5,28,12.094194,12.318292,0.224098,2012
2.5,28,173.479406,9.161136,-164.31827,2013
2.5,28,54.376724,13.666779,-40.709945,2014
2.5,30,73.45196,40.532954,-32.919006,2008
2.5,30,5.525198,13.599403,8.074205,2009
2.5,30,11.290143,13.640013,2.34987,2012
2.5,30,57.009045,66.223314,9.214269,2016
2.5,31,59.567283,45.020728,-14.546555,2008
2.5,32,6.324268,106.458705,100.134437,2007
2.5,32,60.039038,101.999283,41.960245,2008
2.5,32,4.702348,11.496113,6.793765,2009
2.5,32,137.725376,47.704682,-90.020694,2010
2.5,32,53.27586,3.728896,-49.546964,2014
2.5,32,58.882189,67.232475,8.350286,2016
2.5,34,142.123529,140.860777,-1.26275199999998,2008
2.5,34,56.977199,16.44736,-40.529839,2009
2.5,34,38.140742,121.554041,83.413299,2011
2.5,34,4.286878,130.731838,126.44496,2012
2.5,34,13.151218,29.379981,16.228763,2013
2.5,34,58.97268,68.367615,9.394935,2017
2.5,35,145.877294,45.681834,-100.19546,2008
2.5,35,60.778088,9.857438,-50.92065,2009
2.5,35,73.000006,4.000011,-68.999995,2010
2.5,35,139.99999,89.697835,-50.302155,2011
2.5,35,4.614535,4.413304,-0.201231,2012
2.5,35,12.198876,12.445105,0.246229,2013
2.5,35,22.739968,112.524097,89.784129,2014
2.5,35,52.068374,21.447287,-30.621087,2015
2.5,35,61.258738,72.530098,11.27136,2017
2.5,35,72.658396,99.23169,26.573294,2018
2.5,37,61.245421,32.859734,-28.385687,2008
2.5,37,78.695689,17.660341,-61.035348,2009
2.5,37,174.502438,26.11625,-148.386188,2010
2.5,37,4.246133,57.566614,53.320481,2011
2.5,38,146.190097,71.274006,-74.916091,2007
2.5,38,61.191178,99.695644,38.504466,2008
2.5,38,73.138732,6.940143,-66.198589,2009
2.5,38,12.082352,14.423034,2.340682,2012
2.5,38,134.645216,31.885816,-102.7594,2013
4,1,24.26461,181.998404,157.733794,2007
4,1,201.999999,111.369542,-90.630457,2007
4,1,73.418552,67.360331,-6.058221,2007
4,1,76.573172,5.949475,-70.623697,2008
4,1,87.573801,84.001876,-3.57192500000001,2009
4,2,14.613484,56.785296,42.171812,2007
4,2,24.781062,11.164433,-13.616629,2007
4,2,9.00032,21.894183,12.893863,2009
4,2,58.718151,180.031772,121.313621,2011
4,3,228.999992,122.595215,-106.404777,2007
4,3,37.135125,30.057216,-7.077909,2007
4,3,28.872626,15.457076,-13.41555,2007
4,3,25.231627,172.000406,146.768779,2011
4,4,10.578113,83.849343,73.27123,2007
4,4,30.221137,22.581693,-7.639444,2007
4,4,25.89692,24.351373,-1.545547,2007
4,4,27.769062,6.508362,-21.2607,2009
4,4,52.18705,10.733897,-41.453153,2010
4,5,196.005505,5.600961,-190.404544,2007
4,5,42.479732,5.459389,-37.020343,2007
4,5,72.403949,4.721093,-67.682856,2008
4,5,42.781476,40.371334,-2.410142,2009
4,5,129.043233,8.408212,-120.635021,2010
4,6,203.35955,8.036125,-195.323425,2007
4,6,24.487211,98.299692,73.812481,2007
4,6,23.058492,26.567798,3.509306,2007
4,6,33.966435,39.463519,5.497084,2007
4,6,40.160483,49.066141,8.905658,2008
4,7,12.159461,50.597966,38.438505,2007
4,7,25.873063,91.368471,65.495408,2007
4,7,36.572107,20.963746,-15.608361,2007
4,7,12.571189,27.779715,15.208526,2007
4,7,39.41275,81.004065,41.591315,2009
4,7,127.000088,36.744739,-90.255349,2011
4,8,213,51.674432,-161.325568,2007
4,8,42.049352,59.556329,17.506977,2007
4,8,91.358764,127.428481,36.069717,2007
4,8,149.340211,69.71514,-79.625071,2008
4,8,82.999608,132.488639,49.489031,2009
4,9,4.629614,13.662188,9.032574,2007
4,9,205.000035,167.071517,-37.928518,2007
4,10,16.591785,184.123461,167.531676,2007
4,10,214.000003,57.814117,-156.185886,2007
4,10,61.743085,52.595329,-9.147756,2007
4,10,96.854085,111.676094,14.822009,2007
4,10,186.506826,83.845752,-102.661074,2009
4,10,73.066759,144.000005,70.933246,2012
4,11,3.757347,12.35631,8.598963,2007
4,11,212.812505,20.831933,-191.980572,2007
4,11,41.864808,23.107806,-18.757002,2007
4,11,91.000033,13.781732,-77.218301,2007
4,11,45.605965,112.971144,67.365179,2011
4,12,11.918377,191.764636,179.846259,2007
4,12,213.017554,67.370748,-145.646806,2007
4,12,41.981923,31.181402,-10.800521,2007
4,13,14.104612,86.741618,72.637006,2007
4,13,56.724004,95.126041,38.402037,2007
4,13,158.695468,34.142692,-124.552776,2008
4,13,122.999927,83.786485,-39.213442,2009
4,13,188.605724,43.575765,-145.029959,2010
4,14,216.998862,64.896843,-152.102019,2007
4,14,40.217489,67.0008,26.783311,2007
4,14,94.958129,151.513115,56.554986,2007
4,14,236.000006,142.920718,-93.079288,2008
4,14,123.000339,95.349266,-27.651073,2009
4,15,216.002366,97.452819,-118.549547,2007
4,15,40.063045,90.688193,50.625148,2007
4,15,93.002461,148.310931,55.30847,2007
4,15,187.221439,88.323371,-98.898068,2008
4,15,83.520231,62.514486,-21.005745,2009
4,15,185.999252,81.691537,-104.307715,2011
4,16,215.817502,115.613791,-100.203711,2007
4,16,39.787955,152.729159,112.941204,2007
4,16,94.000006,139.341093,45.341087,2007
4,16,178.999995,15.049148,-163.950847,2008
4,16,123.966929,126.974268,3.007339,2009
4,16,207.505883,32.952508,-174.553375,2010
