depth,station,insitu,gldas
2.5,1,732828.158059774,732828.999800537
2.5,1,733076.850049764,733141.000000331
2.5,1,733574.597430388,733518.999999605
2.5,1,733832.332847417,733816.041738874
2.5,1,NaN,734213.741128152
2.5,1,NaN,NaN
2.5,1,NaN,734914.999999957
2.5,1,735335.999995885,735362.402196018
2.5,1,NaN,735682.999999922
2.5,1,NaN,NaN
2.5,1,736419.073364591,736429.000007204
2.5,1,NaN,NaN
2.5,1,NaN,NaN
2.5,2,732828.158059774,732828.999800537
2.5,2,733076.850049764,733141.000000331
2.5,2,733574.597430388,733518.999999605
2.5,2,733832.332847417,733816.041738874
2.5,2,NaN,734213.741128152
2.5,2,NaN,NaN
2.5,2,NaN,734914.999999957
2.5,2,735335.999995885,735362.402196018
2.5,2,NaN,735682.999999922
2.5,2,NaN,NaN
2.5,2,736419.073364591,736429.000007204
2.5,2,NaN,NaN
2.5,2,NaN,NaN
