depth,station,sig_type,insitu,GLDAS,residual
3,19,seasontrans_sdate_wet2dry_p,24-Jul-06,2-Aug-06,9
3,19,seasontrans_sdate_wet2dry_p,17-Aug-07,18-Aug-07,1
3,19,seasontrans_sdate_wet2dry_p,22-Sep-08,8-Aug-08,-45
3,19,seasontrans_sdate_wet2dry_p,2-Oct-09,31-Aug-09,-32
3,19,seasontrans_sdate_wet2dry_p,NaT,NaT,NaN
3,19,seasontrans_sdate_wet2dry_p,21-Aug-11,10-Sep-11,20
3,19,seasontrans_sdate_wet2dry_p,9-Oct-12,NaT,NaN
3,19,seasontrans_sdate_wet2dry_p,25-Dec-13,NaT,NaN
3,19,seasontrans_sdate_wet2dry_p,20-Jan-15,NaT,NaN
3,19,seasontrans_sdate_wet2dry_p,NaT,NaT,NaN
3,19,seasontrans_sdate_wet2dry_p,10-Oct-16,3-Oct-16,-7
3,19,seasontrans_sdate_wet2dry_p,11-Dec-17,10-Jan-18,30
3,19,seasontrans_sdate_wet2dry_p,3-Jan-19,28-Dec-18,-6
3,19,seasontrans_sdate_wet2dry_l,28-Jul-06,21-Jul-06,-7
3,19,seasontrans_sdate_wet2dry_l,17-Aug-07,15-Aug-07,-2
3,19,seasontrans_sdate_wet2dry_l,NaT,12-Jul-08,NaN
3,19,seasontrans_sdate_wet2dry_l,26-Sep-09,1-Sep-09,-25
3,19,seasontrans_sdate_wet2dry_l,NaT,NaT,NaN
3,19,seasontrans_sdate_wet2dry_l,2-Dec-11,3-Aug-11,-121
3,19,seasontrans_sdate_wet2dry_l,4-Oct-12,NaT,NaN
3,19,seasontrans_sdate_wet2dry_l,NaT,NaT,NaN
3,19,seasontrans_sdate_wet2dry_l,NaT,NaT,NaN
3,19,seasontrans_sdate_wet2dry_l,NaT,NaT,NaN
3,19,seasontrans_sdate_wet2dry_l,9-Oct-16,3-Oct-16,-6
3,19,seasontrans_sdate_wet2dry_l,18-Dec-17,12-Jan-18,25
3,19,seasontrans_sdate_wet2dry_l,14-Nov-18,29-Dec-18,45
3,19,seasontrans_edate_wet2dry_p,8-Oct-06,15-Aug-06,-54
3,19,seasontrans_edate_wet2dry_p,9-Oct-07,27-Sep-07,-12
3,19,seasontrans_edate_wet2dry_p,15-Oct-08,11-Jan-09,88
3,19,seasontrans_edate_wet2dry_p,13-Nov-09,20-Sep-09,-54
3,19,seasontrans_edate_wet2dry_p,NaT,NaT,NaN
3,19,seasontrans_edate_wet2dry_p,31-Dec-11,20-Sep-11,-102
3,19,seasontrans_edate_wet2dry_p,20-Nov-12,NaT,NaN
3,19,seasontrans_edate_wet2dry_p,23-Jan-14,NaT,NaN
3,19,seasontrans_edate_wet2dry_p,30-Jan-15,NaT,NaN
3,19,seasontrans_edate_wet2dry_p,NaT,NaT,NaN
3,19,seasontrans_edate_wet2dry_p,29-Nov-16,26-Oct-16,-34
3,19,seasontrans_edate_wet2dry_p,25-Dec-17,20-Jan-18,26
3,19,seasontrans_edate_wet2dry_p,24-Jan-19,6-Jan-19,-18
3,19,seasontrans_edate_wet2dry_l,13-Oct-06,21-Sep-06,-22
3,19,seasontrans_edate_wet2dry_l,7-Oct-07,28-Sep-07,-9
3,19,seasontrans_edate_wet2dry_l,NaT,11-Feb-09,NaN
3,19,seasontrans_edate_wet2dry_l,18-Nov-09,21-Sep-09,-58
3,19,seasontrans_edate_wet2dry_l,NaT,NaT,NaN
3,19,seasontrans_edate_wet2dry_l,8-Dec-11,27-Oct-11,-42
3,19,seasontrans_edate_wet2dry_l,21-Nov-12,NaT,NaN
3,19,seasontrans_edate_wet2dry_l,NaT,NaT,NaN
3,19,seasontrans_edate_wet2dry_l,NaT,NaT,NaN
3,19,seasontrans_edate_wet2dry_l,NaT,NaT,NaN
3,19,seasontrans_edate_wet2dry_l,3-Dec-16,27-Oct-16,-37
3,19,seasontrans_edate_wet2dry_l,19-Feb-18,21-Jan-18,-29
3,19,seasontrans_edate_wet2dry_l,21-Mar-19,7-Jan-19,-73
3,19,seasontrans_sdate_dry2wet_p,NaT,NaT,NaN
3,19,seasontrans_sdate_dry2wet_p,20-Nov-06,25-Nov-06,5
3,19,seasontrans_sdate_dry2wet_p,8-Apr-08,4-May-08,26
3,19,seasontrans_sdate_dry2wet_p,22-Jan-09,14-Feb-09,23
3,19,seasontrans_sdate_dry2wet_p,NaT,NaT,NaN
3,19,seasontrans_sdate_dry2wet_p,NaT,NaT,NaN
3,19,seasontrans_sdate_dry2wet_p,15-Jan-12,NaT,NaN
3,19,seasontrans_sdate_dry2wet_p,3-Mar-13,NaT,NaN
3,19,seasontrans_sdate_dry2wet_p,11-Mar-14,NaT,NaN
3,19,seasontrans_sdate_dry2wet_p,NaT,NaT,NaN
3,19,seasontrans_sdate_dry2wet_p,17-Feb-16,22-Mar-16,34
3,19,seasontrans_sdate_dry2wet_p,24-Feb-17,16-Feb-17,-8
3,19,seasontrans_sdate_dry2wet_p,3-Apr-18,12-May-18,39
3,19,seasontrans_edate_dry2wet_p,NaT,NaT,NaN
3,19,seasontrans_edate_dry2wet_p,16-Jul-07,19-Jun-07,-27
3,19,seasontrans_edate_dry2wet_p,15-Apr-08,1-Jul-08,77
3,19,seasontrans_edate_dry2wet_p,16-Sep-09,5-Jul-09,-73
3,19,seasontrans_edate_dry2wet_p,NaT,NaT,NaN
3,19,seasontrans_edate_dry2wet_p,NaT,NaT,NaN
3,19,seasontrans_edate_dry2wet_p,19-May-12,NaT,NaN
3,19,seasontrans_edate_dry2wet_p,7-Mar-13,NaT,NaN
3,19,seasontrans_edate_dry2wet_p,20-Mar-14,NaT,NaN
3,19,seasontrans_edate_dry2wet_p,NaT,NaT,NaN
3,19,seasontrans_edate_dry2wet_p,6-Jun-16,8-Jun-16,2
3,19,seasontrans_edate_dry2wet_p,11-May-17,4-Aug-17,85
3,19,seasontrans_edate_dry2wet_p,4-Jun-18,28-May-18,-7
3,19,seasontrans_edate_dry2wet_l,NaT,NaT,NaN
3,19,seasontrans_edate_dry2wet_l,NaT,NaT,NaN
3,19,seasontrans_edate_dry2wet_l,16-Jun-08,6-Jun-08,-10
3,19,seasontrans_edate_dry2wet_l,NaT,7-Oct-09,NaN
3,19,seasontrans_edate_dry2wet_l,NaT,NaT,NaN
3,19,seasontrans_edate_dry2wet_l,NaT,NaT,NaN
3,19,seasontrans_edate_dry2wet_l,15-Feb-12,NaT,NaN
