depth,station,insitu,gldas
2.5,19,31.8548248031522,26.7011914238188
2.5,19,25.2119455500426,81.0973443564512
2.5,19,NaN,NaN
2.5,19,142.584268355659,149.682030684966
2.5,19,NaN,NaN
2.5,19,NaN,NaN
2.5,19,NaN,NaN
2.5,19,NaN,NaN
2.5,19,NaN,NaN
2.5,19,NaN,NaN
2.5,19,130.452485842286,62.4304041918335
2.5,19,NaN,NaN
2.5,19,38.9478101039783,64.6612941690821
2.5,20,39.1771017098881,26.7979863098164
2.5,20,149.880132503064,149.982777965171
2.5,20,24.4060016597542,70.7622523327451
2.5,20,97.5867464175197,149.931282186709
2.5,20,8.72798613165952,149.954668252694
2.5,20,77.7127661310904,149.328901346882
2.5,20,89.8266296325512,21.3695646558167
2.5,20,NaN,NaN
2.5,20,NaN,NaN
2.5,20,NaN,NaN
2.5,20,71.6451617243735,133.895412972803
2.5,20,NaN,NaN
2.5,20,138.999786787712,70.4863825491716
2.5,27,NaN,NaN
2.5,27,149.969138331781,132.867401720709
2.5,27,134.999641434344,106.138987931645
2.5,27,71.9122045967202,74.0913993326059
2.5,27,NaN,NaN
2.5,27,NaN,NaN
2.5,27,NaN,NaN
2.5,27,NaN,NaN
2.5,27,NaN,NaN
2.5,27,NaN,NaN
2.5,27,20.9399757369317,62.5536067668307
2.5,27,70.3125527475396,42.7982359618863
2.5,27,27.1550940152607,26.3206984729794
2.5,28,NaN,NaN
2.5,28,NaN,NaN
2.5,28,NaN,NaN
2.5,28,79.2538988446646,81.0898411808511
2.5,28,NaN,NaN
2.5,28,NaN,NaN
2.5,28,13.3116759207807,16.7887583646665
2.5,28,149.450968483733,143.801629483652
2.5,28,15.708384592125,50.1515190807762
2.5,30,NaN,NaN
2.5,30,132.490811236606,126.270448770371
2.5,30,32.6116525058159,52.7692416985705
2.5,30,NaN,NaN
2.5,30,72.4128142106432,149.969979934916
2.5,30,NaN,NaN
2.5,30,NaN,NaN
2.5,30,NaN,NaN
2.5,30,NaN,NaN
2.5,30,NaN,NaN
2.5,30,61.1845288035372,61.3208761704384
2.5,30,NaN,NaN
2.5,30,NaN,NaN
2.5,32,NaN,NaN
2.5,32,101.718623032592,137.022329398616
2.5,32,135.083624530218,109.644188218473
2.5,32,NaN,NaN
2.5,32,NaN,NaN
2.5,32,NaN,NaN
2.5,32,NaN,NaN
2.5,32,NaN,NaN
2.5,32,7.66659459500342,54.8209553495012
2.5,32,NaN,NaN
2.5,32,70.6262794229673,64.7239071979929
2.5,32,25.0850090802514,49.1785632250619
2.5,32,25.2735245705907,33.7620707616411
2.5,35,NaN,NaN
2.5,35,141.242163995713,134.134535302693
2.5,35,32.8320093549661,97.5756199083542
2.5,35,NaN,NaN
2.5,35,88.8475917961422,149.941709671293
2.5,35,NaN,NaN
2.5,35,26.3610841206049,18.8009012962055
2.5,35,12.0278534166884,141.529267836155
2.5,35,135.996109336276,46.0739581722132
2.5,35,NaN,NaN
2.5,35,67.6031128858543,68.7542970487513
2.5,35,NaN,NaN
2.5,35,57.7325942619029,36.5412249137253
10,1,37.6812821525468,8.00404675421135
10,1,141.948976938223,149.206710521832
10,1,108.811323792329,102.970259500312
10,1,98.6249308446262,139.032423372677
10,1,89.1284872068197,149.996907595146
10,1,99.9999937141262,27.0641576135941
10,1,149.999812177263,17.6811016374189
10,1,149.999061937538,149.995270631919
10,1,86.223407330377,55.9867459322557
10,1,NaN,NaN
10,1,63.3008091104752,65.4304564698451
10,1,79.026811275929,49.8417897511605
10,1,44.0660697782037,48.8319118099311
