depth,station,insitu,gldas
2.5,19,732863.515946864,732845.923487107
2.5,19,733158.630295129,733225.4028052
2.5,19,NaN,NaN
2.5,19,733974.489410066,733970.967178834
2.5,19,NaN,NaN
2.5,19,NaN,NaN
2.5,19,NaN,NaN
2.5,19,NaN,NaN
2.5,19,NaN,NaN
2.5,19,NaN,NaN
2.5,19,736510.000015653,736495.696384367
2.5,19,NaN,NaN
2.5,19,737221.635908355,737233.661370202
2.5,20,732869.327386728,732844.992287029
2.5,20,733227.102785742,733226.920766366
2.5,20,733590.074201387,733592.294750932
2.5,20,733963.000000002,733971.23852153
2.5,20,734179.666711967,734301.955353206
2.5,20,734725.971568814,734682.653112218
2.5,20,735079,734934.134363995
2.5,20,NaN,NaN
2.5,20,NaN,NaN
2.5,20,NaN,NaN
2.5,20,736498.841716822,736490.903383
2.5,20,NaN,NaN
2.5,20,737240.99999946,737241.42308992
2.5,27,NaN,NaN
2.5,27,733236.012772739,733216.687090936
2.5,27,733608.000023203,733595.385869453
2.5,27,733943.161727513,733948.720015059
2.5,27,NaN,NaN
2.5,27,NaN,NaN
2.5,27,NaN,NaN
2.5,27,NaN,NaN
2.5,27,NaN,NaN
2.5,27,NaN,NaN
2.5,27,736467.283891454,736493.966787762
2.5,27,736825.312494436,736816.178039899
2.5,27,737200.155180345,737197.924409347
2.5,28,NaN,NaN
2.5,28,NaN,NaN
2.5,28,NaN,NaN
2.5,28,733945.000003342,733952.223864891
2.5,28,NaN,NaN
2.5,28,NaN,NaN
2.5,28,734926.861628589,734931.078615137
2.5,28,735407.999999973,735412.801627724
2.5,28,735687.999527098,735694.514902974
2.5,30,NaN,NaN
2.5,30,733206.344930266,733210.99946667
2.5,30,733591.850603855,733582.999999949
2.5,30,NaN,NaN
2.5,30,734333.412589309,734309.646254066
2.5,30,NaN,NaN
2.5,30,NaN,NaN
2.5,30,NaN,NaN
2.5,30,NaN,NaN
2.5,30,NaN,NaN
2.5,30,736500.047266404,736493.676133304
2.5,30,NaN,NaN
2.5,30,NaN,NaN
2.5,32,NaN,NaN
2.5,32,733195.999991085,733219.022365128
2.5,32,733616.083675546,733593.10258152
2.5,32,NaN,NaN
2.5,32,NaN,NaN
2.5,32,NaN,NaN
2.5,32,NaN,NaN
2.5,32,NaN,NaN
2.5,32,735638.246146022,735698.820934428
2.5,32,NaN,NaN
2.5,32,736507.697199837,736492.525849145
2.5,32,736784.069090517,736819.636521759
2.5,32,737197.400260625,737201.589194009
2.5,35,NaN,NaN
2.5,35,733223.00009733,733215.134534161
2.5,35,733599.630314457,733579.115133981
2.5,35,NaN,NaN
2.5,35,734335.075695577,734307.941709658
2.5,35,NaN,NaN
2.5,35,734928.531846574,734934.423446708
2.5,35,735379.963332216,735411.529241543
2.5,35,735762.000052305,735691.438696282
2.5,35,NaN,NaN
2.5,35,736506.64387157,736492.229261971
2.5,35,NaN,NaN
2.5,35,737227.999999996,737179.549560869
10,1,732867.260696948,732844.485146861
10,1,733224.845332482,733222.443673666
10,1,733616.999999738,733590.857914032
10,1,733952.594309715,733961.911364165
10,1,734340.773415228,734305.492676743
10,1,734734.99999365,734549.319012229
10,1,735065.492324345,734932.772608599
10,1,735423.871993592,735420.035112845
10,1,735702.146365809,735699.394673519
10,1,NaN,NaN
10,1,736504.698454459,736494.566722689
10,1,736832.156822569,736824.88410295
10,1,737217.06606982,737216.671237081
