depth,station,insitu,gldas
2.5,19,732948.879498018,732966.270694825
2.5,19,733318.428046316,733331.734001614
2.5,19,NaN,NaN
2.5,19,734051.197413654,734099.602702395
2.5,19,NaN,NaN
2.5,19,734797.713880071,NaN
2.5,19,NaN,NaN
2.5,19,NaN,NaN
2.5,19,NaN,NaN
2.5,19,NaN,NaN
2.5,19,736636.332771247,736668.24444272
2.5,19,736971.441173935,736969.632658798
2.5,19,737333.000369974,737335.412575737
2.5,20,732952.301222638,732966.999998243
2.5,20,733300.141901689,733332.488611442
2.5,20,733672.165422337,733697.838675027
2.5,20,734059.559161671,734102.093443914
2.5,20,734472.785818527,734479.312505204
2.5,20,734781.799222627,734900.62135141
2.5,20,NaN,NaN
2.5,20,NaN,NaN
2.5,20,NaN,NaN
2.5,20,NaN,NaN
2.5,20,736652.355887885,736677.309116735
2.5,20,736996.323243589,736972.527403952
2.5,20,737327.346131021,737335.540764964
2.5,27,732952.233873722,732965.549900167
2.5,27,733298.634957123,733312.39215881
2.5,27,733670.729545214,733702.000022027
2.5,27,734059.325799533,734080.914360202
2.5,27,NaN,NaN
2.5,27,NaN,NaN
2.5,27,NaN,NaN
2.5,27,NaN,NaN
2.5,27,NaN,NaN
2.5,27,NaN,NaN
2.5,27,736737.232276716,736660.255012018
2.5,27,736905.639690299,736991.945502169
2.5,27,737334.999278923,737324.356315099
2.5,28,732956.6867727,NaN
2.5,28,NaN,NaN
2.5,28,733649.750566364,733650.999999862
2.5,28,734017.29354139,734143.791985247
2.5,28,NaN,NaN
2.5,28,734837.604834159,734811.000073083
2.5,28,735153.439610905,735181.821379361
2.5,28,735526.999999474,735540.508281784
2.5,28,735808.92050007,735902.219613683
2.5,30,733070.014315091,NaN
2.5,30,733298.690393225,733306.254488382
2.5,30,733696.761106753,733698.999999241
2.5,30,NaN,734028.2200928
2.5,30,734515.000036004,734541.675379761
2.5,30,734803.725195355,734813.441174669
2.5,30,NaN,NaN
2.5,30,NaN,NaN
2.5,30,735829.656539766,735902.421234822
2.5,30,NaN,NaN
2.5,30,736651.226990695,736648.220873795
2.5,30,NaN,NaN
2.5,30,737257.722992242,737306.99999994
2.5,32,NaN,NaN
2.5,32,733293.288271834,733318.612680963
2.5,32,733707.373176097,733702.999999941
2.5,32,NaN,NaN
2.5,32,NaN,NaN
2.5,32,734821.395377416,734869.611140382
2.5,32,NaN,NaN
2.5,32,NaN,NaN
2.5,32,735832.851840433,735906.843953516
2.5,32,NaN,NaN
2.5,32,736630.475047426,736664.672634795
2.5,32,736966,737043.838953665
2.5,32,737274.206902211,737329.508039961
2.5,35,NaN,NaN
2.5,35,733293.435045715,733319.380791798
2.5,35,733694.567967622,733702.695964483
2.5,35,734215.406278074,734149.999999999
2.5,35,734454.999999945,734519.755294778
2.5,35,NaN,NaN
2.5,35,735133.087579502,735238.445684079
2.5,35,735518.274656476,735555.276517905
2.5,35,735823.399337414,735907.229461477
2.5,35,NaN,NaN
2.5,35,736699.456563159,736660.568034353
2.5,35,NaN,NaN
2.5,35,737304.466621532,737329.999999743
10,1,732964.451602967,732966.904260565
10,1,733317.061916307,733325.526679599
10,1,733704.801992278,733694.013920333
10,1,734080.550611868,734125.523802143
10,1,734522.53802502,734520.999999998
10,1,734809.762265726,734895.475741416
10,1,735243.503155846,735237.644669373
10,1,735525.025160455,735547.683315182
10,1,735827.328819495,735903.355135098
10,1,NaN,NaN
10,1,736656.643871178,736662.964433494
10,1,736993.04304461,736954.866519613
10,1,737324.066367433,737325.726876267
