depth,station,insitu,gldas
2.5,19,732831.66112206,732819.222295684
2.5,19,733133.418349579,733144.305460844
2.5,19,NaN,NaN
2.5,19,733831.90514171,733821.285148149
2.5,19,NaN,NaN
2.5,19,NaN,NaN
2.5,19,NaN,NaN
2.5,19,NaN,NaN
2.5,19,NaN,NaN
2.5,19,NaN,NaN
2.5,19,736379.547529811,736433.265980175
2.5,19,NaN,NaN
2.5,19,737182.688098251,737169.000076032
2.5,20,732830.150285018,732818.194300719
2.5,20,733077.222653239,733076.9379884
2.5,20,733565.668199727,733521.532498599
2.5,20,733865.413253584,733821.307239343
2.5,20,734170.938725835,734152.000684953
2.5,20,734648.258802683,734533.324210871
2.5,20,734989.173370368,734912.764799339
2.5,20,NaN,NaN
2.5,20,NaN,NaN
2.5,20,NaN,NaN
2.5,20,736427.196555098,736357.007970027
2.5,20,NaN,NaN
2.5,20,737102.000212673,737170.936707371
2.5,27,NaN,NaN
2.5,27,733086.043634407,733083.819689215
2.5,27,733473.000381768,733489.246881521
2.5,27,733871.249522916,733874.628615726
2.5,27,NaN,NaN
2.5,27,NaN,NaN
2.5,27,NaN,NaN
2.5,27,NaN,NaN
2.5,27,NaN,NaN
2.5,27,NaN,NaN
2.5,27,736446.343915717,736431.413180996
2.5,27,736754.999941689,736773.379803937
2.5,27,737173.00008633,737171.603710874
2.5,28,NaN,NaN
2.5,28,NaN,NaN
2.5,28,NaN,NaN
2.5,28,733865.746104497,733871.13402371
2.5,28,NaN,NaN
2.5,28,NaN,NaN
2.5,28,734913.549952668,734914.289856773
2.5,28,735258.549031489,735268.99999824
2.5,28,735672.291142506,735644.363383893
2.5,30,NaN,NaN
2.5,30,733073.854119029,733084.7290179
2.5,30,733559.23895135,733530.23075825
2.5,30,NaN,NaN
2.5,30,734260.999775098,734159.676274131
2.5,30,NaN,NaN
2.5,30,NaN,NaN
2.5,30,NaN,NaN
2.5,30,NaN,NaN
2.5,30,NaN,NaN
2.5,30,736438.8627376,736432.355257134
2.5,30,NaN,NaN
2.5,30,NaN,NaN
2.5,32,NaN,NaN
2.5,32,733094.281368053,733082.00003573
2.5,32,733481.000051016,733483.458393302
2.5,32,NaN,NaN
2.5,32,NaN,NaN
2.5,32,NaN,NaN
2.5,32,NaN,NaN
2.5,32,NaN,NaN
2.5,32,735630.579551427,735643.999979078
2.5,32,NaN,NaN
2.5,32,736437.070920414,736427.801941947
2.5,32,736758.984081437,736770.457958534
2.5,32,737172.126736055,737167.827123247
2.5,35,NaN,NaN
2.5,35,733081.757933334,733080.999998858
2.5,35,733566.798305102,733481.539514073
2.5,35,NaN,NaN
2.5,35,734246.228103781,734157.999999987
2.5,35,NaN,NaN
2.5,35,734902.170762454,734915.622545411
2.5,35,735367.9354788,735269.999973707
2.5,35,735626.003942969,735645.364738109
2.5,35,NaN,NaN
2.5,35,736439.040758684,736423.474964922
2.5,35,NaN,NaN
2.5,35,737170.267405734,737143.008335956
10,1,732829.579414796,732836.481100107
10,1,733082.896355543,733073.236963145
10,1,733508.188675946,733487.887654532
10,1,733853.96937887,733822.878940792
10,1,734251.644928021,734155.495769148
10,1,734634.999999936,734522.254854616
10,1,734915.492512167,734915.091506961
10,1,735273.872931655,735270.039842214
10,1,735615.922958479,735643.407927587
10,1,NaN,NaN
10,1,736441.397645348,736429.136266219
10,1,736753.130011293,736775.042313199
10,1,737173.000000042,737167.839325271
