depth,station,insitu,gldas
2.5,19,732892.999999997,732899.579193251
2.5,19,733268.545095077,733267.999952271
2.5,19,NaN,NaN
2.5,19,734019.999999272,734043.365876749
2.5,19,NaN,NaN
2.5,19,734736.708745318,NaN
2.5,19,NaN,NaN
2.5,19,NaN,NaN
2.5,19,NaN,NaN
2.5,19,NaN,NaN
2.5,19,736611.72208155,736612.701804397
2.5,19,736943.546649395,736941.137144769
2.5,19,737281.643989785,737306.842630473
2.5,20,732902.660267494,732902.611265165
2.5,20,733262.715847291,733267.922433681
2.5,20,733629.000044287,733669.509082748
2.5,20,734010.359356103,734045.514992214
2.5,20,734334.117721765,734329.319587606
2.5,20,734738.868668809,734783.164265441
2.5,20,NaN,NaN
2.5,20,NaN,NaN
2.5,20,NaN,NaN
2.5,20,NaN,NaN
2.5,20,736616.226042378,736614.251475833
2.5,20,736936.324421396,736942.078069994
2.5,20,737257.697890544,737307.920060253
2.5,27,732885.870021344,732889.133926649
2.5,27,733262.286929706,733262.007187163
2.5,27,733612.99220016,733618.366195687
2.5,27,733971.01044873,733993.32432314
2.5,27,NaN,NaN
2.5,27,NaN,NaN
2.5,27,NaN,NaN
2.5,27,NaN,NaN
2.5,27,NaN,NaN
2.5,27,NaN,NaN
2.5,27,736588.999999637,736601.999999513
2.5,27,736861.701347047,736919.000284254
2.5,27,737257.456904512,737242.080102133
2.5,28,732927.188512482,NaN
2.5,28,NaN,NaN
2.5,28,733555.999947225,733607.39080201
2.5,28,733975.999999923,733994.938939214
2.5,28,NaN,NaN
2.5,28,734774.178791939,734742.999986325
2.5,28,735112.377437065,735097.361580673
2.5,28,735454.586388273,735481.501741828
2.5,28,735779.143274329,735834.506181091
2.5,30,733001.999999903,NaN
2.5,30,733257.238145408,733262.642710546
2.5,30,733623.999961889,733615.863479991
2.5,30,NaN,733994.168889422
2.5,30,734376.113198127,734435.892607043
2.5,30,734739.999999989,734739.908930347
2.5,30,NaN,NaN
2.5,30,NaN,NaN
2.5,30,735784.999970487,735829.604518291
2.5,30,NaN,NaN
2.5,30,736608.426314953,736607.509787384
2.5,30,NaN,NaN
2.5,30,737214.543637967,737209.262633272
2.5,32,NaN,NaN
2.5,32,733250.611910244,733261.019994808
2.5,32,733621.000955437,733620.650363307
2.5,32,NaN,NaN
2.5,32,NaN,NaN
2.5,32,734740.471929129,734734.999932089
2.5,32,NaN,NaN
2.5,32,NaN,NaN
2.5,32,735771.000274292,735836.823164753
2.5,32,NaN,NaN
2.5,32,736608.347623498,736603.29184846
2.5,32,736844.99999686,736924.776119905
2.5,32,737246.384388175,737256.259372854
2.5,35,NaN,NaN
2.5,35,733252.538838056,733262.620985997
2.5,35,733659.764227815,733613.153529859
2.5,35,734095.001312086,734040.000002773
2.5,35,734389.999999309,734388.652080986
2.5,35,NaN,NaN
2.5,35,735100.380883222,735112.376606985
2.5,35,735448.884686605,735497.253235053
2.5,35,735787.683716828,735841.642323181
2.5,35,NaN,NaN
2.5,35,736621.078531423,736606.547809326
2.5,35,NaN,NaN
2.5,35,737255.629835386,737269.559144424
10,1,732891.735698297,732893.413482862
10,1,733254.839024787,733264.999999814
10,1,733650.437425943,733664.921605981
10,1,733986.696056628,733988.025498136
10,1,734388.593408238,734384.000051171
10,1,734742.393812546,734745.842029684
10,1,735093.503265658,735100.751427073
10,1,735451.000006981,735492.501500619
10,1,735785.042349753,735832.895233926
10,1,NaN,NaN
10,1,736608.180842623,736606.000780479
10,1,736932.999999935,736933.684534224
10,1,737249.804425062,737300.381418546
