depth,station,insitu,GLDAS,residual,WY
5.08,1,25,1,-24,2003
5.08,2,37,205,168,2005
5.08,2,68,97,29,2007
5.08,2,6,1,-5,2009
5.08,2,92,1,-91,2010
5.08,2,1,7,6,2011
5.08,2,20,156,136,2012
5.08,2,5,1,-4,2014
5.08,2,15,1,-14,2017
5.08,2,124,207,83,2019
5.08,3,32,89,57,2017
5.08,4,47,63,16,2013
5.08,4,1,2,1,2015
5.08,5,8,8,0,2001
5.08,5,70,2,-68,2003
5.08,5,4,4,0,2005
5.08,9,119,5,-114,2009
5.08,9,157,11,-146,2016
5.08,9,1,167,166,2018
5.08,10,117,15,-102,2015
5.08,10,19,3,-16,2016
5.08,10,135,1,-134,2017
5.08,10,26,3,-23,2020
5.08,11,133,164,31,2017
5.08,11,100,91,-9,2018
5.08,11,226,128,-98,2020
5.08,12,71,100,29,2012
5.08,12,178,3,-175,2013
5.08,12,47,1,-46,2014
5.08,14,67,1,-66,2017
5.08,14,139,1,-138,2019
5.08,15,19,1,-18,2007
5.08,15,2,1,-1,2014
5.08,17,97,1,-96,2016
5.08,17,25,9,-16,2017
5.08,17,211,12,-199,2018
5.08,17,23,1,-22,2019
5.08,17,109,140,31,2020
5.08,21,235,42,-193,2011
5.08,21,95,58,-37,2012
5.08,22,131,89,-42,2012
5.08,22,205,13,-192,2016
5.08,22,103,1,-102,2017
5.08,24,145,1,-144,2014
5.08,25,197,2,-195,2002
5.08,26,56,1,-55,2006
5.08,26,223,194,-29,2007
5.08,26,81,1,-80,2012
5.08,26,35,2,-33,2018
5.08,27,143,61,-82,2012
5.08,27,42,2,-40,2016
5.08,27,21,43,22,2019
5.08,28,219,129,-90,2011
5.08,28,108,1,-107,2012
5.08,28,220,1,-219,2015
5.08,28,1,1,0,2016
5.08,29,113,2,-111,2012
5.08,29,247,33,-214,2013
5.08,29,127,93,-34,2016
5.08,29,7,151,144,2018
5.08,29,225,11,-214,2019
5.08,30,201,1,-200,2011
5.08,30,249,1,-248,2014
5.08,30,187,1,-186,2016
5.08,30,155,30,-125,2017
5.08,31,15,41,26,2017
5.08,31,43,1,-42,2020
5.08,33,135,13,-122,2008
5.08,33,20,111,91,2009
5.08,35,9,2,-7,2011
5.08,35,81,2,-79,2012
5.08,35,155,3,-152,2015
5.08,36,97,167,70,2012
5.08,36,59,1,-58,2014
5.08,36,90,1,-89,2016
5.08,36,87,115,28,2017
5.08,36,142,121,-21,2019
5.08,37,3,1,-2,2014
5.08,37,35,38,3,2015
5.08,37,87,1,-86,2017
5.08,38,1,1,0,2011
5.08,38,35,49,14,2015
5.08,38,84,1,-83,2016
5.08,38,87,124,37,2017
5.08,38,71,77,6,2018
5.08,39,3,31,28,2014
5.08,39,35,42,7,2015
5.08,39,98,203,105,2019
5.08,40,57,1,-56,2016
5.08,40,141,7,-134,2017
5.08,41,81,126,45,2009
5.08,41,173,64,-109,2010
5.08,41,86,108,22,2011
5.08,42,1,26,25,2018
5.08,44,249,37,-212,2009
5.08,44,105,25,-80,2010
5.08,44,7,1,-6,2011
5.08,44,147,4,-143,2012
5.08,44,127,36,-91,2014
5.08,44,37,1,-36,2015
5.08,44,55,5,-50,2016
5.08,47,1,52,51,2008
5.08,47,1,49,48,2011
5.08,48,7,1,-6,2018
5.08,49,118,3,-115,2003
5.08,49,115,72,-43,2004
5.08,49,219,4,-215,2005
5.08,49,180,92,-88,2006
5.08,49,97,103,6,2007
5.08,50,91,134,43,2011
5.08,50,104,103,-1,2012
5.08,50,114,24,-90,2014
5.08,50,122,63,-59,2016
5.08,50,63,3,-60,2017
5.08,50,194,183,-11,2018
5.08,50,128,3,-125,2019
5.08,51,139,1,-138,2017
5.08,51,36,1,-35,2019
5.08,53,3,1,-2,2008
5.08,53,88,81,-7,2011
5.08,54,59,51,-8,2016
5.08,54,187,98,-89,2020
5.08,55,77,145,68,2009
5.08,55,73,198,125,2010
5.08,55,7,2,-5,2011
5.08,55,99,2,-97,2012
5.08,55,169,13,-156,2013
5.08,55,161,13,-148,2014
5.08,55,127,65,-62,2016
5.08,55,136,10,-126,2017
5.08,56,166,126,-40,2012
5.08,56,118,35,-83,2017
5.08,56,46,135,89,2018
5.08,56,177,131,-46,2020
5.08,57,108,1,-107,2014
5.08,58,203,129,-74,2011
5.08,58,38,1,-37,2017
5.08,58,3,1,-2,2018
5.08,59,8,46,38,2008
5.08,59,101,3,-98,2010
5.08,59,39,1,-38,2011
5.08,59,53,91,38,2012
5.08,59,40,1,-39,2014
5.08,59,151,1,-150,2015
5.08,60,1,2,1,2016
5.08,60,67,2,-65,2017
5.08,60,96,127,31,2018
5.08,60,5,2,-3,2019
5.08,60,9,3,-6,2020
5.08,61,7,7,0,2009
5.08,61,113,5,-108,2011
5.08,61,96,109,13,2014
5.08,61,246,1,-245,2016
5.08,61,240,111,-129,2018
5.08,62,9,39,30,2018
5.08,62,35,31,-4,2019
5.08,63,47,1,-46,2003
5.08,63,38,1,-37,2005
5.08,65,187,1,-186,2017
5.08,65,2,21,19,2019
5.08,65,119,2,-117,2020
5.08,67,123,161,38,2009
5.08,67,211,128,-83,2010
5.08,67,71,64,-7,2011
5.08,67,137,21,-116,2015
5.08,67,146,2,-144,2016
5.08,68,41,51,10,2011
5.08,68,123,2,-121,2012
5.08,69,7,32,25,2008
5.08,69,57,1,-56,2009
5.08,71,151,78,-73,2011
5.08,71,165,65,-100,2012
5.08,71,240,185,-55,2014
5.08,71,73,1,-72,2016
5.08,71,83,14,-69,2017
5.08,71,125,185,60,2018
5.08,72,151,110,-41,2011
