depth,station,insitu,GLDAS,residual,WY
5.08,1,83,86,3,2001
5.08,1,81,92,11,2003
5.08,2,161,66,-95,2005
5.08,2,21,117,96,2007
5.08,2,59,93,34,2010
5.08,2,81,67,-14,2013
5.08,2,45,109,64,2016
5.08,2,61,40,-21,2017
5.08,2,56,109,53,2019
5.08,3,-218,-210,8,2018
5.08,4,-77,-225,-148,2006
5.08,4,-12,-300,-288,2012
5.08,4,117,-221,-338,2013
5.08,4,5,-156,-161,2016
5.08,5,216,75,-141,2001
5.08,5,63,123,60,2001
5.08,5,152,157,5,2003
5.08,5,85,84,-1,2004
5.08,5,38,146,108,2005
5.08,9,94,-275,-369,2009
5.08,9,124,-187,-311,2012
5.08,9,83,-131,-214,2013
5.08,9,155,-259,-414,2015
5.08,9,142,-161,-303,2016
5.08,9,155,-254,-409,2019
5.08,10,-283,-276,7,2009
5.08,10,-289,-260,29,2010
5.08,10,-262,-242,20,2011
5.08,10,-271,-251,20,2013
5.08,10,-253,-175,78,2015
5.08,10,-223,-251,-28,2017
5.08,10,-289,-268,21,2018
5.08,10,-237,-244,-7,2019
5.08,11,-199,-302,-103,2016
5.08,11,-214,-239,-25,2017
5.08,11,-230,-206,24,2018
5.08,11,-232,-255,-23,2019
5.08,11,-209,-173,36,2020
5.08,12,-316,-225,91,2009
5.08,12,-257,-244,13,2010
5.08,12,-147,-215,-68,2013
5.08,12,-214,-215,-1,2014
5.08,12,-257,-214,43,2015
5.08,13,-330,-243,87,2017
5.08,13,-122,-242,-120,2018
5.08,13,-185,-251,-66,2019
5.08,14,-158,-209,-51,2016
5.08,14,-75,-243,-168,2017
5.08,14,-154,-241,-87,2019
5.08,14,-81,-174,-93,2020
5.08,15,-61,-51,10,2006
5.08,15,18,-136,-154,2007
5.08,15,-117,-124,-7,2008
5.08,15,-82,-78,4,2009
5.08,15,-94,-96,-2,2013
5.08,17,-220,-277,-57,2015
5.08,17,-187,-252,-65,2017
5.08,17,-261,-176,85,2018
5.08,17,-296,-168,128,2019
5.08,21,109,-285,-394,2009
5.08,21,121,-275,-396,2010
5.08,21,148,-240,-388,2011
5.08,21,102,-215,-317,2012
5.08,21,153,-244,-397,2014
5.08,21,77,-243,-320,2017
5.08,22,-239,-196,43,2009
5.08,22,-171,-203,-32,2010
5.08,22,-234,-195,39,2011
5.08,22,-183,-172,11,2012
5.08,22,-241,-258,-17,2013
5.08,22,-233,-250,-17,2014
5.08,22,-222,-210,12,2017
5.08,22,-176,-210,-34,2018
5.08,22,-224,-272,-48,2019
5.08,22,-199,-199,0,2020
5.08,24,145,181,36,2012
5.08,24,111,46,-65,2014
5.08,24,63,49,-14,2015
5.08,25,-271,-260,11,2002
5.08,25,-288,-226,62,2003
5.08,26,-272,-207,65,2006
5.08,26,-152,-183,-31,2007
5.08,26,-210,-191,19,2008
5.08,26,-315,-221,94,2009
5.08,26,-247,-242,5,2010
5.08,26,-310,-215,95,2011
5.08,26,-167,-210,-43,2013
5.08,26,-302,-152,150,2014
5.08,26,-241,-256,-15,2015
5.08,26,-177,-239,-62,2019
5.08,27,-246,-213,33,2011
5.08,27,-222,-232,-10,2012
5.08,27,-248,-264,-16,2013
5.08,27,-228,-206,22,2014
5.08,27,-265,-253,12,2018
5.08,27,-207,-233,-26,2019
5.08,27,-169,-218,-49,2020
5.08,28,96,62,-34,2008
5.08,28,87,90,3,2010
5.08,28,196,123,-73,2011
5.08,28,126,81,-45,2012
5.08,28,128,112,-16,2013
5.08,28,255,195,-60,2015
5.08,28,187,138,-49,2016
5.08,28,56,72,16,2017
5.08,28,113,131,18,2018
5.08,29,-176,-217,-41,2012
5.08,29,-280,-275,5,2013
5.08,29,-238,-268,-30,2014
5.08,29,-236,-243,-7,2015
5.08,29,-181,-236,-55,2017
