depth,station,insitu,GLDAS,residual,WY
5.08,1,113,135,22,2003
5.08,2,112,103,-9,2005
5.08,2,142,167,25,2006
5.08,2,107,66,-41,2007
5.08,2,142,128,-14,2009
5.08,2,76,132,56,2010
5.08,2,143,131,-12,2011
5.08,2,143,114,-29,2012
5.08,2,136,141,5,2014
5.08,2,132,77,-55,2015
5.08,2,148,161,13,2017
5.08,2,24,130,106,2018
5.08,2,77,78,1,2019
5.08,3,-81,-168,-87,2017
5.08,4,104,-72,-176,2011
5.08,4,151,-173,-324,2013
5.08,4,94,-81,-175,2015
5.08,4,52,-136,-188,2017
5.08,5,236,243,7,2001
5.08,5,266,269,3,2002
5.08,5,136,305,169,2003
5.08,5,213,215,2,2005
5.08,9,187,8,-179,2009
5.08,9,236,-209,-445,2015
5.08,9,201,-77,-278,2016
5.08,9,141,-165,-306,2018
5.08,10,-186,-156,30,2012
5.08,10,-165,-182,-17,2015
5.08,10,-80,-161,-81,2016
5.08,10,-163,-155,8,2017
5.08,10,-85,-135,-50,2020
5.08,11,-172,-165,7,2017
5.08,11,-121,-120,1,2018
5.08,11,-166,-103,63,2020
5.08,12,-123,-44,79,2012
5.08,12,-195,36,231,2013
5.08,12,-148,-137,11,2014
5.08,14,-27,-2,25,2015
5.08,14,-137,-137,0,2017
5.08,14,-79,-145,-66,2019
5.08,15,162,29,-133,2007
5.08,15,144,88,-56,2011
5.08,15,66,145,79,2012
5.08,15,97,106,9,2014
5.08,17,-148,-76,72,2016
5.08,17,-148,-133,15,2017
5.08,17,-202,-49,153,2018
5.08,17,-45,-38,7,2019
5.08,17,-88,-102,-14,2020
5.08,21,135,-45,-180,2011
5.08,21,246,-155,-401,2012
5.08,21,123,-119,-242,2015
5.08,21,144,-114,-258,2018
5.08,22,-134,-155,-21,2012
5.08,22,-233,-182,51,2016
5.08,22,-147,-93,54,2017
5.08,24,127,144,17,2014
5.08,25,-178,20,198,2002
5.08,26,-95,-32,63,2006
5.08,26,-217,-76,141,2007
5.08,26,-130,26,156,2012
5.08,26,-131,-21,110,2016
5.08,27,-175,-161,14,2012
5.08,27,-100,-175,-75,2015
5.08,27,-229,-42,187,2016
5.08,27,-113,-32,81,2017
5.08,27,-50,-66,-16,2019
5.08,28,147,123,-24,2011
5.08,28,173,230,57,2012
5.08,28,132,162,30,2015
5.08,28,244,231,-13,2016
5.08,29,-160,-117,43,2012
5.08,29,-190,-55,135,2013
5.08,29,-163,-145,18,2016
5.08,29,-71,-172,-101,2018
5.08,29,-201,-157,44,2019
5.08,30,152,228,76,2011
5.08,30,122,161,39,2014
5.08,30,176,243,67,2016
5.08,30,190,296,106,2017
5.08,31,-215,-175,40,2015
5.08,31,-109,-151,-42,2017
5.08,31,-79,-136,-57,2020
5.08,33,-166,-10,156,2008
5.08,33,-86,-40,46,2009
5.08,35,-42,18,60,2011
5.08,35,-128,25,153,2012
5.08,35,-178,20,198,2015
5.08,36,-152,-178,-26,2012
5.08,36,-152,-96,56,2014
5.08,36,-155,-141,14,2016
5.08,36,-132,-156,-24,2017
5.08,36,-176,-208,-32,2019
5.08,37,155,134,-21,2014
5.08,37,127,118,-9,2015
5.08,37,53,91,38,2017
5.08,38,143,130,-13,2011
5.08,38,146,134,-12,2012
5.08,38,155,134,-21,2014
5.08,38,127,118,-9,2015
5.08,38,68,136,68,2016
5.08,38,53,52,-1,2017
5.08,38,75,67,-8,2018
5.08,38,78,119,41,2019
5.08,39,143,131,-12,2011
5.08,39,155,129,-26,2014
5.08,39,127,121,-6,2015
5.08,39,53,159,106,2017
5.08,39,78,105,27,2019
5.08,40,-129,-76,53,2016
5.08,40,-164,-36,128,2017
5.08,41,221,241,20,2009
5.08,41,169,220,51,2010
5.08,41,218,204,-14,2011
5.08,42,201,-76,-277,2016
5.08,42,141,-73,-214,2018
5.08,44,-202,-14,188,2009
5.08,44,-129,3,132,2010
5.08,44,-41,18,59,2011
5.08,44,-152,20,172,2012
5.08,44,-170,-3,167,2014
5.08,44,-82,21,103,2015
5.08,44,-109,-24,85,2016
5.08,47,32,-96,-128,2008
5.08,47,123,-94,-217,2011
5.08,48,160,130,-30,2018
5.08,49,-168,-113,55,2003
5.08,49,-147,-126,21,2004
5.08,49,-208,-83,125,2005
5.08,49,-216,-164,52,2006
5.08,49,-171,-162,9,2007
5.08,50,-142,-151,-9,2011
5.08,50,-155,-187,-32,2012
5.08,50,-157,-131,26,2014
5.08,50,-153,-103,50,2016
5.08,50,-109,-74,35,2017
5.08,50,-183,-58,125,2018
5.08,50,-168,-100,68,2019
5.08,51,-197,155,352,2015
5.08,51,-142,172,314,2017
5.08,51,-66,229,295,2019
5.08,52,127,132,5,2012
5.08,52,118,135,17,2015
5.08,53,283,285,2,2008
5.08,53,213,202,-11,2011
5.08,54,-130,-81,49,2016
5.08,54,-127,-103,24,2020
5.08,55,-110,-151,-41,2009
5.08,55,-115,-144,-29,2010
5.08,55,-67,-39,28,2011
5.08,55,-155,-137,18,2012
5.08,55,-191,-37,154,2013
5.08,55,-196,-33,163,2014
5.08,55,-184,-71,113,2016
5.08,55,-159,-114,45,2017
5.08,56,-172,-197,-25,2012
5.08,56,-173,-166,7,2017
5.08,56,-71,-144,-73,2018
5.08,56,-122,-112,10,2020
5.08,57,125,185,60,2012
5.08,57,112,175,63,2014
5.08,58,151,-97,-248,2011
5.08,58,286,-121,-407,2017
5.08,58,143,-37,-180,2018
5.08,59,-7,-21,-14,2008
5.08,59,-141,-129,12,2010
5.08,59,-71,-141,-70,2011
5.08,59,-113,-44,69,2012
5.08,59,-146,-136,10,2014
5.08,59,-175,-162,13,2015
5.08,59,-181,-164,17,2018
5.08,60,-79,-82,-3,2016
5.08,60,-159,-107,52,2017
5.08,60,-145,-150,-5,2018
5.08,60,-43,-38,5,2019
5.08,60,-85,-80,5,2020
5.08,61,-83,5,88,2009
5.08,61,-121,16,137,2011
5.08,61,-162,-63,99,2014
5.08,61,-219,-19,200,2016
5.08,61,-182,-107,75,2018
5.08,62,-77,-11,66,2009
5.08,62,-145,-17,128,2014
5.08,62,-59,-52,7,2018
5.08,62,-57,-14,43,2019
5.08,63,276,-37,-313,2002
5.08,63,148,13,-135,2003
5.08,63,169,-41,-210,2005
5.08,65,-190,-178,12,2017
5.08,65,-221,19,240,2019
5.08,65,-93,-132,-39,2020
5.08,66,-166,-117,49,2012
5.08,67,185,-96,-281,2009
5.08,67,149,-159,-308,2010
5.08,67,217,-79,-296,2011
5.08,67,183,-225,-408,2015
5.08,67,202,-76,-278,2016
5.08,67,142,-63,-205,2018
5.08,68,-69,-7,62,2011
5.08,68,-165,-137,28,2012
5.08,69,-67,-91,-24,2008
5.08,69,48,-70,-118,2009
5.08,71,-172,-49,123,2011
5.08,71,-187,-150,37,2012
5.08,71,-143,-130,13,2014
5.08,71,-168,-106,62,2016
5.08,71,-130,-78,52,2017
5.08,71,-160,-133,27,2018
5.08,72,-172,-64,108,2011
5.08,72,-187,-152,35,2012
5.08,72,-168,-107,61,2016
5.08,72,-130,-117,13,2017
5.08,72,-161,-124,37,2018
5.08,76,163,-105,-268,2016
5.08,76,182,-110,-292,2017
5.08,76,66,-168,-234,2018
5.08,76,154,-183,-337,2019
5.08,77,213,203,-10,2011
5.08,77,122,141,19,2014
5.08,77,164,136,-28,2016
5.08,78,157,133,-24,2012
5.08,78,140,133,-7,2014
5.08,78,124,137,13,2015
5.08,79,145,186,41,2013
5.08,79,153,153,0,2014
5.08,79,126,138,12,2015
5.08,80,-178,27,205,2010
5.08,80,-104,28,132,2011
5.08,80,-168,-97,71,2012
5.08,80,-134,-21,113,2013
5.08,80,-170,45,215,2014
5.08,80,-150,22,172,2015
5.08,82,-191,-119,72,2012
5.08,82,-167,-144,23,2014
5.08,84,-96,-82,14,2016
5.08,84,-184,-43,141,2017
5.08,84,-114,-89,25,2018
5.08,85,271,-156,-427,2010
5.08,85,212,-64,-276,2011
5.08,85,235,-195,-430,2015
5.08,85,201,-76,-277,2016
5.08,85,141,-147,-288,2018
5.08,86,-129,-76,53,2016
5.08,87,262,-177,-439,2014
5.08,87,129,-180,-309,2015
5.08,87,198,-213,-411,2016
5.08,87,143,-90,-233,2018
5.08,89,-96,14,110,2008
5.08,89,-104,-31,73,2010
5.08,89,-75,14,89,2011
5.08,89,-119,-2,117,2012
5.08,89,-195,1,196,2013
5.08,89,-157,-137,20,2014
5.08,89,-93,-110,-17,2015
5.08,89,-175,-20,155,2017
5.08,89,-73,38,111,2019
5.08,90,120,122,2,2002
5.08,90,140,147,7,2003
5.08,90,141,150,9,2004
5.08,90,141,135,-6,2005
5.08,90,111,136,25,2007
5.08,90,127,60,-67,2009
5.08,90,135,132,-3,2012
5.08,90,121,137,16,2013
5.08,90,125,132,7,2017
5.08,90,145,138,-7,2018
5.08,90,97,120,23,2019
5.08,91,107,29,-78,2007
5.08,91,88,77,-11,2009
5.08,91,144,135,-9,2011
5.08,91,97,98,1,2014
10,1,266,-74,-340,2008
