depth,station,insitu,GLDAS,residual,WY
5.08,1,114.564841,116.002178,1.437337,2001
5.08,1,110.000005,132.380942,22.380937,2003
5.08,2,116.009168,147.967839,31.958671,2005
5.08,2,119.325454,81.98253,-37.342924,2007
5.08,2,118.938387,126,7.06161299999999,2009
5.08,2,147.00039,127.24681,-19.75358,2010
5.08,2,140,130.661476,-9.33852400000001,2011
5.08,2,142.571703,162,19.428297,2012
5.08,2,134.474831,138.010927,3.53609600000001,2014
5.08,2,132.587391,131.000015,-1.58737600000001,2015
5.08,2,133.719308,141.999999,8.28069099999999,2019
5.08,3,-140.787878,-165.879998,-25.09212,2017
5.08,4,126.913678,-100.759428,-227.673106,2012
5.08,4,156.600913,-173,-329.600913,2013
5.08,5,213.999999,237.705064,23.705065,2001
5.08,5,308.000015,265.05322,-42.946795,2002
5.08,5,180.000002,302,121.999998,2003
5.08,5,265.242305,253,-12.242305,2005
5.08,9,224.832273,1,-223.832273,2009
5.08,9,283.362296,-78.455688,-361.817984,2010
5.08,9,180.008784,-30.371255,-210.380039,2014
5.08,9,222.326117,-77.395907,-299.722024,2016
5.08,9,275.616067,-142.062983,-417.67905,2017
5.08,10,-105.036951,-84.447414,20.589537,2009
5.08,10,-101.108854,-109.888036,-8.77918200000001,2010
5.08,10,-126.658068,-157,-30.341932,2012
5.08,10,-74.041177,-161.580162,-87.538985,2013
5.08,10,-102.60913,-182.760747,-80.151617,2015
5.08,10,-94.127284,-162.168951,-68.041667,2016
5.08,10,-107.68564,-116.095557,-8.40991699999999,2018
5.08,10,-88.923387,-137.265744,-48.342357,2020
5.08,11,-153.171434,-130.999995,22.171439,2017
5.08,11,-116.555909,-113.494698,3.061211,2018
5.08,11,-49.096874,-42.591642,6.505232,2019
5.08,11,-161.982824,-103.000031,58.982793,2020
5.08,12,-197.00001,-2.720716,194.279294,2009
5.08,12,-114.705567,-98.421802,16.283765,2010
5.08,12,-103.942096,-42.386528,61.555568,2012
5.08,12,-143.867846,28.926622,172.794468,2013
5.08,12,-139.375009,-139.875127,-0.500117999999986,2014
5.08,12,-103.426993,-145.000046,-41.573053,2015
5.08,14,-22,-5.576144,16.423856,2015
5.08,14,-136.758868,-150.040798,-13.28193,2017
5.08,14,-67.127303,-60.79412,6.333183,2018
5.08,14,16.725561,-127.205298,-143.930859,2020
5.08,15,158.999999,25.425481,-133.574518,2007
5.08,15,24.453983,69.941542,45.487559,2009
