depth,station,insitu,GLDAS,residual,WY
5,1,-251,68,319,2011
5,1,-227,105,332,2012
5,1,-262,121,383,2016
5,1,-237,182,419,2017
5,1,148,149,1,2018
5,2,-227,-237,-10,2011
5,2,-223,-130,93,2012
5,2,-199,-226,-27,2013
5,2,-217,-213,4,2016
5,2,-198,-192,6,2017
5,2,219,216,-3,2018
5,3,-207,-173,34,2011
5,3,-177,-185,-8,2012
5,3,-240,-202,38,2013
5,3,-192,-199,-7,2015
5,3,-219,-201,18,2016
5,3,-181,-190,-9,2017
5,3,154,173,19,2018
5,4,-208,-146,62,2011
5,4,-226,-135,91,2012
5,4,-238,-220,18,2013
5,4,-290,-222,68,2014
5,4,-161,-209,-48,2015
5,4,-184,-201,-17,2016
5,4,-156,-150,6,2017
5,5,-309,-259,50,2011
5,5,-215,-232,-17,2012
5,5,-187,-239,-52,2013
5,5,-172,-218,-46,2014
5,5,-186,-231,-45,2015
5,5,-279,-242,37,2016
5,5,-227,-249,-22,2017
5,5,189,179,-10,2018
5,6,72,38,-34,2011
5,6,134,66,-68,2012
5,6,89,70,-19,2017
5,7,-249,-267,-18,2009
5,7,-249,-209,40,2010
5,7,-243,-242,1,2011
5,7,-253,-218,35,2012
5,7,-233,-261,-28,2013
5,7,-303,-314,-11,2014
5,7,-202,-222,-20,2015
5,7,-265,-197,68,2016
5,7,-282,-263,19,2017
5,8,-89,-239,-150,2011
5,8,-130,-205,-75,2013
5,8,-83,-237,-154,2016
5,9,-89,-240,-151,2011
5,9,-130,-172,-42,2013
5,10,-193,-190,3,2010
5,10,-166,-148,18,2014
5,10,-240,-242,-2,2015
5,10,-217,-238,-21,2016
5,10,-141,-102,39,2017
5,11,-179,-292,-113,2012
5,11,-198,-250,-52,2013
5,11,-144,-198,-54,2017
5,12,-225,-211,14,2011
5,12,-99,-230,-131,2012
5,12,228,204,-24,2018
5,13,42,50,8,2011
5,13,22,47,25,2015
5,14,-157,-173,-16,2011
5,14,-218,-208,10,2013
5,14,-285,-222,63,2014
5,14,-170,-188,-18,2016
5,14,-193,-149,44,2017
5,15,-246,81,327,2011
5,15,-222,34,256,2012
5,15,-234,105,339,2013
5,15,-210,36,246,2014
5,15,-222,167,389,2015
5,15,-237,120,357,2016
5,15,-257,92,349,2017
5,15,176,163,-13,2018
5,16,135,-263,-398,2009
5,16,133,-271,-404,2011
5,16,91,-308,-399,2012
5,16,74,-305,-379,2014
5,16,97,-276,-373,2016
5,16,78,-247,-325,2017
5,16,174,216,42,2018
5,17,-90,34,124,2012
5,17,-15,47,62,2013
5,17,12,29,17,2015
5,17,10,20,10,2016
5,17,-78,-2,76,2018
5,18,172,-235,-407,2010
5,18,121,-245,-366,2011
5,18,127,-232,-359,2012
5,18,196,-242,-438,2016
5,18,110,-235,-345,2017
5,18,191,189,-2,2018
5,19,113,101,-12,2010
5,19,-2,69,71,2011
5,19,-98,58,156,2012
5,19,8,50,42,2015
5,19,-84,-58,26,2017
5,19,-41,38,79,2018
5,20,-183,-207,-24,2011
5,20,-240,-285,-45,2012
5,20,-199,-244,-45,2013
5,20,-176,-171,5,2016
5,21,-221,-296,-75,2013
5,21,-163,-305,-142,2014
5,21,-220,-138,82,2015
5,21,-226,-235,-9,2016
5,21,-156,-206,-50,2017
5,21,268,179,-89,2018
5,22,-264,-283,-19,2011
5,22,-128,-219,-91,2014
5,23,-224,-265,-41,2012
5,23,-208,-227,-19,2013
5,23,209,153,-56,2018
5,24,34,110,76,2011
5,24,88,40,-48,2013
5,24,49,123,74,2014
5,24,33,39,6,2015
5,24,53,92,39,2016
5,24,76,89,13,2018
5,25,-216,-226,-10,2011
5,25,-207,-229,-22,2012
5,25,-197,-179,18,2013
5,25,-200,-240,-40,2015
5,25,-131,-216,-85,2016
5,25,-167,-235,-68,2017
5,26,99,2,-97,2010
5,26,96,27,-69,2011
5,26,98,56,-42,2012
5,26,57,123,66,2014
5,26,32,18,-14,2015
5,26,81,33,-48,2016
5,26,67,57,-10,2017
5,26,84,59,-25,2018
5,27,-164,-187,-23,2010
5,27,-295,-284,11,2014
5,27,-313,-160,153,2015
5,27,-259,-260,-1,2016
5,27,-199,-199,0,2017
5,28,-291,-198,93,2010
5,28,-217,-94,123,2012
5,28,-260,-297,-37,2013
5,28,-295,-269,26,2014
5,28,-314,-318,-4,2015
5,28,-262,-257,5,2016
5,28,-200,-209,-9,2017
5,29,103,85,-18,2011
5,29,72,68,-4,2014
5,29,30,191,161,2015
5,29,59,86,27,2016
5,29,62,59,-3,2018
10,1,-267,-274,-7,2009
10,1,-268,-174,94,2010
10,1,-206,-203,3,2011
10,1,-275,-241,34,2012
10,1,-234,-217,17,2013
10,1,-191,-228,-37,2016
10,1,-232,-190,42,2017
10,1,191,170,-21,2018
