depth,station,sig_type,insitu,GLDAS,residual
5,1,amplitude,0.056416,0.033834,-0.022582
5,1,phaseshift,-1.228054,-1.142022,0.086032
5,2,amplitude,0.081113,0.075988,-0.005125
5,2,phaseshift,-1.272143,-1.322913,-0.05077
5,3,amplitude,0.069834,0.081933,0.012099
5,3,phaseshift,-1.364752,-1.601023,-0.236271
5,4,amplitude,0.111115,0.104342,-0.006773
5,4,phaseshift,-1.362922,-1.45551,-0.092588
5,5,amplitude,0.071317,0.08023,0.008913
5,5,phaseshift,-1.165713,-1.33487,-0.169157
5,6,amplitude,0.046575,0.019318,-0.027257
5,6,phaseshift,0.674124,-0.268298,-0.942422
5,7,amplitude,0.049822,0.052087,0.002265
5,7,phaseshift,-1.122686,-1.246326,-0.12364
5,8,amplitude,0.003429,0.030439,0.02701
5,8,phaseshift,2.16326,-1.536366,-3.699626
5,9,amplitude,0.007644,0.03508,0.027436
5,9,phaseshift,2.247978,-1.965591,-4.213569
5,10,amplitude,0.020899,0.033654,0.012755
5,10,phaseshift,-2.234137,-2.32388,-0.089743
5,11,amplitude,0.118897,0.060356,-0.058541
5,11,phaseshift,-1.205266,-1.353691,-0.148425
5,12,amplitude,0.009232,0.04228,0.033048
5,12,phaseshift,-2.022434,-2.030225,-0.007791
5,13,amplitude,0.034669,0.012689,-0.02198
5,13,phaseshift,0.749222,0.376575,-0.372647
5,14,amplitude,0.076181,0.054977,-0.021204
5,14,phaseshift,-1.53835,-1.508444,0.029906
5,15,amplitude,0.089834,0.041244,-0.04859
5,15,phaseshift,-1.155317,-1.048755,0.106562
5,16,amplitude,0.047389,0.01366,-0.033729
5,16,phaseshift,-1.093334,-1.261037,-0.167703
5,17,amplitude,0.012357,0.009206,-0.003151
5,17,phaseshift,0.68719,0.012608,-0.674582
5,18,amplitude,0.090693,0.109581,0.018888
5,18,phaseshift,-1.106756,-1.448081,-0.341325
5,19,amplitude,0.019379,0.018424,-0.000955
5,19,phaseshift,1.240822,0.396522,-0.8443
5,20,amplitude,0.120879,0.109893,-0.010986
5,20,phaseshift,-1.280929,-1.192995,0.087934
5,21,amplitude,0.015557,0.03454,0.018983
5,21,phaseshift,-2.470775,-1.540858,0.929917
5,22,amplitude,0.009433,0.037677,0.028244
5,22,phaseshift,-2.422836,-1.914129,0.508707
5,23,amplitude,0.097234,0.07596,-0.021274
5,23,phaseshift,-1.186514,-1.549254,-0.36274
5,24,amplitude,0.024672,0.013996,-0.010676
5,24,phaseshift,-0.124743,-0.213314,-0.088571
5,25,amplitude,0.021807,0.088518,0.066711
5,25,phaseshift,-2.393919,-1.532669,0.86125
5,26,amplitude,0.030505,0.013655,-0.01685
5,26,phaseshift,0.091223,0.141074,0.049851
5,27,amplitude,0.055217,0.054266,-0.000951
5,27,phaseshift,-1.54379,-1.716919,-0.173129
5,28,amplitude,0.05875,0.051317,-0.007433
5,28,phaseshift,-1.536848,-1.756138,-0.21929
5,29,amplitude,0.02168,0.027314,0.005634
5,29,phaseshift,-0.289163,-0.682629,-0.393466
10,1,amplitude,0.031734,0.024964,-0.00677
10,1,phaseshift,-1.138992,-1.525338,-0.386346
