depth,station,sig_type,insitu,GLDAS,residual
5,1,seasontrans_sdate_wet2dry_p,NaT,04-Mar-2012,NaN
5,1,seasontrans_sdate_wet2dry_p,04-Mar-2012,23-Feb-2013,356
5,1,seasontrans_sdate_wet2dry_p,23-Feb-2013,NaT,NaN
5,1,seasontrans_sdate_wet2dry_p,27-Jan-2014,16-Mar-2015,413
5,1,seasontrans_sdate_wet2dry_p,05-Feb-2015,08-Feb-2016,368
5,1,seasontrans_sdate_wet2dry_p,12-Feb-2016,15-Feb-2017,369
5,1,seasontrans_sdate_wet2dry_p,27-Jan-2017,23-Mar-2018,420
5,1,seasontrans_sdate_wet2dry_p,21-May-2018,03-May-2019,347
5,1,seasontrans_sdate_wet2dry_l,NaT,05-Mar-2012,NaN
5,1,seasontrans_sdate_wet2dry_l,29-Feb-2012,05-Feb-2013,342
5,1,seasontrans_sdate_wet2dry_l,02-Feb-2013,NaT,NaN
5,1,seasontrans_sdate_wet2dry_l,19-Dec-2013,NaT,NaN
5,1,seasontrans_sdate_wet2dry_l,NaT,NaT,NaN
5,1,seasontrans_sdate_wet2dry_l,11-Feb-2016,02-Mar-2017,385
5,1,seasontrans_sdate_wet2dry_l,06-Jan-2017,22-Feb-2018,412
5,1,seasontrans_sdate_wet2dry_l,26-May-2018,07-May-2019,346
5,1,seasontrans_edate_wet2dry_p,NaT,10-Apr-2012,NaN
5,1,seasontrans_edate_wet2dry_p,18-May-2012,07-Apr-2013,324
5,1,seasontrans_edate_wet2dry_p,09-Jun-2013,NaT,NaN
5,1,seasontrans_edate_wet2dry_p,27-Mar-2014,31-Mar-2015,369
5,1,seasontrans_edate_wet2dry_p,27-Feb-2015,23-Mar-2016,390
5,1,seasontrans_edate_wet2dry_p,03-Mar-2016,29-May-2017,452
5,1,seasontrans_edate_wet2dry_p,23-Mar-2017,29-Apr-2018,402
5,1,seasontrans_edate_wet2dry_p,09-Jun-2018,25-Jun-2019,381
5,1,seasontrans_edate_wet2dry_l,NaT,11-Apr-2012,NaN
5,1,seasontrans_edate_wet2dry_l,27-May-2012,18-May-2013,356
5,1,seasontrans_edate_wet2dry_l,20-Jun-2013,NaT,NaN
5,1,seasontrans_edate_wet2dry_l,22-May-2014,NaT,NaN
5,1,seasontrans_edate_wet2dry_l,NaT,NaT,NaN
5,1,seasontrans_edate_wet2dry_l,06-Mar-2016,02-Jun-2017,453
5,1,seasontrans_edate_wet2dry_l,15-May-2017,02-Aug-2018,444
5,1,seasontrans_edate_wet2dry_l,09-Jun-2018,30-Jun-2019,386
5,1,seasontrans_sdate_dry2wet_p,NaT,29-Dec-2011,NaN
5,1,seasontrans_sdate_dry2wet_p,21-Nov-2011,16-Jul-2012,238
5,1,seasontrans_sdate_dry2wet_p,19-Aug-2012,NaT,NaN
