depth,station,insitu,gldas
5.08,11,NaN,NaN
5.08,11,NaN,735917.080169599
5.08,11,736254.128966487,736229.328485818
5.08,11,736628.510737982,736628.727083403
5.08,11,736927.999898097,737026.557796859
5.08,12,NaN,NaN
5.08,12,733067.086853897,733027.861415905
5.08,12,733448.353496581,733362.092750003
5.08,12,NaN,NaN
5.08,12,NaN,NaN
5.08,12,734508.472540174,734460.113957247
5.08,12,734945.385727474,734745.999882462
5.08,12,735275.125184568,735140.388642292
5.08,12,735628.998716812,735549.443669772
5.08,19,NaN,NaN
5.08,22,NaN,NaN
5.08,22,733309.597253294,733363.990149331
5.08,22,733638.999984466,733706.635233895
5.08,22,734054.024175748,734098.476877411
5.08,22,734396.264221457,734422.658038869
5.08,22,734867.999862529,734767.023324658
5.08,22,735169.566306567,735126.404048123
5.08,22,735540.982356015,735546.298256623
5.08,22,735817.476127404,735805.095433104
5.08,22,736267.291838667,736255.87425605
5.08,22,736582.132225726,736653.99643384
5.08,22,736942.47395017,737047.8919458
5.08,25,NaN,NaN
5.08,25,730525.296482539,NaN
5.08,25,730909.056829435,730729.000130242
5.08,25,731269.223678362,731136.222894459
5.08,26,NaN,NaN
5.08,26,732306.61256632,732287.140088778
5.08,26,732555.351981374,732541.855137161
5.08,26,732895.99999811,732915.648118296
5.08,26,733447.289096395,733275.999982679
5.08,26,733710.356412676,733725.115264035
5.08,26,734038.585239997,734114.049636623
5.08,26,734564.933789715,734457.059892083
5.08,26,734920.703678099,734754.154768345
5.08,26,735128.057120367,735134.598232489
5.08,26,735601.987759115,735554.062322585
5.08,26,735980.970215613,735900.786883543
5.08,26,736343.613740341,736219.079884551
5.08,26,736724.470895023,736562.77325907
5.08,26,736939.850652876,736948.155059209
5.08,27,NaN,NaN
5.08,27,734398.097583303,734424.563618033
5.08,27,734853.007014035,734762.029150227
5.08,27,735099.766613487,735191.423605584
5.08,27,735468.874948426,735558.622012967
5.08,27,735931.997346326,735928.673458846
5.08,27,736215.02417417,736252.263152927
5.08,27,736580.67278143,736646.704719703
5.08,27,737049.99998214,737055.275060029
5.08,28,NaN,NaN
