depth,station,insitu,gldas
5,1,NaN,NaN
5,1,734928.999983356,734899.181275954
5,1,735257.36792445,735295.176617462
5,1,735579.053704008,735595.505449291
5,1,736030.995771974,735882.565901068
5,1,736336.170160901,736353.039406749
5,1,736702.783859101,736706.261573001
5,1,737104.1838363,736897.771843474
5,2,NaN,NaN
5,2,NaN,NaN
5,2,NaN,NaN
5,2,NaN,NaN
5,2,NaN,NaN
5,2,NaN,NaN
5,2,NaN,NaN
5,2,NaN,NaN
5,3,NaN,NaN
5,3,NaN,NaN
5,3,NaN,NaN
5,3,NaN,NaN
5,3,735925.389050949,735933.187606814
5,3,NaN,NaN
5,3,NaN,NaN
5,3,NaN,NaN
5,4,NaN,NaN
5,4,NaN,NaN
5,4,NaN,NaN
5,4,NaN,NaN
5,4,NaN,NaN
5,4,NaN,NaN
5,4,NaN,NaN
5,4,NaN,NaN
5,5,NaN,NaN
5,5,NaN,NaN
5,5,NaN,NaN
5,5,NaN,NaN
5,5,NaN,NaN
5,5,NaN,NaN
5,5,NaN,NaN
5,5,736958.999999896,737101.267308563
5,7,NaN,NaN
5,7,734443.6880839,734504.999999997
5,7,734820.352532425,734832.131341659
5,7,735223.878902479,735236.275949997
5,7,735563.699431564,735553.8636846
5,7,735943.999760085,735954.278339855
5,7,736325.997782034,736332.999999998
5,7,736690.73788891,736714.803792929
5,7,737154.862531343,737129.012497451
5,11,NaN,NaN
5,11,734889.404036536,734894.053966958
5,11,735235.584533662,735240.018090638
5,11,735649.648084678,735606.319972037
5,11,735936.679267472,735943.257149381
5,11,736310.000037068,736309.333999695
5,11,736707.189066253,736690.798110765
5,11,737073.992487294,737055.616695972
5,14,NaN,NaN
5,14,734951.999996032,734927.926335094
5,14,NaN,NaN
5,14,NaN,NaN
5,14,NaN,NaN
5,14,NaN,NaN
5,14,NaN,NaN
5,14,NaN,NaN
5,15,NaN,NaN
5,15,734818.880884124,734898.000000042
5,15,735211.177431452,735220.366801658
5,15,735569.061136665,735652.36439635
5,15,735931.646717938,735951.369545721
5,15,736345.343563871,736328.349329825
5,15,736736.50520871,736705.7974383
5,15,737082.9997631,737074.701634863
5,17,NaN,NaN
5,17,734310.954821565,734303.133768691
5,17,734690.595561469,734778.204698531
5,17,735108.998797347,735073.122103835
5,17,735536.635550197,735452.000001369
5,17,735832.33252209,735826.110427005
5,17,736258.74755857,736324.350411163
5,17,736660.999997022,736561.435320433
5,17,736871.89366557,736910.066647811
5,18,NaN,NaN
5,18,734440.764726792,734499.545514059
5,18,NaN,NaN
5,18,NaN,NaN
5,18,NaN,NaN
5,18,NaN,NaN
5,18,NaN,NaN
5,18,NaN,NaN
5,18,NaN,NaN
5,20,NaN,NaN
5,20,734882.315938326,734891
5,20,NaN,NaN
5,20,NaN,NaN
5,20,735948.019307091,735967.999927588
5,20,736316.409807059,736323.857470914
5,20,NaN,NaN
5,20,NaN,NaN
5,21,NaN,NaN
5,21,734811.237244677,734802.999999935
5,21,735140.013677146,735152.713226346
5,21,NaN,NaN
5,21,735993.000000071,735840.647926148
5,21,NaN,NaN
5,21,NaN,NaN
5,21,736973.739879681,737096.640492176
5,22,NaN,NaN
5,22,734266.616385665,734141.876245349
5,22,734566.823440578,NaN
5,22,734797.806773433,734845.471601163
5,22,NaN,NaN
5,22,NaN,NaN
5,22,735990.666763628,735944.66401908
5,22,736271.455250956,736268.499074162
5,22,736713.682751106,736703.102874575
5,22,NaN,NaN
5,23,NaN,NaN
5,23,734172.75861809,NaN
5,23,734543.645633551,734490.000042491
5,23,734954.157281982,734875.644389912
5,23,NaN,NaN
5,23,NaN,NaN
5,23,735927.27886156,735930.320253915
5,23,736344.573983707,736324.494942983
5,23,NaN,NaN
5,23,NaN,NaN
5,27,NaN,NaN
5,27,NaN,734573.22450014
5,27,734838.124215003,734818.125879826
5,27,735209.251638272,735217.060606838
5,27,735574.744204114,735605.001348366
5,27,735931.266324485,735929.721875058
5,27,736303.607627935,736303.971394277
5,27,736693.149020337,736675.787902004
5,27,737061.973216071,737062.005155127
10,1,NaN,NaN
10,1,734064.999999842,734141.999994807
10,1,734609.130742359,734504.363023602
10,1,734929.269670918,734857.101286991
10,1,735305.404726828,735271.391724161
10,1,735497.857683368,735576.740524984
10,1,736011.345454086,735988.632497852
10,1,736290.464166392,736314.393310721
10,1,736730.290416429,736706.372596072
10,1,736961.729183683,737146.299373957
