depth,station,insitu,gldas
5,1,NaN,NaN
5,1,734975.365289519,735037.377347075
5,1,735384.42271513,735401.999999267
5,1,735745.83776105,735768.809734884
5,1,736173.827241652,736060.942128727
5,1,736509.92432065,736512.94526489
5,1,736860.366922426,736863.562381389
5,1,737260.498782303,737261.746874003
5,2,NaN,NaN
5,2,735029.336379532,NaN
5,2,735399.871845021,735360.680042938
5,2,NaN,NaN
5,2,NaN,NaN
5,2,NaN,NaN
5,2,736839.005416774,736832.085307974
5,2,737260.824383634,737250.980572439
5,3,NaN,NaN
5,3,735087.125083388,735061.569078567
5,3,NaN,NaN
5,3,735806.749063053,735768.799533043
5,3,736193.36458713,736166.517427755
5,3,736509.374636958,736508.527414593
5,3,736854.594081977,736885.5997439
5,3,737283.253172339,737275.825588913
5,4,NaN,NaN
5,4,735053.638518876,735007.422058907
5,4,735419.759519247,735371.319552813
5,4,735760.715597385,735706.762953255
5,4,736156.231857496,736042.750482079
5,4,736480.309619194,736475.414866095
5,4,736860.353930306,736858.968982458
5,4,737230.923926746,737235.147368476
5,5,NaN,NaN
5,5,734999.274110418,734999.731894148
5,5,735358.860570307,735361.763664042
5,5,735717.450806348,735733.295650657
5,5,736172.960209674,NaN
5,5,736550.544491323,NaN
5,5,NaN,NaN
5,5,737215.257354041,737231.274563454
5,7,734297.223386747,734314.547402831
5,7,734686.889982103,734657.745579904
5,7,735029.835463187,735045.028902744
5,7,735394.938869374,735387.38825906
5,7,735744.323139807,735755.707889587
5,7,736068.333149009,736130.000399249
5,7,736494.417046641,736507.676146623
5,7,736876.546319365,736855.876652479
5,7,737191.537001968,737263.390620786
5,11,NaN,NaN
5,11,735112.725931533,735091.496654461
5,11,735332.345215795,735424.622163478
5,11,735760.000098972,735789.71608376
5,11,736094.428585706,736147.991989217
5,11,736453.648512043,736514.794150797
5,11,736905.354732004,736903.610258708
5,11,737266.874292313,737288.223449462
5,14,NaN,NaN
5,14,735095.770984891,735120.80456173
5,14,735500.034666581,NaN
5,14,735758.839480219,735759.98507539
5,14,736146.479445981,NaN
5,14,736562.85260366,736440.688517871
5,14,736895.437445968,736900.185196429
5,14,737237.651685802,737218.130455979
5,15,NaN,NaN
5,15,734997.291060733,735030.572168733
5,15,735300.291152565,735397.192987444
5,15,735726.340590887,735760.295394971
5,15,736044.50917178,736137.354216001
5,15,736498.880436559,736494.379642907
5,15,736839.320021515,736844.761481331
5,15,737241.550517267,737200.671538966
5,17,NaN,NaN
5,17,734651.333123862,734592.29329766
5,17,734997.533424127,734919.006075468
5,17,735307.78214025,735383.473331566
5,17,735672.384346339,735619.650813291
5,17,736160.758513301,NaN
5,17,736400.939177999,736408.235039138
5,17,736819.999547059,736822.704783038
5,17,737158.808705059,737144.705110144
5,18,734466.305165431,NaN
5,18,734676.626475071,734679.240400484
5,18,734982.132708256,734994.999867739
5,18,735360.48772836,NaN
5,18,735739.786528835,735739.48109943
5,18,736159.995813336,736109.979905275
5,18,736474.226313066,NaN
5,18,NaN,NaN
5,18,737184.180538843,737179.290871782
5,20,NaN,NaN
5,20,735063.210347475,735063.397147578
5,20,NaN,735349.382084763
5,20,NaN,NaN
5,20,736136.736334808,736143.994855155
5,20,736493.521059573,736520.997049229
5,20,NaN,NaN
5,20,NaN,NaN
5,21,NaN,NaN
5,21,734967.264404637,735124.000236678
5,21,735460.435261454,735464.926555468
5,21,735696.627169982,735777.707931627
5,21,736187.817266207,736191.481514506
5,21,NaN,NaN
5,21,736866.276093317,736967.364121257
5,21,737257.56368345,737330.999582906
5,22,NaN,NaN
5,22,734414.540658942,734439.154971057
5,22,734647.125326039,NaN
5,22,734996.358029548,735088.339488888
5,22,735442.744159496,735395.966486666
5,22,NaN,NaN
5,22,736202.397840187,736240.001024091
5,22,736517.674836693,736626.746634146
5,22,736899.247121667,736948.653271848
5,22,737398.500099573,NaN
5,23,NaN,NaN
5,23,734343.721394578,734330.998534213
5,23,734706.368562024,734704.543818643
5,23,735091.922044521,735099.301492834
5,23,735323.308419367,735387.99987012
5,23,735755.498126834,735765.410705962
5,23,736189.461926867,736154.475701019
5,23,736543.583272145,736503.659411071
5,23,736858.082699308,736861.981173315
5,23,737263.782362618,737288.719746661
5,27,NaN,NaN
5,27,734744.515294049,734725.917979345
5,27,735080.785563835,735129.715658192
5,27,735384.930507623,735456.425063006
5,27,735815.904303195,735763.765980397
5,27,736087.243024771,736077.391145125
5,27,736543.452717897,736420.883992444
5,27,736839.404520347,736823.748988088
5,27,737287.475384973,737244.654019013
10,1,NaN,NaN
10,1,734270.465067173,734279.542020855
10,1,734753.999824426,734628.200387131
10,1,735042.758061954,735050.999204419
10,1,735408.347697213,735428.599398447
10,1,735779.492046731,735758.651656589
10,1,736233.236997012,736158.568022707
10,1,736511.478977631,736511.689268493
10,1,736869.756845552,736887.999999424
10,1,737308.999479298,737243.337693999
