depth,station,insitu,gldas
5,1,NaN,NaN
5,1,734938.012152161,734938.000158709
5,1,735276.931004097,735299.959270666
5,1,735639.03481131,735626.999888631
5,1,736029.404288305,735992.999787056
5,1,736359.983736022,736362.999992359
5,1,736746.028995025,736725.999942943
5,1,737137.000162761,737190.464524868
5,2,NaN,NaN
5,2,734896.387604085,NaN
5,2,735249.872845549,735245.999965236
5,2,NaN,NaN
5,2,NaN,NaN
5,2,NaN,NaN
5,2,736689.006163293,736775.459874525
5,2,737150.138528381,737157.48843837
5,3,NaN,NaN
5,3,734962.283716055,734917.000029262
5,3,NaN,NaN
5,3,735702.991394199,735701.090472824
5,3,736109.828670859,736016.517457798
5,3,736378.308440176,736442.129288041
5,3,736709.999995403,736759.866680459
5,3,737143.999999987,737160.493744462
5,4,NaN,NaN
5,4,734915.000043274,734879.999997876
5,4,735328.406724631,735248.999995747
5,4,735625.999998848,735628.000001626
5,4,736126.285644879,735990.129022243
5,4,736420.356029983,736336.999972804
5,4,736711.999998964,736711.999999951
5,4,737080.927373868,737085.999995619
5,5,NaN,NaN
5,5,734923.713053292,734882.827810333
5,5,735301.401157094,735249.999484614
5,5,735636.275253346,735587.999999074
5,5,736131.228944994,NaN
5,5,736454.031005628,NaN
5,5,NaN,NaN
5,5,737182.874555845,737148.033744672
5,7,734247.442565489,734247.374228843
5,7,734584.750126313,734588.328799366
5,7,734973.331378472,734960.317022824
5,7,735266.162884643,735276.427136771
5,7,735687.227587382,735667.999999941
5,7,735979.992634615,735997.625244192
5,7,736359.322229965,736357.678374853
5,7,736728.843032127,736754.110195736
5,7,737151.999900766,737140.999999865
5,11,NaN,NaN
5,11,734963.16529962,734941.53408182
5,11,735276.885073113,735274.622202185
5,11,735667.220843154,735652.400223718
5,11,735983.458508637,735997.999999764
5,11,736365.947729018,736364.797186067
5,11,736755.359536928,736753.610281987
5,11,737233.643037211,737138.555652782
5,14,NaN,NaN
5,14,734988.351059416,734973.522613083
5,14,735392.554218186,NaN
5,14,735608.999999654,735665.58113379
5,14,736125.818926894,NaN
5,14,736468.115690427,736379.530951892
5,14,736745.446363487,736750.185258844
5,14,737087.676525126,737098.263618138
5,15,NaN,NaN
5,15,734968.548503973,734971.769053251
5,15,735259.577326829,735285.464473755
5,15,735677.178832801,735673.383659633
5,15,735960.495849085,736012.269485226
5,15,736399.138025611,736369.779335899
5,15,736759.187164787,736745.00003324
5,15,737135.796175428,737155.085748775
5,17,NaN,NaN
5,17,734563.709095959,734530.441012085
5,17,734901.185938013,734909.911096313
5,17,735275.000004563,735266.999986904
5,17,735601.000046986,735582.402169427
5,17,736031.999773871,NaN
5,17,736339.866387509,736329.551299477
5,17,736706.05352228,736720.987857362
5,17,737054.999999995,737045.000021999
5,18,734370.999999908,NaN
5,18,734641.108942119,734551.999946182
5,18,734895.999604043,734896.999999147
5,18,735293.481096238,NaN
5,18,735635.543045902,735645.356472392
5,18,736009.999998116,735959.983091241
5,18,736380.999999997,NaN
5,18,NaN,NaN
5,18,737125.365628324,737137.928259703
5,20,NaN,NaN
5,20,734960.999690073,734913.403846671
5,20,NaN,735275.965164901
5,20,NaN,NaN
5,20,735986.935896605,735993.999072741
5,20,736351.692207876,736370.999999734
5,20,NaN,NaN
5,20,NaN,NaN
5,21,NaN,NaN
5,21,734943.368362255,734987.982383983
5,21,735357.999999959,735364.366203482
5,21,735667.117378541,735744.571915402
5,21,736104.991853631,736130.463511942
5,21,NaN,NaN
5,21,736844.69811945,736845.122842801
5,21,737194.104215317,737210.000000216
5,22,NaN,NaN
5,22,734282.983432188,734289.216099058
5,22,734621.381061519,NaN
5,22,734970.265737826,734974.999988128
5,22,735351.230005348,735297.000096033
5,22,NaN,NaN
5,22,736110.233513677,736121.646831829
5,22,736461.444501551,736477.37813911
5,22,736826.286127136,736836.000002648
5,22,737282.979011664,NaN
5,23,NaN,NaN
5,23,734270.215470753,734181.084625322
5,23,734655.136831013,734554.543924908
5,23,734962.674136994,734949.301698581
5,23,735236.999998988,735238.003295901
5,23,735694.720701396,735676.248289729
5,23,736039.464144264,736004.492027186
5,23,736393.599943901,736353.677117189
5,23,736769.546968855,736711.999999998
5,23,737141.689556938,737166.326332515
5,27,NaN,NaN
5,27,734674.000075549,734576.078807489
5,27,734930.785688953,735032.078232067
5,27,735312.475426225,735315.930582949
5,27,735665.932549596,735709.390981157
5,27,736056.676855757,736050.859576531
5,27,736393.548379235,736383.937631369
5,27,736764.000031409,736747.383379543
5,27,737148.999999971,737127.999976068
10,1,NaN,NaN
10,1,734224.009188507,734198.352370858
10,1,734616.787370945,734569.54349464
10,1,734959.168150486,734936.368856821
10,1,735339.99883407,735304.001447572
10,1,735737.24408263,735705.476569809
10,1,736110.000806728,736008.629831631
10,1,736452.978605019,736361.689610699
10,1,736798.720901569,736748.379990481
10,1,737182.635941618,737156.581939108
