depth,station,sig_type,insitu,GLDAS,residual
3,19,seasontrans_duration_wet2dry_p,75.655406,12.950304,-62.705102
3,19,seasontrans_duration_wet2dry_p,53.204508,39.212868,-13.99164
3,19,seasontrans_duration_wet2dry_p,22.555889,155.362522,132.806633
3,19,seasontrans_duration_wet2dry_p,41.956674,19.531415,-22.425259
3,19,seasontrans_duration_wet2dry_p,NaN,NaN,NaN
3,19,seasontrans_duration_wet2dry_p,132.999971,10.006391,-122.99358
3,19,seasontrans_duration_wet2dry_p,42.003266,NaN,NaN
3,19,seasontrans_duration_wet2dry_p,29.196612,NaN,NaN
3,19,seasontrans_duration_wet2dry_p,10.000023,NaN,NaN
3,19,seasontrans_duration_wet2dry_p,NaN,NaN,NaN
3,19,seasontrans_duration_wet2dry_p,50.147512,22.826362,-27.32115
3,19,seasontrans_duration_wet2dry_p,14.150359,10.818401,-3.331958
3,19,seasontrans_duration_wet2dry_p,21.2615,9.536667,-11.724833
3,19,seasontrans_duration_wet2dry_l,77,62,-15
3,19,seasontrans_duration_wet2dry_l,51,44,-7
3,19,seasontrans_duration_wet2dry_l,NaN,214,NaN
3,19,seasontrans_duration_wet2dry_l,53,20,-33
3,19,seasontrans_duration_wet2dry_l,NaN,NaN,NaN
3,19,seasontrans_duration_wet2dry_l,6,85,79
3,19,seasontrans_duration_wet2dry_l,48,NaN,NaN
3,19,seasontrans_duration_wet2dry_l,NaN,NaN,NaN
3,19,seasontrans_duration_wet2dry_l,NaN,NaN,NaN
3,19,seasontrans_duration_wet2dry_l,NaN,NaN,NaN
3,19,seasontrans_duration_wet2dry_l,55,24,-31
3,19,seasontrans_duration_wet2dry_l,63,9,-54
3,19,seasontrans_duration_wet2dry_l,127,9,-118
3,19,seasontrans_duration_dry2wet_p,NaN,NaN,NaN
3,19,seasontrans_duration_dry2wet_p,238.009562,206.263876,-31.745686
3,19,seasontrans_duration_dry2wet_p,6.573688,57.827906,51.254218
3,19,seasontrans_duration_dry2wet_p,237.755338,141.263484,-96.491854
3,19,seasontrans_duration_dry2wet_p,NaN,NaN,NaN
3,19,seasontrans_duration_dry2wet_p,NaN,NaN,NaN
3,19,seasontrans_duration_dry2wet_p,125,NaN,NaN
3,19,seasontrans_duration_dry2wet_p,4.113711,NaN,NaN
3,19,seasontrans_duration_dry2wet_p,8.926179,NaN,NaN
3,19,seasontrans_duration_dry2wet_p,NaN,NaN,NaN
3,19,seasontrans_duration_dry2wet_p,109.603189,78.553286,-31.049903
3,19,seasontrans_duration_dry2wet_p,76.288086,168.662698,92.374612
3,19,seasontrans_duration_dry2wet_p,62.633153,16.371964,-46.261189
3,19,seasontrans_duration_dry2wet_l,NaN,NaN,NaN
3,19,seasontrans_duration_dry2wet_l,NaN,NaN,NaN
3,19,seasontrans_duration_dry2wet_l,115,3,-112
3,19,seasontrans_duration_dry2wet_l,NaN,246,NaN
3,19,seasontrans_duration_dry2wet_l,NaN,NaN,NaN
3,19,seasontrans_duration_dry2wet_l,NaN,NaN,NaN
3,19,seasontrans_duration_dry2wet_l,18,NaN,NaN
3,19,seasontrans_duration_dry2wet_l,1,NaN,NaN
3,19,seasontrans_duration_dry2wet_l,NaN,NaN,NaN
3,19,seasontrans_duration_dry2wet_l,NaN,NaN,NaN
3,19,seasontrans_duration_dry2wet_l,94,143,49
3,19,seasontrans_duration_dry2wet_l,NaN,NaN,NaN
3,19,seasontrans_duration_dry2wet_l,101,56,-45
3,20,seasontrans_duration_wet2dry_p,77.77221,7.172541,-70.599669
3,20,seasontrans_duration_wet2dry_p,60.79707,26.859753,-33.937317
3,20,seasontrans_duration_wet2dry_p,37.179233,51.459867,14.280634
3,20,seasontrans_duration_wet2dry_p,42.577822,23.631927,-18.945895
3,20,seasontrans_duration_wet2dry_p,19.754031,16.907209,-2.846822
3,20,seasontrans_duration_wet2dry_p,13.456765,24.368994,10.912229
3,20,seasontrans_duration_wet2dry_p,106.576686,25.038735,-81.537951
3,20,seasontrans_duration_wet2dry_p,151.73703,146.338625,-5.398405
3,20,seasontrans_duration_wet2dry_p,NaN,NaN,NaN
3,20,seasontrans_duration_wet2dry_p,174.898467,145.144326,-29.754141
3,20,seasontrans_duration_wet2dry_p,71.532606,26.271833,-45.260773
3,20,seasontrans_duration_wet2dry_p,13.996874,6.731985,-7.264889
3,20,seasontrans_duration_wet2dry_p,93.510772,84.466284,-9.044488
3,20,seasontrans_duration_wet2dry_l,79,6,-73
3,20,seasontrans_duration_wet2dry_l,58,7,-51
3,20,seasontrans_duration_wet2dry_l,NaN,53,NaN
3,20,seasontrans_duration_wet2dry_l,64,27,-37
3,20,seasontrans_duration_wet2dry_l,135,128,-7
3,20,seasontrans_duration_wet2dry_l,116,20,-96
3,20,seasontrans_duration_wet2dry_l,110,23,-87
3,20,seasontrans_duration_wet2dry_l,NaN,NaN,NaN
3,20,seasontrans_duration_wet2dry_l,NaN,NaN,NaN
3,20,seasontrans_duration_wet2dry_l,190,207,17
3,20,seasontrans_duration_wet2dry_l,116,31,-85
3,20,seasontrans_duration_wet2dry_l,56,6,-50
3,20,seasontrans_duration_wet2dry_l,103,101,-2
3,20,seasontrans_duration_dry2wet_p,NaN,NaN,NaN
3,20,seasontrans_duration_dry2wet_p,156.956869,41.226158,-115.730711
3,20,seasontrans_duration_dry2wet_p,113.992379,69.381032,-44.611347
3,20,seasontrans_duration_dry2wet_p,173.99991,124.543283,-49.456627
3,20,seasontrans_duration_dry2wet_p,186.640078,77.51538,-109.124698
3,20,seasontrans_duration_dry2wet_p,NaN,NaN,NaN
3,20,seasontrans_duration_dry2wet_p,13.41413,4.216814,-9.197316
3,20,seasontrans_duration_dry2wet_p,168.308501,77.999996,-90.308505
3,20,seasontrans_duration_dry2wet_p,NaN,NaN,NaN
3,20,seasontrans_duration_dry2wet_p,NaN,NaN,NaN
3,20,seasontrans_duration_dry2wet_p,77.337075,75.196998,-2.140077
3,20,seasontrans_duration_dry2wet_p,87.055942,170.071593,83.015651
3,20,seasontrans_duration_dry2wet_p,87.522458,39.092915,-48.429543
3,20,seasontrans_duration_dry2wet_l,NaN,NaN,NaN
3,20,seasontrans_duration_dry2wet_l,NaN,NaN,NaN
3,20,seasontrans_duration_dry2wet_l,132,129,-3
3,20,seasontrans_duration_dry2wet_l,NaN,1,NaN
3,20,seasontrans_duration_dry2wet_l,NaN,97,NaN
3,20,seasontrans_duration_dry2wet_l,NaN,NaN,NaN
3,20,seasontrans_duration_dry2wet_l,14,11,-3
3,20,seasontrans_duration_dry2wet_l,56,NaN,NaN
3,20,seasontrans_duration_dry2wet_l,NaN,NaN,NaN
3,20,seasontrans_duration_dry2wet_l,NaN,NaN,NaN
3,20,seasontrans_duration_dry2wet_l,125,74,-51
3,20,seasontrans_duration_dry2wet_l,NaN,NaN,NaN
3,20,seasontrans_duration_dry2wet_l,106,7,-99
3,23,seasontrans_duration_wet2dry_p,75.697953,60.875747,-14.822206
3,23,seasontrans_duration_wet2dry_p,53.000013,31.828384,-21.171629
3,23,seasontrans_duration_wet2dry_p,36.372723,51.999882,15.627159
3,23,seasontrans_duration_wet2dry_p,180.828892,130.725105,-50.103787
3,23,seasontrans_duration_wet2dry_p,NaN,NaN,NaN
3,23,seasontrans_duration_wet2dry_p,NaN,NaN,NaN
3,23,seasontrans_duration_wet2dry_p,NaN,NaN,NaN
3,23,seasontrans_duration_wet2dry_p,NaN,NaN,NaN
3,23,seasontrans_duration_wet2dry_p,NaN,NaN,NaN
3,23,seasontrans_duration_wet2dry_p,NaN,NaN,NaN
3,23,seasontrans_duration_wet2dry_p,NaN,6.746772,NaN
3,23,seasontrans_duration_wet2dry_p,NaN,NaN,NaN
3,23,seasontrans_duration_wet2dry_l,77,67,-10
3,23,seasontrans_duration_wet2dry_l,51,34,-17
3,23,seasontrans_duration_wet2dry_l,NaN,58,NaN
3,23,seasontrans_duration_wet2dry_l,NaN,NaN,NaN
3,23,seasontrans_duration_wet2dry_l,NaN,NaN,NaN
3,23,seasontrans_duration_wet2dry_l,NaN,NaN,NaN
3,23,seasontrans_duration_wet2dry_l,NaN,NaN,NaN
3,23,seasontrans_duration_wet2dry_l,NaN,NaN,NaN
3,23,seasontrans_duration_wet2dry_l,NaN,NaN,NaN
3,23,seasontrans_duration_wet2dry_l,NaN,NaN,NaN
3,23,seasontrans_duration_wet2dry_l,NaN,61,NaN
3,23,seasontrans_duration_wet2dry_l,NaN,NaN,NaN
3,23,seasontrans_duration_dry2wet_p,NaN,3.832402,NaN
3,23,seasontrans_duration_dry2wet_p,8.481884,147.018673,138.536789
3,23,seasontrans_duration_dry2wet_p,6.706807,63.59995,56.893143
3,23,seasontrans_duration_dry2wet_p,147.818783,7.100679,-140.718104
3,23,seasontrans_duration_dry2wet_p,NaN,NaN,NaN
3,23,seasontrans_duration_dry2wet_p,NaN,NaN,NaN
3,23,seasontrans_duration_dry2wet_p,NaN,NaN,NaN
3,23,seasontrans_duration_dry2wet_p,NaN,NaN,NaN
3,23,seasontrans_duration_dry2wet_p,NaN,NaN,NaN
3,23,seasontrans_duration_dry2wet_p,NaN,NaN,NaN
3,23,seasontrans_duration_dry2wet_p,NaN,NaN,NaN
3,23,seasontrans_duration_dry2wet_p,NaN,NaN,NaN
3,23,seasontrans_duration_dry2wet_l,NaN,37,NaN
3,23,seasontrans_duration_dry2wet_l,NaN,133,NaN
3,23,seasontrans_duration_dry2wet_l,127,63,-64
3,23,seasontrans_duration_dry2wet_l,NaN,1,NaN
3,23,seasontrans_duration_dry2wet_l,NaN,NaN,NaN
3,23,seasontrans_duration_dry2wet_l,NaN,NaN,NaN
3,23,seasontrans_duration_dry2wet_l,NaN,NaN,NaN
3,23,seasontrans_duration_dry2wet_l,NaN,NaN,NaN
3,23,seasontrans_duration_dry2wet_l,NaN,NaN,NaN
3,23,seasontrans_duration_dry2wet_l,NaN,NaN,NaN
3,23,seasontrans_duration_dry2wet_l,NaN,NaN,NaN
3,23,seasontrans_duration_dry2wet_l,NaN,NaN,NaN
3,24,seasontrans_duration_wet2dry_p,73.818442,25.705919,-48.112523
