depth,station,insitu,GLDAS,residual,WY
2.5,19,77,62,-15,2007
2.5,19,51,44,-7,2008
2.5,19,53,20,-33,2010
2.5,19,6,85,79,2012
2.5,19,55,24,-31,2017
2.5,19,63,9,-54,2018
2.5,19,127,9,-118,2019
2.5,20,79,6,-73,2007
2.5,20,58,7,-51,2008
2.5,20,64,27,-37,2010
2.5,20,135,128,-7,2011
2.5,20,116,20,-96,2012
2.5,20,110,23,-87,2013
2.5,20,190,207,17,2016
2.5,20,116,31,-85,2017
2.5,20,56,6,-50,2018
2.5,20,103,101,-2,2019
2.5,23,77,67,-10,2007
2.5,23,51,34,-17,2008
2.5,24,76,65,-11,2007
2.5,24,167,39,-128,2008
2.5,24,125,48,-77,2009
2.5,26,76,73,-3,2007
2.5,26,60,33,-27,2007
2.5,26,36,57,21,2008
2.5,27,69,19,-50,2007
2.5,27,147,59,-88,2009
2.5,27,85,47,-38,2014
2.5,28,33,40,7,2007
2.5,28,151,40,-111,2009
2.5,28,87,9,-78,2011
2.5,28,175,37,-138,2012
2.5,28,18,10,-8,2013
2.5,28,53,19,-34,2014
2.5,30,102,12,-90,2008
2.5,30,20,47,27,2009
2.5,30,81,11,-70,2011
2.5,30,48,25,-23,2014
2.5,30,35,23,-12,2016
2.5,30,113,5,-108,2018
2.5,31,101,6,-95,2008
2.5,32,79,113,34,2007
2.5,32,48,21,-27,2007
2.5,32,87,1,-86,2009
2.5,32,10,4,-6,2011
2.5,32,58,35,-23,2014
2.5,32,51,15,-36,2016
2.5,34,88,4,-84,2007
2.5,34,166,34,-132,2008
2.5,34,52,20,-32,2017
2.5,35,47,11,-36,2008
2.5,35,42,5,-37,2009
2.5,35,6,5,-1,2010
2.5,35,130,3,-127,2012
2.5,35,95,15,-80,2013
2.5,35,65,14,-51,2014
2.5,35,51,36,-15,2015
2.5,35,48,80,32,2017
2.5,35,25,47,22,2018
2.5,37,122,13,-109,2009
2.5,37,69,11,-58,2013
2.5,38,46,14,-32,2007
2.5,38,42,10,-32,2008
2.5,38,119,7,-112,2011
2.5,38,108,28,-80,2012
2.5,38,70,6,-64,2013
4,1,76,100,24,2007
4,1,90,20,-70,2007
4,1,75,23,-52,2008
4,1,2,15,13,2011
4,2,241,189,-52,2007
4,2,91,98,7,2007
4,2,6,70,64,2009
4,3,38,40,2,2007
4,3,59,56,-3,2007
4,3,3,12,9,2009
4,3,7,126,119,2011
4,4,21,36,15,2007
4,4,96,133,37,2007
4,4,88,71,-17,2007
4,4,35,7,-28,2009
4,4,26,52,26,2010
4,5,15,94,79,2007
4,5,100,16,-84,2007
4,5,23,25,2,2008
4,5,13,14,1,2009
4,6,46,19,-27,2007
4,6,7,15,8,2007
4,6,71,85,14,2007
4,6,32,22,-10,2008
4,6,15,18,3,2009
4,7,202,16,-186,2007
4,7,67,87,20,2007
4,7,3,9,6,2011
4,8,161,178,17,2007
4,8,165,192,27,2007
4,8,73,76,3,2007
4,8,65,61,-4,2007
4,8,54,67,13,2008
4,9,25,86,61,2007
4,9,169,246,77,2007
4,10,52,136,84,2007
4,10,160,182,22,2007
4,10,190,123,-67,2007
4,10,31,62,31,2007
4,11,25,139,114,2007
4,11,162,35,-127,2007
4,11,163,26,-137,2007
4,11,108,62,-46,2007
4,11,66,47,-19,2007
4,12,27,30,3,2007
4,12,161,153,-8,2007
4,12,165,127,-38,2007
4,12,73,71,-2,2007
4,12,64,48,-16,2007
4,13,234,33,-201,2007
4,13,84,81,-3,2007
4,13,52,36,-16,2008
4,13,77,76,-1,2010
4,14,114,188,74,2007
4,14,85,214,129,2007
4,14,57,12,-45,2007
4,14,52,38,-14,2008
4,15,57,42,-15,2007
4,15,72,68,-4,2007
4,15,69,13,-56,2007
4,15,48,51,3,2008
4,15,119,34,-85,2012
4,16,169,158,-11,2007
4,16,77,65,-12,2007
4,16,38,25,-13,2007
4,16,25,46,21,2009
4,16,68,4,-64,2010
4,16,227,58,-169,2011
4,17,114,139,25,2007
4,17,234,110,-124,2007
4,17,80,83,3,2007
4,17,67,72,5,2007
4,17,52,45,-7,2008
4,18,52,72,20,2007
4,18,5,15,10,2007
4,18,139,174,35,2007
4,18,70,68,-2,2007
4,18,103,54,-49,2009
4,18,20,68,48,2010
10,1,80,90,10,2007
10,1,61,47,-14,2008
10,1,138,93,-45,2010
10,1,154,144,-10,2011
10,1,98,83,-15,2012
10,1,118,177,59,2013
10,1,41,20,-21,2014
10,1,52,40,-12,2015
10,1,61,66,5,2017
10,1,75,22,-53,2018
